Title,Year,Genre
Troilus and Cressida,1602,NA
Henry V,1599,History
Hamlet,1603,Tragedy
Antony and Cleopatra,1607,Tragedy
Henry IV Part 1,1597,History
Two Noble Kinsmen,1613,NA
Merry Wives of Windsor,1600,Comedy
The Winters Tale,1609,Comedy
Macbeth,1606,Tragedy
Measure for Measure,1604,Comedy
A Midsummer Nights Dream,1596,Comedy
Merchant of Venice,1597,Comedy
Othello,1604,Tragedy
Pericles,1608,NA
Richard II,1595,History
Richard III,1592,History
Romeo and Juliet,1595,Tragedy
Taming of the Shrew,1591,Comedy
Two Gentlemen of Verona,1588,Comedy
Timon of Athens,1606,Tragedy
Titus Andronicus,1589,Tragedy
Tempest,1611,Comedy
Twelfth Night,1601,Comedy
Henry VI Part 1,1595,History
Henry IV Part 2,1598,History
Henry VI Part 2,1590,History
Henry VI Part 3,1590,History
Much Ado about Nothing,1598,Comedy
Alls Well That Ends Well,1605,Comedy
As You Like It,1600,Comedy
Coriolanus,1608,Tragedy
Cymbeline,1610,Tragedy
The Comedy of Errors,1594,Comedy
Henry VIII,1613,History
Julius Caesar,1599,Tragedy
King John,1596,History
Loves Labours Lost,1594,Comedy
King Lear,1605,Tragedy
