,Cymbeline,Iachimo,Belarius,Posthumus,Imogen,Lucius,Pisanio,Soothsayer,Cornelius,Guiderius,Cloten,Arviragus,Queen,GHOSTS.Father,Jupiter,Frenchman,Philario,JAILERS.1,ATTENDANTS.CLOTEN.2,ATTENDANTS.1,ATTENDANTS.CLOTEN.1,GHOSTS.Mother,GHOSTS.BROTHERS.1,ATTENDANTS.0.2,SOLDIERS.ROMAN.0.1,SENATORS.1,GHOSTS.BROTHERS.2,SOLDIERS.BRITON.0.2,MUSICIANS,SOLDIERS.BRITON.0.1,ATTENDANTS.0.1,MESSENGERS.1,ATTENDANTS.3,LADIES.IMOGEN,ATTENDANTS.2,LADIES.QUEEN,TRIBUNES.0.1,MESSENGERS.2,JAILERS.2,LADIES.QUEEN.0.1,SENATORS.2,Spaniard,SOLDIERS.BRITON.0,ATTENDANTS,TRIBUNES,SOLDIERS.BRITON,Dutchman,SOLDIERS.ROMAN
Cymbeline,0.0,1074.0,1509.0,1109.0,1216.0,1406.0,1706.0,1074.0,1314.0,1509.0,625.0,1509.0,645.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.0,2473.0,0.0,1074.0,0.0,1074.0
Iachimo,680.0,97.0,680.0,1798.0,2419.0,685.0,950.0,680.0,680.0,680.0,0.0,680.0,0.0,0.0,0.0,728.0,1292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,728.0,680.0,680.0,0.0,680.0,728.0,685.0
Belarius,682.0,602.0,414.0,602.0,1134.0,602.0,655.0,602.0,602.0,2444.0,50.0,2583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,655.0,0.0,629.0,0.0,629.0
Posthumus,405.0,1530.0,382.0,681.0,639.0,382.0,382.0,382.0,382.0,382.0,0.0,382.0,10.0,0.0,0.0,505.0,1314.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,0.0,0.0,382.0,0.0,28.0,0.0,0.0,0.0,505.0,1048.0,405.0,0.0,398.0,505.0,1225.0
Imogen,421.0,850.0,739.0,425.0,831.0,468.0,2727.0,468.0,279.0,739.0,495.0,739.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,421.0,0.0,279.0,0.0,468.0
Lucius,463.0,283.0,242.0,242.0,663.0,0.0,242.0,622.0,242.0,242.0,221.0,242.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,463.0,0.0,242.0,0.0,663.0
Pisanio,283.0,246.0,237.0,221.0,1209.0,221.0,429.0,221.0,221.0,237.0,159.0,237.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,283.0,0.0,221.0,0.0,221.0
Soothsayer,314.0,314.0,314.0,314.0,377.0,377.0,314.0,0.0,314.0,314.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,314.0,0.0,314.0,0.0,377.0
Cornelius,422.0,152.0,422.0,152.0,152.0,152.0,554.0,152.0,0.0,422.0,0.0,422.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,422.0,0.0,152.0,0.0,152.0
Guiderius,122.0,115.0,1027.0,115.0,489.0,115.0,115.0,115.0,115.0,0.0,217.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,0.0,122.0,0.0,122.0
