,HenryVI,Talbot,Gloucester,Pucelle,York,Charles,Suffolk,CardinalBeaufort,Bedford,Lucy,Warwick,MESSENGERS.ENGLISH.3,Somerset,Exeter,Reignier,Burgundy,Alanson,Vernon,Basset,MESSENGERS.ENGLISH.1,Mortimer,Shepherd,Mayor,Bastard,Countess,SERVANTS.GLOUCESTER.0.2,General,QueenMargaret,Salisbury,MESSENGERS.ENGLISH.2,JohnTalbot,Fastolf,MESSENGERS.FRENCH.1,SERVANTS.WINCHESTER.0.1,OFFICERS.0.1,SOLDIERS.FRENCH.Scout,Lawyer,MasterGunner,SERVANTS.GLOUCESTER.0.1,MESSENGERS.ENGLISH.X.1,SERVANTS.3,MESSENGERS.ENGLISH.X.2,WATCHMEN.1,Gargrave,Woodville,JAILERS.0.1,SOLDIERS.ENGLISH.Captain,SERVANTS.1,SOLDIERS.FRENCH.Sergeant,SERVANTS.2,SOLDIERS.ENGLISH.SOMERSET.0.1,WARDERS.1,SOLDIERS.ENGLISH.0.1,SOLDIERS.FRENCH.PUCELLE.0.1,Glansdale,Boy,SERVANTS.TALBOT.1,SOLDIERS.ENGLISH.1,Watchman,WARDERS.2,SERVANTS.GLOUCESTER,Legate,Porter,SOLDIERS.ENGLISH.SOMERSET,Governor,WATCHMEN.2,SOLDIERS.ENGLISH,AMBASSADORS.EMPEROR.1,HERALDS.FRENCH.1,OFFICERS,HERALDS.ENGLISH,JAILERS,ATTENDANTS.FRENCH,SOLDIERS.FRENCH,AMBASSADORS.ARMAGNAC.1,SOLDIERS.FRENCH.PUCELLE,SERVANTS.WINCHESTER,SOLDIERS.ENGLISH.YORK,ATTENDANTS.ENGLISH,SOLDIERS.ENGLISH.0
HenryVI,0.0,253.0,1626.0,0.0,1101.0,0.0,1405.0,1200.0,0.0,0.0,1101.0,0.0,1101.0,1626.0,0.0,0.0,0.0,577.0,577.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,99.0,0.0,0.0,588.0,0.0,121.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,165.0,0.0,525.0,304.0
Talbot,405.0,351.0,405.0,156.0,405.0,119.0,405.0,405.0,730.0,0.0,405.0,0.0,405.0,405.0,119.0,897.0,119.0,97.0,97.0,0.0,0.0,0.0,0.0,119.0,300.0,0.0,0.0,0.0,636.0,0.0,785.0,267.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,171.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,308.0,171.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,859.0,0.0
Gloucester,1017.0,251.0,0.0,0.0,773.0,0.0,874.0,1330.0,199.0,0.0,998.0,0.0,998.0,1256.0,0.0,0.0,0.0,92.0,92.0,28.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,46.0,0.0,0.0,321.0,0.0,11.0,46.0,0.0,73.0,225.0,0.0,0.0,0.0,46.0,0.0,412.0,0.0,469.0,101.0
Pucelle,0.0,395.0,0.0,280.0,391.0,1517.0,0.0,0.0,166.0,82.0,347.0,0.0,0.0,0.0,555.0,690.0,1231.0,0.0,0.0,0.0,0.0,43.0,0.0,1092.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,82.0,347.0,0.0,0.0,0.0,852.0,0.0,116.0,0.0,0.0,248.0,347.0
York,130.0,0.0,130.0,253.0,0.0,159.0,484.0,384.0,0.0,160.0,1003.0,0.0,484.0,168.0,159.0,0.0,159.0,496.0,49.0,0.0,336.0,28.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,98.0,0.0,0.0,155.0,0.0,336.0,159.0,0.0,0.0,0.0,0.0,235.0,0.0,426.0
Charles,0.0,130.0,0.0,655.0,126.0,0.0,0.0,126.0,11.0,77.0,126.0,0.0,0.0,0.0,862.0,240.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,126.0,636.0,0.0,0.0,0.0,0.0,88.0,126.0
Suffolk,484.0,0.0,484.0,0.0,104.0,0.0,0.0,2.0,0.0,0.0,104.0,0.0,104.0,484.0,197.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,876.0
CardinalBeaufort,300.0,11.0,566.0,0.0,457.0,88.0,300.0,58.0,92.0,0.0,594.0,10.0,437.0,392.0,88.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,137.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,31.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,93.0,137.0,0.0,88.0,0.0,0.0,0.0,218.0,0.0,137.0,157.0
Bedford,0.0,231.0,430.0,13.0,0.0,13.0,0.0,430.0,0.0,0.0,430.0,122.0,430.0,430.0,13.0,231.0,13.0,0.0,0.0,32.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,91.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,0.0
Lucy,0.0,276.0,0.0,276.0,128.0,276.0,0.0,0.0,0.0,56.0,0.0,0.0,234.0,0.0,0.0,276.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,128.0,276.0,0.0
