,Pericles,Marina,Simonides,Lysimachus,Thaisa,Cerimon,Helicanus,Bawd,Gower,Cleon,Bolt,Dionyza,Antiochus,FISHERMEN.1,FISHERMEN.2,Pander,FISHERMEN.3,LORDS.TYRE.0.1,SAILORS.1,Thaliard,Leonine,Diana,GENTLEMEN.EPHESUS.1,KNIGHTS.0.1,GENTLEMEN.EPHESUS.2,LORDS.TYRE.0.2,Lychorida,LORDS.PENTAPOLIS.0.1,LORDS.TARSUS.1,SERVANTS.CERIMON.0.1,SAILORS.TYRE.1,SAILORS.2,KNIGHTS,LORDS.MYTILENE.0.1,SAILORS.MYTILENE.1,GENTLEMEN.MYTILENE.1,GENTLEMEN.MYTILENE.2,LORDS.PENTAPOLIS.0.3,PIRATES.0.1,LORDS.PENTAPOLIS.0.2,Daughter,Marshal,PIRATES.0.3,SUPPLIANTS.1,LORDS.TYRE.0.3,KNIGHTS.0.2,GENTLEMEN.TYRE.0.1,KNIGHTS.0.3,PIRATES.0.2,MESSENGERS.ANTIOCH.1,CITIZENS.TARSUS,Philemon,LORDS.TYRE,LORDS.TYRE.Escanes,SERVANTS.CERIMON,SUPPLIANTS.2,SERVANTS.CERIMON.0.2,FOLLOWERS.ANTIOCHUS,Marina.Infant,GENTLEMEN.TYRE,PIRATES,LORDS.PENTAPOLIS,Companion,ATTENDANTS.SIMONIDES,ATTENDANTS.PERICLES.1,LADIES.PENTAPOLIS,PRIESTESSES,LORDS.MYTILENE,ATTENDANTS.PERICLES
Pericles,460.0,1488.0,472.0,1488.0,735.0,479.0,2076.0,0.0,0.0,402.0,0.0,402.0,738.0,631.0,565.0,0.0,565.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,925.0,255.0,210.0,1502.0,925.0,0.0,0.0,0.0,0.0,0.0,714.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,43.0,0.0,0.0,0.0,1748.0,738.0,643.0,925.0,0.0,210.0,925.0,210.0,323.0,210.0,479.0,925.0,719.0
Marina,513.0,0.0,0.0,730.0,11.0,11.0,513.0,171.0,0.0,0.0,352.0,116.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0,513.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,0.0,0.0,502.0,0.0,0.0,502.0,0.0,0.0,0.0,11.0,502.0,11.0
Simonides,1015.0,0.0,92.0,0.0,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.0,0.0,908.0,0.0,662.0,0.0,0.0,0.0
Lysimachus,363.0,606.0,0.0,0.0,0.0,0.0,437.0,125.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,235.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,0.0,0.0,412.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,412.0,25.0
Thaisa,411.0,180.0,426.0,180.0,0.0,282.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,282.0,0.0,0.0,0.0,0.0,390.0,0.0,390.0,0.0,195.0,180.0,0.0,180.0
Cerimon,133.0,133.0,0.0,133.0,204.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,0.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,514.0,60.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,133.0
Helicanus,444.0,66.0,0.0,279.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,66.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,300.0,0.0,0.0,312.0,0.0,0.0,287.0,0.0,0.0,56.0,0.0,0.0,0.0,8.0,269.0,10.0
Bawd,0.0,759.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,826.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleon,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
