,RichardIII,Buckingham,QueenElizabeth,QueenMargaret,HenryVII,LadyAnne,DuchessOfYork,EdwardIV,Stanley,Hastings,EdwardV,Rivers,Clarence,York,Catesby,Ratcliffe,MURDERERS.1,Brakenbury,Tyrrel,Dorset,MURDERERS.2,MESSENGERS.4,Cardinal,MayorOfLondon,Grey,Norfolk,Blunt,CITIZENS.3,ClarencesBoy,BishopOfEly,MESSENGERS.3,Archbishop,HenryVI,MESSENGERS.X.1,ATTENDANTS.0.1,PrinceEdward,MESSENGERS.X.2,CITIZENS.2,SirChristopher,Vaughan,MESSENGERS.1,ClarencesDaughter,MESSENGERS.2,CITIZENS.1,Scrivener,Lovell,Oxford,Jailer,GENTLEMEN.0.1,Herbert,Surrey,ATTENDANTS.RICHMOND.0.1,MESSENGERS.X.3,Sheriff,Pursuivant,SirJohn,ATTENDANTS.RICHMOND,SOLDIERS.RICHARD,ATTENDANTS.0,GUARDS,CITIZENS.0,Brandon,SOLDIERS.RICHMOND,Scales,BISHOPS,ATTENDANTS,CITIZENS,GENTLEMEN,Woodeville
RichardIII,607.0,3820.0,2758.0,477.0,619.0,1082.0,330.0,338.0,2166.0,2216.0,361.0,1468.0,418.0,155.0,3188.0,3908.0,88.0,418.0,193.0,1685.0,88.0,69.0,267.0,1051.0,1313.0,1114.0,0.0,0.0,155.0,252.0,130.0,0.0,1445.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,130.0,155.0,130.0,0.0,0.0,1575.0,217.0,0.0,0.0,217.0,160.0,0.0,53.0,0.0,0.0,0.0,0.0,1512.0,6345.0,1863.0,4426.0,217.0,0.0,338.0,618.0,3244.0,618.0,1445.0,338.0
Buckingham,2698.0,0.0,407.0,57.0,109.0,0.0,173.0,111.0,533.0,750.0,265.0,407.0,0.0,43.0,1390.0,745.0,0.0,0.0,0.0,407.0,0.0,0.0,232.0,1411.0,234.0,110.0,0.0,0.0,173.0,101.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,109.0,3048.0,261.0,651.0,0.0,0.0,111.0,705.0,570.0,932.0,0.0,111.0
QueenElizabeth,1538.0,473.0,0.0,235.0,0.0,306.0,895.0,65.0,619.0,373.0,0.0,732.0,0.0,116.0,1198.0,46.0,0.0,37.0,0.0,1038.0,0.0,0.0,0.0,0.0,541.0,0.0,0.0,0.0,191.0,0.0,0.0,116.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,1712.0,0.0,0.0,65.0,0.0,1184.0,0.0,0.0,65.0
QueenMargaret,1222.0,1222.0,2041.0,0.0,0.0,0.0,819.0,0.0,1222.0,1222.0,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0,0.0,0.0,0.0,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,0.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HenryVII,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,176.0,1298.0,0.0,1298.0,394.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0
LadyAnne,843.0,0.0,375.0,0.0,77.0,0.0,375.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,452.0,1067.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.0,0.0
DuchessOfYork,359.0,21.0,1231.0,115.0,0.0,166.0,0.0,0.0,128.0,21.0,0.0,297.0,0.0,263.0,338.0,21.0,0.0,11.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,263.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,0.0,671.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0
EdwardIV,410.0,644.0,644.0,0.0,0.0,0.0,0.0,0.0,353.0,644.0,0.0,644.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,644.0
Stanley,423.0,120.0,224.0,0.0,278.0,112.0,112.0,45.0,0.0,246.0,0.0,112.0,0.0,0.0,163.0,300.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,112.0,64.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,112.0,0.0,0.0,0.0,90.0,187.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,187.0,899.0,0.0,698.0,187.0,91.0,45.0,0.0,255.0,0.0,0.0,45.0
Hastings,283.0,310.0,67.0,38.0,50.0,0.0,5.0,24.0,375.0,0.0,50.0,67.0,0.0,0.0,403.0,463.0,0.0,0.0,0.0,67.0,0.0,0.0,50.0,50.0,62.0,226.0,0.0,0.0,5.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,38.0,0.0,50.0,1232.0,0.0,50.0,0.0,0.0,24.0,0.0,276.0,0.0,0.0,24.0
