,RichardII,HenryIV,York,Gaunt,Mowbray,BishopOfCarlisle,Northumberland,Aumerle,DuchessOfYork,Queen,Fitzwater,Hotspur,LordMarshal,Gardener,Scroop,Bagot,Surrey,Green,Exton,Bushy,LORDS.1,DuchessOfGloucester,HERALDS.2,HERALDS.1,Salisbury,Ross,Berkeley,SERVANTS.GARDENER.1,Willoughby,SERVANTS.YORK.1,AbbotOfWestminster,Groom,WelshCaptain,Jailer,LADIES.0.1,SERVANTS.EXTON.0.1,SOLDIERS.HENRY,LADIES,SOLDIERS.RICHARD,ATTENDANTS,OFFICERS.0,SERVANTS.EXTON,OFFICERS.0.1,OFFICERS,LORDS,ATTENDANTS.HENRY,HERALDS.X,SERVANTS.GARDENER.2,ATTENDANTS.GAUNT
RichardII,0.0,3367.0,2624.0,1346.0,970.0,2716.0,2914.0,5172.0,0.0,1015.0,1314.0,2324.0,694.0,0.0,782.0,2066.0,1314.0,752.0,108.0,452.0,1314.0,0.0,661.0,694.0,930.0,388.0,0.0,0.0,388.0,0.0,1314.0,185.0,0.0,151.0,0.0,0.0,1010.0,627.0,1402.0,530.0,1314.0,108.0,1782.0,2635.0,1224.0,1010.0,1314.0,0.0,122.0
HenryIV,1143.0,0.0,1901.0,1243.0,971.0,563.0,1936.0,1417.0,124.0,0.0,583.0,1643.0,701.0,0.0,0.0,275.0,319.0,330.0,182.0,330.0,319.0,0.0,458.0,458.0,0.0,436.0,372.0,0.0,436.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,542.0,259.0,182.0,873.0,777.0,1543.0,480.0,319.0,0.0,0.0
York,596.0,958.0,0.0,166.0,0.0,86.0,1135.0,1263.0,728.0,942.0,86.0,581.0,0.0,0.0,0.0,1028.0,86.0,942.0,0.0,942.0,86.0,0.0,0.0,0.0,0.0,986.0,456.0,0.0,986.0,323.0,86.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,86.0,0.0,917.0,86.0,17.0,125.0,86.0,0.0,166.0
Gaunt,903.0,621.0,994.0,0.0,86.0,0.0,0.0,1104.0,0.0,519.0,0.0,0.0,585.0,0.0,0.0,519.0,0.0,519.0,0.0,519.0,0.0,141.0,315.0,315.0,0.0,519.0,0.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,315.0,384.0,0.0,0.0,0.0,994.0
Mowbray,1249.0,1154.0,0.0,1249.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0.0,0.0,0.0,485.0,1249.0,0.0,0.0,0.0,0.0
BishopOfCarlisle,142.0,420.0,324.0,0.0,0.0,0.0,420.0,582.0,0.0,0.0,420.0,420.0,0.0,0.0,81.0,420.0,420.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,420.0,0.0,20.0,420.0,0.0,0.0,420.0,0.0,0.0
Northumberland,387.0,760.0,529.0,0.0,0.0,132.0,0.0,387.0,0.0,112.0,132.0,528.0,0.0,0.0,0.0,171.0,132.0,39.0,0.0,39.0,132.0,0.0,0.0,0.0,0.0,547.0,60.0,0.0,547.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,261.0,73.0,0.0,0.0,132.0,0.0,121.0,205.0,0.0,261.0,132.0,0.0,0.0
Aumerle,281.0,411.0,175.0,19.0,0.0,376.0,269.0,0.0,116.0,0.0,240.0,293.0,48.0,0.0,48.0,373.0,240.0,133.0,0.0,0.0,240.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,119.0,0.0,240.0,0.0,247.0,240.0,24.0,29.0,240.0,0.0,0.0
DuchessOfYork,0.0,475.0,824.0,0.0,0.0,0.0,0.0,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0
Queen,175.0,0.0,36.0,7.0,0.0,0.0,86.0,7.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,364.0,0.0,165.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,197.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,0.0,0.0,0.0,0.0,311.0,168.0,0.0,0.0,0.0,197.0,7.0
Fitzwater,0.0,265.0,37.0,0.0,0.0,228.0,265.0,228.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,228.0,228.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,37.0,228.0,0.0,0.0,228.0,0.0,0.0
Hotspur,0.0,422.0,106.0,0.0,0.0,97.0,365.0,56.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,56.0,0.0,98.0,56.0,57.0,65.0,56.0,0.0,0.0
LordMarshal,199.0,174.0,0.0,224.0,199.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0,0.0,0.0
Gardener,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,0.0
Scroop,321.0,0.0,0.0,0.0,0.0,321.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagot,0.0,112.0,0.0,0.0,0.0,112.0,112.0,112.0,0.0,0.0,112.0,112.0,0.0,0.0,0.0,0.0,112.0,84.0,0.0,84.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,112.0,0.0,0.0,112.0,0.0,0.0
Surrey,0.0,95.0,0.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,95.0,95.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,95.0,0.0,0.0,95.0,0.0,0.0
Green,47.0,18.0,25.0,0.0,0.0,0.0,18.0,47.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Exton,61.0,45.0,45.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
Bushy,30.0,18.0,18.0,0.0,0.0,0.0,18.0,30.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
LORDS.1,0.0,48.0,0.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0
DuchessOfGloucester,0.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERALDS.2,61.0,61.0,0.0,61.0,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0
HERALDS.1,60.0,60.0,0.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0
Salisbury,110.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross,0.0,20.0,10.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berkeley,0.0,82.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.GARDENER.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0
Willoughby,0.0,18.0,9.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.YORK.1,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,51.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbbotOfWestminster,0.0,0.0,0.0,0.0,0.0,81.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
Groom,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0
