,Cymbeline,Iachimo,Belarius,Posthumus,Imogen,Lucius,Pisanio,Soothsayer,Cornelius,Guiderius,Cloten,Arviragus,Queen,GHOSTS.Father,Jupiter,Frenchman,Philario,JAILERS.1,ATTENDANTS.CLOTEN.2,ATTENDANTS.CLOTEN.1,GHOSTS.Mother,GHOSTS.BROTHERS.1,ATTENDANTS.0.2,SOLDIERS.ROMAN.0.1,GHOSTS.BROTHERS.2,SOLDIERS.BRITON.0.2,MUSICIANS,SOLDIERS.BRITON.0.1,ATTENDANTS.0.1,MESSENGERS.1,ATTENDANTS.3,LADIES.IMOGEN,LADIES.QUEEN,MESSENGERS.2,JAILERS.2,LADIES.QUEEN.0.1,SENATORS.2,ATTENDANTS,SOLDIERS.BRITON.0,SOLDIERS.ROMAN,Spaniard,Dutchman,SOLDIERS.BRITON
Cymbeline,0,1074,1509,1109,1216,1406,1706,1074,1314,1509,625,1509,645,0,0,0,0,0,134,134,0,0,0,0,0,0,0,0,33,0,0,0,1314,0,0,0,0,2473,1509,1074,0,0,1074
Iachimo,680,97,680,1798,2419,685,950,680,680,680,0,680,0,0,0,728,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,680,680,685,728,728,680
Belarius,682,602,414,602,1134,602,655,602,602,2444,50,2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,655,655,629,0,0,629
Posthumus,405,1530,382,681,639,382,382,382,382,382,0,382,10,0,0,505,1314,101,0,0,0,0,0,0,0,0,0,0,0,0,601,0,382,28,0,0,0,405,1048,1225,505,505,398
Imogen,421,850,739,425,831,468,2727,468,279,739,495,739,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,279,0,0,0,0,421,279,468,0,0,279
Lucius,463,283,242,242,663,0,242,622,242,242,221,242,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,463,242,663,0,0,242
Pisanio,283,246,237,221,1209,221,429,221,221,237,159,237,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,221,0,0,0,0,283,237,221,0,0,221
Soothsayer,314,314,314,314,377,377,314,0,314,314,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,314,314,377,0,0,314
Cornelius,422,152,422,152,152,152,554,152,0,422,0,422,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,422,422,152,0,0,152
Guiderius,122,115,1027,115,489,115,115,115,115,0,217,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,115,115,122,0,0,122
Cloten,312,0,16,0,204,237,400,0,0,160,781,16,356,0,0,0,0,0,578,578,0,0,0,0,0,0,49,0,0,0,0,30,0,0,0,0,0,356,0,0,0,0,0
Arviragus,61,61,1028,61,656,61,61,61,61,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61,61,61,0,0,61
Queen,459,0,0,190,287,196,488,0,232,0,566,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,61,0,0,0,37,0,0,0,0,599,0,0,0,0,0
GHOSTS.Father,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,268,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0
Jupiter,0,0,0,202,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,202,202,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0
Frenchman,0,204,0,176,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,211,0
Philario,0,268,0,190,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,178,0
JAILERS.1,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,493,0,0,0,0
ATTENDANTS.CLOTEN.2,5,0,0,0,0,0,0,0,0,0,384,0,5,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ATTENDANTS.CLOTEN.1,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHOSTS.Mother,0,0,0,79,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,79,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
GHOSTS.BROTHERS.1,0,0,0,77,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,77,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0
ATTENDANTS.0.2,118,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0
SOLDIERS.ROMAN.0.1,0,0,0,0,80,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
GHOSTS.BROTHERS.2,0,0,0,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
