,Falstaff,HenryV,Hotspur,HenryIV,Worcester,Glendower,Vernon,MistressQuickly,Mortimer,Poins,Blunt,Bardolph,Westmoreland,Douglas,LadyPercy,Gadshill,Northumberland,Peto,Sheriff,Bedford,TRAVELERS.CARRIERS.1,TRAVELERS.CARRIERS.2,MESSENGERS.X,Chamberlain,TRAVELERS.GENTLEMEN.0.1,DRAWERS.Francis,Vintner,TRAVELERS.GENTLEMEN,MESSENGERS.2,SERVANTS.HOTSPUR.1,MESSENGERS.1,TRAVELERS.CARRIERS.X,TRAVELERS.CARRIERS,Ostler,ATTENDANTS,LadyMortimer,SOLDIERS.HOTSPUR,SOLDIERS.HENRY
Falstaff,899,4536,471,11,11,0,11,1907,0,2842,282,4094,139,0,0,2681,0,3292,0,193,0,0,0,0,0,2350,0,83,0,0,0,0,83,0,0,0,0,0
HenryV,3047,209,498,1009,171,0,171,894,0,2094,304,1616,272,89,0,1165,0,1887,111,573,0,0,0,0,0,1264,16,0,0,0,0,111,0,0,0,0,0,131
Hotspur,102,159,436,524,3590,779,1218,0,963,0,1168,0,0,1754,558,0,1503,0,0,0,0,0,591,0,0,0,0,0,104,50,194,0,0,0,524,232,361,0
HenryIV,423,1917,400,0,494,0,340,0,0,0,925,0,937,57,0,0,400,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,230
Worcester,414,441,977,476,0,29,794,0,144,0,449,0,27,258,0,0,523,0,0,441,0,0,195,0,0,0,0,0,0,0,0,0,0,0,35,0,80,27
Glendower,0,0,669,0,707,0,0,0,707,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0
Vernon,0,0,525,0,554,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0
MistressQuickly,515,305,0,0,0,0,0,0,0,112,0,515,0,0,0,112,0,305,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
Mortimer,0,0,538,0,543,421,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0
Poins,319,678,0,0,0,0,0,3,0,0,0,146,0,0,0,126,0,146,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
