,Falstaff,HenryV,Shallow,HenryIV,MistressQuickly,Archbishop,Bedford,Westmoreland,ChiefJustice,Pistol,DollTearsheet,Mowbray,Northumberland,Warwick,Hastings,Morton,LordBardolph,Poins,Bardolph,Davy,Silence,Clarence,Bullcalf,LadyPercy,Mouldy,Feeble,SERVANTS.FALSTAFF.1,Gloucester,Harcourt,Peto,SERVANTS.CHIEFJUSTICE.1,MESSENGERS.Gower,Travers,BEADLES.0.1,MESSENGERS.1,Colevile,OFFICERS.Fang,DRAWERS.1,Shadow,LadyNorthumberland,DRAWERS.Will,DRAWERS.Francis,Wart,OFFICERS.Snare,DRAWERS.X,Porter,Blunt,SOLDIERS.HENRY,Surrey,SOLDIERS.REBEL,Epilogue,SERVANTS.HENRY,ATTENDANTS,OFFICERS,BEADLES,Man,MUSICIANS
Falstaff,456,613,2206,0,1456,0,384,34,1572,643,1070,0,0,0,0,0,0,579,3431,280,1585,0,529,0,529,1215,4003,0,0,0,1088,276,0,0,0,539,386,0,1215,0,28,609,1215,386,64,0,344,378,0,0,0,0,34,450,0,1279,727
HenryV,581,0,277,758,304,0,674,328,946,277,304,0,0,997,0,0,0,1221,990,0,0,997,0,0,0,0,990,997,328,65,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,669,0,0,0,0,0,610,0,0,0,304
Shallow,1518,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,1640,560,1668,0,398,0,398,594,759,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,881,0
HenryIV,0,972,0,6,0,0,123,203,0,0,0,0,0,1541,0,0,0,0,0,0,0,1035,0,0,0,0,0,1035,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,437,0,0,285,1158,0,0,0,0
MistressQuickly,1181,90,0,0,0,0,0,0,425,151,918,0,0,0,0,0,0,90,762,0,0,0,0,0,0,0,780,0,0,0,0,99,0,0,0,0,864,0,0,0,101,90,0,864,241,0,0,0,0,0,0,0,0,425,93,0,90
Archbishop,0,0,0,0,0,0,226,649,0,0,0,1269,0,0,1269,0,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,226,0,972,0,0,0,0,0,0,0
Bedford,219,13,0,11,0,627,0,787,155,0,0,627,0,58,598,0,627,0,0,0,0,58,0,0,0,0,0,58,0,0,0,0,0,0,627,198,0,0,0,0,0,0,0,0,0,0,200,846,0,627,0,0,11,0,0,0,0
Westmoreland,7,0,0,97,0,898,168,0,0,0,0,898,0,97,878,0,898,0,0,0,0,97,0,0,0,0,0,97,11,0,0,0,0,0,898,7,0,0,0,0,0,0,0,0,0,0,7,168,0,898,0,0,97,0,0,0,0
ChiefJustice,889,308,46,0,262,0,420,0,0,46,0,0,0,449,0,0,0,0,308,0,0,378,0,0,0,0,803,378,0,0,495,94,0,0,0,0,262,0,0,0,0,0,0,262,0,0,296,0,0,0,0,0,12,382,0,0,0
Pistol,698,13,362,0,336,0,9,0,22,0,336,0,0,0,0,0,0,0,698,245,245,0,0,0,0,0,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0
DollTearsheet,684,101,0,0,805,0,0,0,0,257,0,0,0,0,0,0,0,101,489,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,7,139,0,0,20,0,0,0,0,0,0,0,0,0,114,0,163
Mowbray,0,0,0,0,0,496,70,303,0,0,0,0,0,0,496,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,70,0,446,0,0,0,0,0,0,0
Northumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,823,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,755,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warwick,0,48,0,568,0,0,74,90,114,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,369,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,257,0,0,0,311,0,0,0,0
Hastings,0,0,0,0,0,507,129,163,0,0,0,507,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,129,0,261,0,0,0,0,0,0,0
Morton,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LordBardolph,0,0,0,0,0,403,0,0,0,0,0,403,335,0,403,88,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Poins,84,569,0,0,84,0,0,0,0,0,84,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Bardolph,149,81,216,0,76,0,0,0,0,41,76,0,0,0,0,0,0,81,0,39,208,0,38,0,38,50,193,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,190,19
Davy,345,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,99,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silence,230,0,327,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,230,133,0,0,5,0,5,5,219,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Clarence,0,20,0,176,0,0,23,115,23,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,199,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,176,0,0,0,0
Bullcalf,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,50,0,0,0,148,148,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,148,0
LadyPercy,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouldy,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,67,0,113,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,113,0
Feeble,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,40,0,120,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,120,0
