,HenryVI,Talbot,Gloucester,Pucelle,York,Charles,Suffolk,CardinalBeaufort,Bedford,Lucy,Warwick,MESSENGERS.ENGLISH.3,Somerset,Exeter,Reignier,Burgundy,Alanson,Vernon,Basset,MESSENGERS.ENGLISH.1,Mortimer,Shepherd,Mayor,Bastard,Countess,SERVANTS.GLOUCESTER.0.2,General,QueenMargaret,Salisbury,MESSENGERS.ENGLISH.2,JohnTalbot,Fastolf,MESSENGERS.FRENCH.1,SERVANTS.WINCHESTER.0.1,OFFICERS.0.1,SOLDIERS.FRENCH.Scout,Lawyer,SERVANTS.GLOUCESTER.0.1,MESSENGERS.ENGLISH.X.1,MESSENGERS.ENGLISH.X.2,SERVANTS.3,WATCHMEN.1,Gargrave,Woodville,JAILERS.0.1,SOLDIERS.ENGLISH.Captain,SERVANTS.1,SOLDIERS.FRENCH.Sergeant,SERVANTS.2,SOLDIERS.ENGLISH.SOMERSET.0.1,WARDERS.1,SOLDIERS.ENGLISH.0.1,SOLDIERS.FRENCH.PUCELLE.0.1,Glansdale,SERVANTS.TALBOT.1,Watchman,WARDERS.2,SERVANTS.GLOUCESTER,Legate,Porter,SERVANTS.WINCHESTER,SOLDIERS.ENGLISH.0,ATTENDANTS.FRENCH,HERALDS.ENGLISH,AMBASSADORS.EMPEROR.1,AMBASSADORS.ARMAGNAC.1,ATTENDANTS.ENGLISH,SOLDIERS.FRENCH,OFFICERS,WATCHMEN.2,JAILERS,SOLDIERS.ENGLISH.SOMERSET,SOLDIERS.ENGLISH,Governor,HERALDS.FRENCH.1,SOLDIERS.FRENCH.PUCELLE,SOLDIERS.ENGLISH.YORK
HenryVI,0,253,1626,0,1101,0,1405,1200,0,0,1101,0,1101,1626,0,0,0,577,577,0,0,0,165,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,99,0,165,304,0,0,99,99,525,0,0,0,0,0,121,588,0,0,0
Talbot,405,351,405,156,405,119,405,405,730,0,405,0,405,405,119,897,119,97,97,0,0,0,0,119,300,0,0,0,636,0,785,267,396,0,0,0,0,0,70,0,0,171,566,0,0,0,0,0,0,0,0,0,0,636,287,0,0,0,0,254,0,0,0,0,0,0,859,37,0,171,0,0,1028,308,0,0,0
Gloucester,1017,251,0,0,773,0,874,1330,199,0,998,0,998,1256,0,0,0,92,92,28,0,0,199,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,46,0,412,101,0,225,46,46,469,0,73,0,0,0,11,321,0,0,0
Pucelle,0,395,0,280,391,1517,0,0,166,82,347,0,0,0,555,690,1231,0,0,0,0,43,0,1092,0,0,0,0,0,0,146,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,347,0,0,0,0,248,852,347,0,0,0,44,0,82,116,0
York,130,0,130,253,0,159,484,384,0,160,1003,0,484,168,159,0,159,496,49,0,336,28,0,159,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,159,0,0,0,0,0,155,0,336,0,98,49,0,0,235
Charles,0,130,0,655,126,0,0,126,11,77,126,0,0,0,862,240,1094,0,0,0,0,0,0,635,0,0,0,0,0,0,119,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,126,126,0,0,0,88,636,0,0,0,0,0,0,77,0,0
Suffolk,484,0,484,0,104,0,0,2,0,0,104,0,104,484,197,0,0,102,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0,0,482,0,0,0,0,0,952,0,0,0,0
CardinalBeaufort,300,11,566,0,457,88,300,58,92,0,594,10,437,392,88,0,88,0,0,0,0,0,137,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,31,0,218,157,88,137,0,0,137,0,93,0,0,0,0,11,0,0,0
Bedford,0,231,430,13,0,13,0,430,0,0,430,122,430,430,13,231,13,0,0,32,0,0,0,13,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,564,0,0,53,0,0,91,0,0,0,0
Lucy,0,276,0,276,128,276,0,0,0,56,0,0,234,0,0,276,276,0,0,0,0,0,0,276,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,276,276,0,0,0,234,0,0,276,0,128
