,EdwardIV,Warwick,RichardIII,HenryVI,QueenMargaret,York,Clarence,Clifford,KingLewis,MESSENGERS.Post,QueenElizabeth,Northumberland,PrinceEdward,Oxford,Westmorland,Hastings,Exeter,Montague,Montgomery,Somerset,LadyBona,MESSENGERS.X.2,Rutland,Father,GAMEKEEPERS.2,MayorOfYork,MESSENGERS.X.4,Son,GAMEKEEPERS.1,Norfolk,SOLDIERS.YORK.0.1,Lieutenant,WATCHMEN.3,WATCHMEN.1,MESSENGERS.X.3,WATCHMEN.2,MESSENGERS.X.1,Huntsman,Somerville,ATTENDANTS.EDWARD.1,MESSENGERS.X.5,Tutor,Rivers,JohnMortimer,MESSENGERS.1,MESSENGERS.2,Stanley,EdwardV.Infant,SOLDIERS.CLARENCE,Stafford,SOLDIERS.WARWICK,SOLDIERS.MONTGOMERY,SOLDIERS.FRENCH,SOLDIERS.MONTAGUE,SOLDIERS.SOMERSET,SOLDIERS.LANCASTER,Nurse,ATTENDANTS.EDWARD,Pembroke,HughMortimer,ALDERMEN,HenryVII,SOLDIERS.OXFORD,MayorOfCoventry,SOLDIERS.YORK.0.2,Bourbon,SOLDIERS.YORK
EdwardIV,0.0,1317.0,3987.0,485.0,605.0,132.0,2622.0,589.0,0.0,351.0,1477.0,376.0,550.0,290.0,12.0,1402.0,121.0,1392.0,223.0,612.0,0.0,13.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,294.0,45.0,0.0,0.0,0.0,21.0,0.0,0.0,81.0,280.0,74.0,568.0,87.0,223.0,101.0,0.0,0.0,74.0,280.0,1477.0,568.0,21.0,322.0,0.0,0.0,294.0,458.0,0.0,2304.0
Warwick,2069.0,384.0,1864.0,700.0,787.0,423.0,1423.0,551.0,733.0,360.0,0.0,263.0,787.0,1867.0,209.0,0.0,450.0,1905.0,0.0,751.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,196.0,33.0,33.0,18.0,33.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,22.0,39.0,0.0,0.0,86.0,0.0,740.0,0.0,496.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,196.0,10.0,337.0,0.0,733.0,1478.0
RichardIII,2467.0,1067.0,674.0,683.0,304.0,262.0,1176.0,504.0,0.0,35.0,466.0,228.0,294.0,59.0,36.0,544.0,36.0,1119.0,55.0,188.0,0.0,12.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,261.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,52.0,197.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,170.0,99.0,9.0,147.0,228.0,55.0,0.0,18.0,32.0,36.0,99.0,466.0,147.0,21.0,76.0,0.0,0.0,197.0,656.0,0.0,1745.0
HenryVI,615.0,1095.0,1076.0,527.0,315.0,583.0,512.0,704.0,0.0,0.0,0.0,704.0,315.0,480.0,479.0,0.0,971.0,1095.0,0.0,437.0,0.0,0.0,0.0,122.0,694.0,0.0,0.0,180.0,694.0,615.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,461.0,0.0,170.0
QueenMargaret,553.0,502.0,252.0,660.0,0.0,563.0,553.0,764.0,687.0,100.0,0.0,764.0,2735.0,1199.0,0.0,0.0,459.0,106.0,0.0,512.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,687.0,553.0
York,705.0,343.0,705.0,156.0,689.0,304.0,0.0,818.0,0.0,0.0,0.0,818.0,689.0,0.0,129.0,0.0,156.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0
Clarence,858.0,534.0,812.0,176.0,110.0,0.0,0.0,94.0,0.0,61.0,340.0,66.0,110.0,335.0,0.0,258.0,28.0,438.0,0.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,218.0,204.0,0.0,0.0,7.0,0.0,0.0,0.0,54.0,340.0,204.0,0.0,0.0,82.0,0.0,218.0,119.0,0.0,392.0
Clifford,255.0,255.0,323.0,595.0,554.0,293.0,88.0,278.0,0.0,0.0,0.0,721.0,554.0,0.0,167.0,0.0,167.0,255.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
KingLewis,0.0,493.0,0.0,0.0,628.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,628.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,0.0
MESSENGERS.Post,171.0,109.0,171.0,58.0,51.0,0.0,229.0,0.0,51.0,0.0,171.0,0.0,51.0,109.0,0.0,171.0,0.0,229.0,0.0,229.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,171.0,0.0,0.0,58.0,0.0,0.0,0.0,51.0,0.0
QueenElizabeth,432.0,0.0,432.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,74.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumberland,135.0,135.0,135.0,145.0,164.0,267.0,11.0,288.0,0.0,0.0,0.0,0.0,164.0,0.0,124.0,0.0,124.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
PrinceEdward,142.0,78.0,142.0,145.0,435.0,0.0,142.0,75.0,58.0,18.0,0.0,75.0,0.0,168.0,0.0,0.0,70.0,20.0,0.0,110.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,58.0,142.0
Oxford,17.0,227.0,17.0,11.0,267.0,0.0,41.0,0.0,180.0,21.0,0.0,0.0,256.0,0.0,0.0,0.0,11.0,11.0,0.0,119.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,6.0,0.0,180.0,17.0
Westmorland,104.0,104.0,104.0,104.0,0.0,104.0,0.0,104.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Hastings,186.0,0.0,186.0,0.0,0.0,0.0,60.0,0.0,0.0,8.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,60.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,68.0,60.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,118.0
Exeter,91.0,91.0,91.0,167.0,43.0,91.0,0.0,72.0,0.0,0.0,0.0,72.0,43.0,0.0,72.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Montague,129.0,68.0,129.0,43.0,0.0,73.0,45.0,20.0,0.0,9.0,42.0,20.0,0.0,18.0,20.0,42.0,43.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,6.0,0.0,20.0,0.0,42.0,33.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,36.0
Montgomery,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,133.0
Somerset,24.0,143.0,29.0,12.0,53.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,311.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,6.0,0.0,0.0,17.0
LadyBona,0.0,87.0,0.0,0.0,87.0,0.0,0.0,0.0,87.0,46.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0
MESSENGERS.X.2,184.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0
Rutland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Father,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
