,HenryVIII,Wolsey,Katherine,Cranmer,Buckingham,Norfolk,Chamberlain,Gardiner,Surveyor,Suffolk,Surrey,Chancellor,Sands,Campeius,Cromwell,Lovell,Griffith,GENTLEMEN.3,GENTLEMEN.2,GENTLEMEN.1,Anne,OldLady,Brandon,BishopOfLincoln,SERVANTS.PORTER.1,Porter,Abergavenny,Crier,Keeper,SERVANTS.X.1,Guilford,Capuchius,Butts,Garter,Scribe,Vaux,Sergeant,LADIES.KATHERINE.0.1,Messenger,LADIES.KATHERINE.Patience,SECRETARIES.0.1,Usher,Denny,GENTLEMEN.X,SERVANTS.LARDER.1,Page,BISHOPS,SECRETARIES,LORDS,SECRETARIES.X.1,GENTLEMEN,MASKERS,ElizabethI.Infant,COMMONERS,LordMayor,ALDERMEN,GUARDS,LADIES.KATHERINE,NOBLES,ATTENDANTS,SERVANTS,LADIES
HenryVIII,0,2400,631,1459,0,2014,1247,618,343,2147,1070,531,177,1014,531,1592,0,0,0,0,177,35,0,825,0,0,0,825,651,0,177,0,120,213,825,0,0,0,0,0,0,32,38,0,0,0,825,0,1038,327,177,177,213,0,213,213,744,0,670,2211,828,390
Wolsey,1506,267,995,0,34,1528,1519,98,78,1494,1129,0,390,1046,816,1037,0,0,0,0,390,0,0,424,0,0,34,424,0,131,390,0,0,0,424,0,0,0,0,0,0,304,0,0,0,0,424,34,424,268,390,158,0,0,0,0,34,345,346,1461,390,390
Katherine,1217,2307,0,0,0,430,0,0,81,430,0,0,0,1877,0,430,1071,0,0,0,0,0,0,787,0,0,0,787,0,0,0,549,0,0,787,0,0,0,61,1071,0,787,0,67,0,0,787,0,787,349,0,0,0,0,0,0,0,1182,430,1217,0,0
Cranmer,717,0,0,0,0,935,403,403,0,935,403,403,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,532,0,532,532,639,0,0,0,553,532
Buckingham,0,0,0,0,0,994,0,0,0,0,0,0,749,0,0,749,0,0,749,749,0,0,140,0,0,0,994,0,0,0,0,0,0,0,0,749,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,0,889,0,0,0,0,0
Norfolk,236,364,81,26,866,0,718,26,0,855,451,26,0,17,33,180,0,0,0,0,0,0,0,0,0,0,866,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,22,0,81,180,26,0
Chamberlain,131,192,0,30,0,329,114,30,0,329,198,30,547,0,30,428,0,0,0,0,438,188,0,0,190,190,0,0,30,7,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,131,0,0,0,0,30,0,0,146,176,250
Gardiner,99,15,0,390,0,390,390,0,0,390,390,390,0,15,390,397,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,95,0,0,0,390,0
Surveyor,527,527,527,0,0,527,0,0,0,527,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,527,0,0
Suffolk,91,179,0,51,0,687,651,51,0,0,544,51,0,25,51,55,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,51,0
