,Bastard,KingJohn,KingPhilip,Constance,CITIZENS.0.1,Dauphin,Pandulph,Salisbury,Blanche,QueenEleanor,Austria,Pembroke,Hubert,Chatillion,Arthur,Melun,RobertFaulconbridge,PrinceHenry,MESSENGERS.ENGLISH.1,Bigot,HERALDS.ENGLISH,MESSENGERS.FRENCH.1,Essex,HERALDS.FRENCH,EXECUTIONERS.0.1,Peter,SOLDIERS.1,SOLDIERS.ENGLISH,CITIZENS,SOLDIERS.FRENCH,ATTENDANTS,ATTENDANTS.ENGLISH,EXECUTIONERS,ATTENDANTS.FRENCH
Bastard,382,2923,860,860,0,1343,548,2888,860,1946,860,1775,865,199,1482,483,1030,350,197,998,578,0,1030,578,0,129,0,1260,668,1260,83,56,0,777
KingJohn,2006,52,1235,1235,0,1235,409,2168,1235,2333,1235,1485,1595,608,1864,0,329,260,413,260,438,0,494,438,0,110,0,920,788,920,315,887,0,920
KingPhilip,1401,1431,0,1627,0,1773,582,1431,1431,1431,1536,988,0,720,1536,0,0,0,0,0,311,0,0,311,0,0,0,988,668,1093,443,0,0,1330
Constance,1064,1064,1873,0,0,1873,1009,1740,1064,1064,1146,359,0,359,1822,0,0,0,0,0,0,0,0,0,0,0,0,359,0,441,705,0,0,1168
CITIZENS.0.1,527,527,527,527,0,527,0,527,527,527,527,527,0,89,527,0,0,0,0,0,523,0,0,523,0,0,0,527,612,527,0,0,0,527
Dauphin,287,215,367,321,0,0,671,958,215,215,321,893,0,51,321,743,0,0,0,743,99,83,0,99,0,0,0,893,99,999,65,0,0,460
Pandulph,645,711,644,634,0,1376,0,741,616,616,616,125,0,0,616,125,0,0,0,125,0,0,0,0,0,0,0,125,0,125,616,95,0,28
Salisbury,573,400,0,54,0,279,0,0,0,0,0,1376,187,0,549,426,0,185,0,1105,0,0,0,0,0,0,147,279,0,279,0,243,0,0
Blanche,409,409,409,409,0,409,263,409,0,409,409,146,0,18,409,0,0,0,0,0,128,0,0,128,0,0,0,146,128,146,263,0,0,146
QueenEleanor,372,501,215,215,0,215,21,479,215,0,215,201,22,94,237,0,152,0,0,0,107,0,264,107,0,0,0,194,107,194,21,22,0,194
Austria,121,121,286,286,0,286,38,121,121,121,0,54,0,61,286,0,0,0,0,0,25,0,0,25,0,0,0,54,30,219,67,0,0,219
Pembroke,100,509,0,0,0,0,0,699,0,0,0,0,202,0,108,6,0,45,0,175,0,0,0,0,0,0,6,0,0,0,0,509,0,0
Hubert,473,371,0,0,0,0,0,186,0,56,0,186,0,0,635,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,56,100,0
Chatillion,0,130,219,219,0,219,0,130,0,130,219,130,0,0,219,0,0,0,0,0,0,0,130,0,0,0,0,0,0,219,0,0,0,219
Arthur,39,39,80,90,0,80,0,38,28,39,80,28,978,28,108,0,0,0,0,0,0,0,0,0,0,0,0,28,0,80,0,11,113,80
Melun,0,0,0,0,0,0,0,351,0,0,0,351,0,0,0,0,0,0,0,351,0,0,0,0,0,0,351,0,0,0,0,0,0,0
RobertFaulconbridge,201,201,0,0,0,0,0,201,0,201,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0
PrinceHenry,70,90,0,0,0,0,0,261,0,0,0,217,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSENGERS.ENGLISH.1,0,189,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bigot,61,0,0,0,0,0,0,70,0,0,0,70,40,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERALDS.ENGLISH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,122,0,0,0,0,0
MESSENGERS.FRENCH.1,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Essex,0,28,0,0,0,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERALDS.FRENCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0
EXECUTIONERS.0.1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
Peter,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.ENGLISH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITIZENS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.FRENCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTENDANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTENDANTS.ENGLISH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXECUTIONERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTENDANTS.FRENCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
