,Berowne,Princess,King,Boyet,Rosaline,Costard,Armado,Holofernes,Dumaine,Boy,Longaville,Katherine,Nathaniel,Spring,Winter,Maria,Dull,Jaquenetta,Marcade,Forester,BLACKAMOORS,LORDS,MUSICIANS
Berowne,579,1692,4816,1692,1692,698,92,99,4670,211,4789,1692,24,0,0,1692,122,128,351,0,147,61,147
Princess,1186,0,1186,2434,2715,235,49,6,1186,44,1186,2715,11,0,0,2715,0,0,457,511,39,1031,39
King,2894,1096,0,1116,1096,629,28,0,2674,18,2685,1096,0,0,0,1096,519,92,209,0,170,412,170
Boyet,407,1968,381,0,2076,774,65,56,390,149,437,1968,27,0,0,2137,0,0,0,473,157,697,157
Rosaline,918,1524,874,1177,0,98,0,0,874,0,874,1524,0,0,0,1622,0,0,243,0,276,169,276
Costard,1078,708,911,761,708,221,580,154,911,580,911,708,294,0,0,761,498,51,0,121,0,121,0
Armado,454,454,454,454,454,1038,260,442,454,1708,454,454,442,0,0,454,462,40,166,0,0,0,0
Holofernes,139,139,139,139,139,875,317,0,139,456,139,139,1562,0,0,139,1562,419,0,0,0,0,0
Dumaine,652,256,652,256,256,158,96,48,0,138,652,256,0,0,0,256,0,17,54,0,26,0,26
Boy,119,119,119,119,119,377,1280,184,119,0,119,119,184,0,0,119,184,0,0,0,88,0,88
Longaville,594,184,594,184,184,82,29,11,379,40,0,184,0,0,0,184,29,13,20,0,71,0,71
Katherine,159,484,159,252,484,0,0,0,159,0,159,0,0,0,0,484,0,0,76,0,83,76,83
Nathaniel,55,55,55,55,55,244,15,586,55,15,55,55,0,0,0,55,586,174,0,0,0,0,0
Spring,122,122,122,122,122,122,122,122,122,122,122,122,122,0,0,122,0,0,122,0,0,0,0
Winter,122,122,122,122,122,122,122,122,122,122,122,122,122,0,0,122,0,0,122,0,0,0,0
Maria,41,305,41,166,320,55,0,0,41,0,41,305,0,0,0,0,0,0,24,0,17,117,17
Dull,65,0,65,0,0,163,98,151,65,98,65,0,151,0,0,0,0,64,0,0,0,0,0
Jaquenetta,30,0,30,0,0,131,27,74,30,27,30,0,74,0,0,0,101,0,0,0,0,0,0
Marcade,36,36,36,36,36,36,36,0,36,36,36,36,0,0,0,36,0,0,0,0,0,0,0
Forester,0,57,0,57,57,0,0,0,0,0,0,57,0,0,0,57,0,0,0,0,0,57,0
BLACKAMOORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LORDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSICIANS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
