,Duke,Isabella,Lucio,Escalus,Angelo,Pompey,Mariana,Elbow,Provost,Claudio,FriarPeter,Bawd,Froth,GENTLEMEN.1,Abhorson,Barnardine,GENTLEMEN.2,Juliet,Nun,SERVANTS.1,Justice,OFFICERS.0.2,OFFICERS.1,OFFICERS,CITIZENS,SERVANTS,ATTENDANTS,OFFICERS.0.1,Varrius
Duke,350,3303,2799,3206,2592,263,1766,186,4083,1105,2137,0,0,0,77,549,0,648,0,0,0,1476,0,2550,2364,0,2949,1476,2397
Isabella,1265,157,1719,741,2040,0,225,0,1555,619,724,0,0,0,0,0,0,0,212,0,0,125,0,741,741,0,741,125,741
Lucio,1666,1085,0,541,672,368,408,368,774,273,541,116,0,287,0,92,468,273,529,0,0,272,0,1090,541,0,541,272,541
Escalus,625,286,402,0,801,582,381,707,513,0,381,109,363,0,0,0,0,0,0,0,931,286,0,1218,402,931,492,286,402
Angelo,440,1379,760,1024,430,95,317,95,859,0,357,0,95,0,0,0,0,0,0,148,315,158,0,463,368,315,461,158,368
Pompey,141,0,66,785,406,192,0,926,168,17,0,155,587,0,271,29,0,17,0,0,785,0,246,943,0,785,0,0,0
Mariana,579,183,464,464,464,0,0,0,464,0,464,0,0,0,0,0,0,0,0,0,0,142,0,464,464,0,464,142,464
Elbow,180,0,26,582,310,701,0,0,0,0,0,0,521,0,0,0,0,0,0,0,582,0,0,762,0,582,0,0,0
Provost,895,145,124,141,211,207,100,0,0,164,100,13,0,0,96,30,8,83,0,68,8,100,343,137,100,8,100,100,100
Claudio,83,357,452,0,0,0,0,0,601,0,0,0,0,0,0,0,452,520,0,0,0,0,23,520,0,0,0,0,0
FriarPeter,267,70,261,261,261,0,92,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,0,261,0,261
Bawd,80,0,82,80,0,79,0,0,91,11,0,38,0,82,0,0,82,11,0,0,0,0,0,91,0,0,0,0,0
Froth,0,0,0,75,35,75,0,75,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,75,0,75,0,0,0
GENTLEMEN.1,0,0,201,0,0,0,0,0,0,0,0,54,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0
Abhorson,19,0,0,0,0,183,0,0,36,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,0,0,0
Barnardine,82,0,0,0,0,137,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENTLEMEN.2,0,0,75,0,0,0,0,0,0,0,0,39,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juliet,54,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nun,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.1,0,0,0,0,24,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justice,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
OFFICERS.0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFFICERS.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITIZENS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTENDANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFFICERS.0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varrius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
