,Leonato,Benedick,Beatrice,DonPedro,Claudio,Dogberry,Borachio,Hero,FriarFrancis,DonJohn,Ursula,Margaret,LeonatosBrother,Balthasar,Conrade,Verges,Sexton,MESSENGERS.LEONATO.1,WATCHMEN.1,WATCHMEN.Seacoal,Antonio,MESSENGERS.DONPEDRO.1,WATCHMEN.2,ATTENDANTS
Leonato,0,1444,1295,1593,1593,426,338,1423,899,252,308,308,1512,105,338,426,338,301,338,338,0,0,338,752
Benedick,1597,489,1421,2062,2066,0,70,1264,651,251,423,714,525,309,0,0,0,153,0,0,70,21,0,529
Beatrice,1845,1253,96,809,809,0,216,1998,169,368,929,1082,929,356,0,0,0,506,0,0,216,0,0,169
DonPedro,1934,1891,509,0,2906,156,205,850,161,361,63,63,182,386,161,156,33,158,161,161,44,0,161,212
Claudio,1434,1684,710,2223,97,122,144,732,741,597,123,123,256,39,128,122,72,0,128,128,0,0,128,846
Dogberry,515,0,0,323,323,0,835,0,0,0,0,0,192,0,835,1911,474,0,1517,1517,0,0,1517,0
Borachio,55,0,0,215,241,250,0,0,0,492,0,0,55,0,799,250,73,0,678,678,0,0,678,0
Hero,318,283,873,227,227,0,62,0,221,141,912,385,137,62,0,0,0,8,0,0,62,0,0,221
FriarFrancis,710,710,693,94,94,0,0,693,0,55,48,48,65,0,0,0,0,0,0,0,0,0,0,684
DonJohn,96,96,96,423,521,0,377,96,80,0,0,0,0,16,424,0,0,16,0,0,0,0,0,80
Ursula,95,148,436,95,95,0,95,390,0,95,0,133,95,95,0,0,0,0,0,0,95,0,0,0
Margaret,48,120,334,48,48,0,48,588,0,48,59,0,48,48,0,0,0,0,0,0,48,0,0,0
LeonatosBrother,488,20,38,263,263,0,11,38,20,0,38,38,0,0,11,0,11,0,11,11,0,0,11,0
Balthasar,222,222,11,222,222,0,11,11,0,11,11,11,11,0,0,0,0,0,0,0,11,0,0,0
Conrade,0,0,0,0,0,58,182,0,0,121,0,0,0,0,0,58,26,0,175,175,0,0,175,0
Verges,65,0,0,13,13,228,52,0,0,0,0,0,0,0,52,0,32,0,156,156,0,0,156,0
Sexton,0,0,0,0,0,127,127,0,0,0,0,0,0,0,127,127,0,0,127,127,0,0,127,0
MESSENGERS.LEONATO.1,248,0,233,0,0,15,0,233,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
WATCHMEN.1,0,0,0,0,0,69,108,0,0,0,0,0,0,0,108,69,42,0,0,124,0,0,107,0
WATCHMEN.Seacoal,0,0,0,0,0,90,66,0,0,0,0,0,0,0,66,90,23,0,133,0,0,0,133,0
Antonio,25,25,25,25,25,0,25,25,0,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0
MESSENGERS.DONPEDRO.1,20,20,20,20,20,0,0,20,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,20
WATCHMEN.2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,0,0,27,27,0,0,0,0
ATTENDANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
