,Capulet,Romeo,FriarLawrence,Mercutio,PrinceEscalus,Juliet,Nurse,Benvolio,LadyCapulet,Tybalt,Montague,Paris,SERVANTS.MONTAGUE.Balthasar,WATCHMEN.0.1,SERVANTS.CAPULET.0.1,SERVANTS.PARIS.1,SERVANTS.CAPULET.Sampson,SERVANTS.CAPULET.Peter,Cousin,SERVANTS.CAPULET.Gregory,SERVANTS.CAPULET.X.1,MUSICIANS.0.1,WATCHMEN.0.3,FriarJohn,SERVANTS.CAPULET.0.2,SERVANTS.CAPULET.0.3,LadyMontague,CITIZENS,SERVANTS.CAPULET.X.2,Apothecary,MUSICIANS.0.2,CITIZENS.0.1,SERVANTS.MONTAGUE.Abram,SERVANTS.CAPULET.0,WATCHMEN.0.2,MUSICIANS.0.3,Petruchio,MASKERS,SERVANTS.MONTAGUE,SERVANTS.MONTAGUE.1,MUSICIANS,SERVANTS,ATTENDANTS.PRINCE,GUESTS,Boy,SERVANTS.TYBALT.1,WATCHMEN,ATTENDANTS,SERVANTS.CAPULET
Capulet,0,678,273,592,86,1941,1774,624,2315,550,56,931,86,0,0,86,32,0,592,32,325,0,86,0,0,0,19,32,0,0,0,0,32,0,86,0,0,592,0,32,187,0,86,592,592,266,86,592,791
Romeo,258,440,981,919,0,2500,659,1883,258,325,0,819,1120,0,0,341,0,269,258,0,174,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,130,556,147,0,0,0,0,258,556,111,0,556,388
FriarLawrence,670,2052,306,0,424,1663,735,0,670,0,424,1016,689,0,0,424,0,0,0,0,0,0,424,91,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,246,0,424,0,0,0,424,0,0
Mercutio,0,1897,0,0,0,0,179,2555,0,237,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,661,710,0,0,0,0,0,661,0,0,661,237
PrinceEscalus,679,352,352,0,0,352,0,342,679,342,657,352,352,0,0,352,198,0,0,198,0,0,352,0,0,0,342,342,0,0,0,0,198,0,352,0,0,0,0,198,0,144,550,0,0,0,352,0,0
Juliet,228,1679,663,77,0,1101,1744,77,736,0,0,281,142,0,0,27,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,77,77,0,27,77,77
Nurse,199,885,286,139,0,2010,0,139,865,0,0,58,0,0,0,0,0,579,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,82,0,0,59,59,0,0,59,59
Benvolio,269,692,0,431,258,11,19,0,269,379,508,0,0,0,0,0,42,8,11,42,70,0,0,0,0,0,508,263,0,0,0,0,42,0,0,0,44,125,133,42,0,258,0,11,125,0,0,125,55
LadyCapulet,348,47,101,0,162,925,591,128,0,128,115,119,47,0,0,47,13,0,0,13,0,0,47,0,0,0,115,128,13,0,0,0,13,0,47,0,0,0,0,13,54,115,47,0,0,0,47,0,0
Tybalt,153,231,0,267,0,153,153,329,153,0,0,0,0,0,0,0,49,0,153,49,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,114,153,114,49,0,0,0,153,153,64,0,153,267
Montague,133,117,95,0,120,95,0,281,133,38,0,95,95,0,0,95,13,0,0,13,0,0,95,0,0,0,281,38,0,0,0,0,13,0,95,0,0,0,0,13,0,25,95,0,0,0,95,0,0
Paris,140,113,284,0,0,595,65,0,102,0,0,0,113,0,0,291,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0
SERVANTS.MONTAGUE.Balthasar,60,284,155,0,60,284,0,0,60,0,60,188,0,0,0,93,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,60,0,0,0,60,0,0
WATCHMEN.0.1,46,176,55,0,46,176,0,0,46,0,0,176,176,0,0,176,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,46,0,0,0,176,0,0
SERVANTS.CAPULET.0.1,58,88,0,88,0,13,45,88,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,88,0,0,88,146
SERVANTS.PARIS.1,50,75,50,0,50,92,0,0,50,0,50,92,75,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,62,0,0
SERVANTS.CAPULET.Sampson,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0
SERVANTS.CAPULET.Peter,0,55,0,2,0,248,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0
Cousin,25,25,0,25,0,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,25,25,0,25,25
SERVANTS.CAPULET.Gregory,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
SERVANTS.CAPULET.X.1,0,91,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSICIANS.0.1,0,0,0,0,0,88,24,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0
WATCHMEN.0.3,0,30,30,0,0,30,0,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0
FriarJohn,0,0,111,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.CAPULET.0.2,20,23,0,23,0,20,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,23,43
SERVANTS.CAPULET.0.3,0,29,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,29,0,0,29,29
LadyMontague,11,0,0,0,0,0,0,33,11,11,33,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
CITIZENS,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
SERVANTS.CAPULET.X.2,0,0,0,0,0,45,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apothecary,0,62,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSICIANS.0.2,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
CITIZENS.0.1,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.MONTAGUE.Abram,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
SERVANTS.CAPULET.0,6,6,0,6,0,6,6,6,6,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,6,0,6,6
WATCHMEN.0.2,0,11,0,0,0,11,0,0,0,0,0,11,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
MUSICIANS.0.3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
