,AntipholusOfEphesus,Adriana,Egeon,Duke,Abbess,DromioOfEphesus,AntipholusOfSyracuse,DromioOfSyracuse,Angelo,Luciana,Messenger,Merchant2,Courtesan,Pinch,Balthasar,OFFICERS.X,Luce,Merchant1,OFFICERS,SERVANTS.PINCH,ATTENDANTS,Headsman,OTHERS
AntipholusOfEphesus,0,959,672,672,68,1603,78,213,1701,947,672,1177,947,275,524,945,48,0,672,44,0,672,672
Adriana,410,0,390,390,299,495,723,863,742,2518,141,716,1062,265,26,346,26,0,390,117,0,390,716
Egeon,300,300,0,1278,30,300,30,30,300,300,300,300,300,0,0,0,0,0,300,0,978,300,300
Duke,306,437,854,0,121,306,121,121,437,437,320,437,437,0,0,0,0,0,437,0,417,437,437
Abbess,263,644,263,263,0,263,263,263,644,644,263,644,644,0,0,0,0,0,263,0,0,263,644
DromioOfEphesus,938,650,136,136,24,0,367,93,535,650,136,149,313,177,386,416,49,0,136,28,0,136,136
AntipholusOfSyracuse,175,374,141,141,141,376,568,1291,236,748,141,186,209,0,0,0,0,141,141,0,0,141,141
DromioOfSyracuse,347,535,24,24,24,282,1834,48,350,384,24,168,249,0,182,118,32,19,24,0,0,24,50
Angelo,391,115,90,90,35,116,252,152,0,115,90,647,115,0,26,341,0,0,90,0,0,90,115
Luciana,63,582,19,19,27,77,453,110,64,0,19,64,118,44,0,54,0,0,19,24,0,19,64
Messenger,0,162,162,162,0,0,0,0,162,162,0,162,162,0,0,0,0,0,162,0,0,162,162
Merchant2,107,140,56,56,11,56,55,55,319,140,56,0,140,0,0,102,0,0,56,0,0,56,140
Courtesan,53,89,34,34,10,53,123,123,34,89,34,34,146,19,0,55,0,0,34,0,0,34,34
Pinch,124,124,0,0,0,124,0,0,0,124,0,0,124,0,0,124,0,0,0,22,0,0,0
Balthasar,239,0,0,0,0,239,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFFICERS.X,89,70,0,0,0,63,6,6,37,70,0,37,70,39,0,0,0,0,0,39,0,0,0
Luce,79,0,0,0,0,79,0,0,79,0,0,0,0,0,79,0,0,0,0,0,0,0,0
Merchant1,0,0,0,0,0,0,131,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFFICERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.PINCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTENDANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headsman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
