,Theseus,Palamon,Arcite,Emilia,Daughter,Pirithous,QUEENS.1,Schoolmaster,Hippolyta,Wooer,QUEENS.2,Jailer,QUEENS.3,MESSENGERS.X.1,Doctor,Boy,COUNTRYMEN.0.2,COUNTRYMEN.0.3,Epilogue,FRIENDS.2,COUNTRYMEN.0.4,FRIENDS.1,COUNTRYMEN.0.1,Herald,Brother,Woman,KNIGHTS.PALAMON.0.1,Valerius,Servant,KNIGHTS.PALAMON.0.2,MESSENGERS.X.2,MESSENGERS.X.3,ATTENDANTS.1,KNIGHTS.PALAMON.0.3,OTHERS,Taborer,COUNTRYWOMEN.0.1,KNIGHTS.PALAMON,COUNTRYMEN.0.5,Executioner,SOLDIERS,SOLDIERS.0,Hymen,Artesius,NYMPHS,MAIDS,KNIGHTS.ARCITE,Maid,COUNTRYWOMEN,ATTENDANTS,GUARDS,COUNTRYMEN
Theseus,0,1280,1821,2397,30,2552,704,84,2552,0,704,346,704,123,0,556,0,0,0,0,0,0,0,282,0,0,0,0,313,0,0,346,172,0,0,0,0,442,0,346,398,2278,556,518,556,0,96,0,30,2950,346,30
Palamon,509,0,3531,551,0,536,0,0,509,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,120,0,0,0,114,0,0,0,0,0,1204,0,400,0,4592,0,0,0,0,108,0,0,509,400,0
Arcite,521,3638,0,561,0,521,0,0,521,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,108,30,0,0,55,0,0,0,0,0,505,0,55,0,4164,0,0,0,0,450,0,0,521,55,46
Emilia,1066,710,878,0,17,1122,176,17,1545,0,176,32,176,6,0,176,0,0,0,0,0,0,0,0,0,224,0,0,356,0,0,32,86,0,0,0,0,32,0,32,0,2712,176,176,176,386,0,0,17,1066,32,17
Daughter,0,45,45,0,0,0,0,221,0,1572,0,1541,0,0,921,0,0,0,0,395,0,395,0,0,395,0,0,0,0,0,0,0,0,0,395,221,0,0,0,0,0,3257,0,0,0,0,0,489,221,0,0,221
Pirithous,600,523,234,653,9,0,17,21,663,0,17,426,17,302,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,305,0,0,0,0,431,0,426,0,1009,17,0,17,0,5,0,9,600,426,9
QUEENS.1,516,0,0,497,0,497,0,0,497,0,554,0,554,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,497,497,497,0,0,0,0,504,0,0
Schoolmaster,483,0,0,483,228,483,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,962,0,0,0,0,0,0,398,483,0,619
Hippolyta,460,114,176,849,6,590,179,6,0,0,179,0,179,55,0,179,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,55,0,0,0,0,0,0,0,0,281,179,179,179,0,0,0,6,460,0,6
Wooer,0,0,0,0,135,0,0,0,0,0,0,876,0,0,289,0,0,0,0,621,0,621,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,946,0,0,0,0,0,117,0,0,0,0
QUEENS.2,316,0,0,299,0,299,344,0,299,0,0,0,344,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,299,299,299,0,0,0,0,308,0,0
Jailer,0,176,57,0,300,0,0,0,0,718,0,0,0,0,259,0,0,0,0,183,0,210,0,0,37,0,0,0,0,0,24,0,0,0,37,0,0,22,0,22,0,922,0,0,0,0,0,100,0,0,22,0
QUEENS.3,275,0,0,227,0,227,336,0,227,0,336,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,61,227,227,227,0,0,0,0,244,0,0
MESSENGERS.X.1,407,0,0,407,0,407,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,407,0,0
Doctor,0,0,0,0,142,0,0,0,0,804,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,99,0,0,0,0
Boy,149,0,0,149,0,149,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,149,149,0,0,0,0,149,0,0
COUNTRYMEN.0.2,0,0,204,0,8,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,294,0,0,0,0,0,0,81,0,0,294
