,Timon,Apemantus,Flavius,Alcibiades,Poet,OldMan,SENATORS.1,Painter,FRIENDS.Lucius,SENATORS.2,SERVANTS.LUCIUS.1,Fool,LORDS.0.1,SENATORS.0.1,SERVANTS.TIMON.Servilius,SERVANTS.Caphis,SERVANTS.Titus,SERVANTS.VARRO.1,STRANGERS.1,FRIENDS.Lucullus,FRIENDS.Ventidius,LORDS.0.2,Jeweler,Cupid,SERVANTS.TIMON.Flaminius,SERVANTS.Hortensius,BANDITS.1,MESSENGERS.X.1,Merchant,FRIENDS.0.2,SERVANTS.TIMON.Lucilius,SENATORS.X,SERVANTS.Page,SOLDIERS.1,SERVANTS.TIMON.X.1,FRIENDS.0.1,SERVANTS.ISIDORE.1,SERVANTS.VARRO.2,SERVANTS.TIMON.3,SENATORS.0.2,FRIENDS.Sempronius,MESSENGERS.X.3,BANDITS.3,SERVANTS.TIMON.2,SERVANTS.Philotus,LORDS.0.3,BANDITS.2,FRIENDS.0.3,SERVANTS.TIMON.X.2,STRANGERS.2,SERVANTS.TIMON.0.3,SERVANTS.TIMON.1,SERVANTS.TIMON.0.2,Timandra,LADIES.0.1,SERVANTS.TIMON.0.1,Phrynia,MESSENGERS.X.2,SENATORS.3,ATTENDANTS.TIMON.0.1,LADIES,LORDS,SERVANTS.LUCULLUS.1,FRIENDS.0,SENATORS.4,FRIENDS.0.4,STRANGERS.3,SENATORS.0.3,FRIENDS,SERVANTS.TIMON,ATTENDANTS.ALCIBIADES,SOLDIERS,SERVANTS.TIMON.0,ATTENDANTS.TIMON,ATTENDANTS,SENATORS
Timon,385.0,2276.0,2492.0,2015.0,1108.0,115.0,595.0,1108.0,919.0,595.0,99.0,0.0,0.0,0.0,175.0,133.0,99.0,232.0,0.0,0.0,919.0,0.0,557.0,85.0,76.0,99.0,353.0,95.0,557.0,0.0,210.0,0.0,0.0,0.0,15.0,0.0,133.0,99.0,16.0,0.0,0.0,0.0,353.0,27.0,99.0,0.0,353.0,0.0,76.0,0.0,0.0,5.0,0.0,950.0,0.0,0.0,950.0,66.0,0.0,0.0,69.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,1104.0,25.0,0.0,4652.0,919.0,121.0,1476.0
Apemantus,1817.0,37.0,588.0,625.0,336.0,0.0,0.0,336.0,580.0,0.0,0.0,222.0,0.0,0.0,0.0,222.0,0.0,222.0,0.0,0.0,580.0,0.0,336.0,140.0,0.0,0.0,14.0,0.0,336.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,45.0,0.0,781.0,580.0,0.0,916.0
Flavius,1188.0,230.0,113.0,230.0,0.0,0.0,94.0,0.0,230.0,94.0,118.0,0.0,0.0,0.0,0.0,50.0,118.0,168.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,731.0,230.0,0.0,230.0
Alcibiades,331.0,63.0,38.0,0.0,17.0,0.0,246.0,17.0,46.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,734.0,362.0,630.0,46.0,0.0,644.0
Poet,232.0,24.0,0.0,0.0,0.0,0.0,0.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,232.0,0.0,0.0,421.0
OldMan,243.0,0.0,0.0,0.0,243.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,243.0
SENATORS.1,155.0,0.0,188.0,203.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,435.0,0.0,0.0,0.0
Painter,227.0,4.0,0.0,0.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,326.0,0.0,0.0,140.0
FRIENDS.Lucius,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,412.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0
SENATORS.2,131.0,0.0,208.0,183.0,0.0,0.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,391.0,0.0,0.0,0.0
