,ATTENDANTS,Bottom,Demetrius,Egeus,FAIRIES,FAIRIES.OBERON,FAIRIES.TITANIA,FAIRIES.TITANIA.1,FAIRIES.TITANIA.Cobweb,FAIRIES.TITANIA.Mote,FAIRIES.TITANIA.Mustardseed,FAIRIES.TITANIA.Peaseblossom,Flute,Helena,Hermia,Hippolyta,Lysander,Oberon,Philostrate,Quince,RobinGoodfellow,Snout,Snug,Starveling,Theseus,Titania
ATTENDANTS,0.0,265.0,555.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,446.0,555.0,603.0,555.0,0.0,382.0,41.0,0.0,85.0,84.0,120.0,603.0,0.0
Bottom,265.0,0.0,387.0,87.0,0.0,0.0,0.0,0.0,61.0,86.0,86.0,86.0,312.0,387.0,387.0,265.0,387.0,106.0,178.0,249.0,81.0,304.0,248.0,284.0,265.0,297.0
Demetrius,555.0,387.0,0.0,196.0,0.0,55.0,0.0,0.0,17.0,42.0,42.0,42.0,97.0,896.0,923.0,555.0,962.0,477.0,338.0,41.0,426.0,85.0,84.0,120.0,555.0,110.0
Egeus,196.0,87.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0
FAIRIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0
FAIRIES.OBERON,0.0,0.0,55.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,215.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,89.0
FAIRIES.TITANIA,0.0,0.0,0.0,0.0,0.0,89.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,121.0
FAIRIES.TITANIA.1,0.0,0.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,89.0
FAIRIES.TITANIA.Cobweb,0.0,61.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,61.0,0.0,17.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
FAIRIES.TITANIA.Mote,0.0,86.0,42.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,86.0,86.0,0.0,42.0,42.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
FAIRIES.TITANIA.Mustardseed,0.0,86.0,42.0,0.0,0.0,0.0,0.0,0.0,61.0,86.0,0.0,86.0,0.0,42.0,42.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
FAIRIES.TITANIA.Peaseblossom,0.0,86.0,42.0,0.0,0.0,0.0,0.0,0.0,61.0,86.0,86.0,0.0,0.0,42.0,42.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
Flute,97.0,312.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,97.0,97.0,0.0,97.0,288.0,15.0,305.0,276.0,290.0,97.0,106.0
Helena,446.0,387.0,896.0,87.0,0.0,57.0,0.0,0.0,17.0,42.0,42.0,42.0,97.0,0.0,874.0,446.0,938.0,404.0,338.0,41.0,335.0,85.0,84.0,120.0,446.0,158.0
Hermia,555.0,387.0,923.0,196.0,0.0,0.0,0.0,0.0,17.0,42.0,42.0,42.0,97.0,874.0,0.0,555.0,1089.0,332.0,338.0,41.0,327.0,85.0,84.0,120.0,555.0,229.0
Hippolyta,603.0,265.0,555.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,446.0,555.0,0.0,555.0,0.0,382.0,41.0,0.0,85.0,84.0,120.0,603.0,0.0
Lysander,555.0,387.0,962.0,196.0,0.0,0.0,0.0,0.0,17.0,42.0,42.0,42.0,97.0,938.0,1089.0,555.0,0.0,341.0,338.0,41.0,364.0,85.0,84.0,120.0,555.0,217.0
Oberon,0.0,106.0,477.0,0.0,32.0,215.0,89.0,89.0,17.0,42.0,42.0,42.0,0.0,404.0,332.0,0.0,341.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,235.0
Philostrate,382.0,178.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,338.0,338.0,382.0,338.0,0.0,0.0,41.0,0.0,85.0,84.0,120.0,382.0,0.0
Quince,41.0,249.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,41.0,41.0,41.0,41.0,0.0,41.0,0.0,15.0,288.0,274.0,288.0,41.0,108.0
RobinGoodfellow,0.0,81.0,426.0,0.0,32.0,144.0,89.0,150.0,0.0,0.0,0.0,0.0,15.0,335.0,327.0,0.0,364.0,642.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0,221.0
Snout,85.0,304.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,85.0,85.0,85.0,85.0,0.0,85.0,288.0,15.0,0.0,274.0,288.0,85.0,110.0
Snug,84.0,248.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,84.0,84.0,84.0,84.0,0.0,84.0,274.0,15.0,274.0,0.0,328.0,84.0,106.0
Starveling,120.0,284.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,120.0,120.0,120.0,120.0,0.0,120.0,288.0,15.0,288.0,328.0,0.0,120.0,106.0
Theseus,603.0,265.0,555.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,446.0,555.0,603.0,555.0,0.0,382.0,41.0,0.0,85.0,84.0,120.0,0.0,0.0
Titania,0.0,297.0,110.0,0.0,32.0,89.0,121.0,89.0,61.0,86.0,86.0,86.0,106.0,158.0,229.0,0.0,217.0,235.0,0.0,108.0,221.0,110.0,106.0,106.0,0.0,0.0
