,ATTENDANTS,Adam,Audrey,Celia,Charles,Corin,Dennis,DukeFrederick,DukeSenior,Hymen,Jaques,LORDS.FREDERICK,LORDS.FREDERICK.LeBeau,LORDS.SENIOR,LORDS.SENIOR.Amiens,Oliver,OliverMartext,Orlando,Phoebe,Rosalind,SERVANTS.1,SERVANTS.2,SecondBrother,Silvius,Touchstone,William
ATTENDANTS,0.0,0.0,0.0,84.0,73.0,0.0,0.0,84.0,0.0,0.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0
Adam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,39.0,39.0,58.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Audrey,0.0,0.0,0.0,97.0,0.0,4.0,0.0,0.0,173.0,97.0,276.0,0.0,0.0,0.0,173.0,173.0,43.0,173.0,173.0,97.0,42.0,42.0,53.0,173.0,389.0,51.0
Celia,84.0,0.0,97.0,0.0,73.0,220.0,0.0,140.0,123.0,97.0,205.0,140.0,136.0,0.0,123.0,238.0,0.0,607.0,196.0,1504.0,0.0,0.0,53.0,293.0,423.0,0.0
Charles,73.0,0.0,0.0,73.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,73.0,73.0,0.0,0.0,67.0,0.0,73.0,0.0,73.0,0.0,0.0,0.0,0.0,73.0,0.0
Corin,0.0,0.0,4.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,259.0,0.0,0.0,0.0,101.0,244.0,0.0
Dennis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DukeFrederick,84.0,0.0,0.0,140.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,84.0,0.0,0.0,18.0,0.0,84.0,0.0,140.0,0.0,0.0,0.0,0.0,84.0,0.0
DukeSenior,0.0,39.0,173.0,123.0,0.0,0.0,0.0,0.0,0.0,97.0,411.0,0.0,0.0,285.0,493.0,208.0,0.0,298.0,204.0,119.0,0.0,0.0,53.0,204.0,173.0,0.0
Hymen,0.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,97.0,0.0,95.0,0.0,0.0,0.0,97.0,97.0,0.0,97.0,97.0,97.0,0.0,0.0,53.0,97.0,97.0,0.0
Jaques,0.0,39.0,276.0,205.0,0.0,0.0,0.0,0.0,411.0,95.0,0.0,0.0,0.0,285.0,472.0,206.0,43.0,348.0,202.0,201.0,0.0,0.0,51.0,202.0,276.0,0.0
LORDS.FREDERICK,84.0,0.0,0.0,140.0,73.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,18.0,0.0,84.0,0.0,140.0,0.0,0.0,0.0,0.0,84.0,0.0
LORDS.FREDERICK.LeBeau,84.0,0.0,0.0,136.0,73.0,0.0,0.0,84.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,136.0,0.0,0.0,0.0,0.0,136.0,0.0
LORDS.SENIOR,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,285.0,0.0,0.0,0.0,346.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.SENIOR.Amiens,0.0,39.0,173.0,123.0,0.0,0.0,0.0,0.0,493.0,97.0,472.0,0.0,0.0,346.0,0.0,208.0,0.0,298.0,204.0,119.0,0.0,0.0,53.0,204.0,173.0,0.0
Oliver,0.0,58.0,173.0,238.0,67.0,0.0,6.0,18.0,208.0,97.0,206.0,18.0,0.0,0.0,208.0,0.0,0.0,285.0,204.0,241.0,0.0,0.0,53.0,204.0,173.0,0.0
OliverMartext,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
Orlando,84.0,217.0,173.0,607.0,73.0,0.0,0.0,84.0,298.0,97.0,348.0,84.0,110.0,90.0,298.0,285.0,0.0,0.0,256.0,721.0,0.0,0.0,53.0,256.0,257.0,0.0
Phoebe,0.0,0.0,173.0,196.0,0.0,77.0,0.0,0.0,204.0,97.0,202.0,0.0,0.0,0.0,204.0,204.0,0.0,256.0,0.0,248.0,0.0,0.0,53.0,406.0,173.0,0.0
