,AMBASSADORS,ATTENDANTS,ATTENDANTS.1,ATTENDANTS.2,ATTENDANTS.GUARDS,Barnardo,Claudius,Cornelius,Doctor,FOLLOWERS.LAERTES,Fortinbras,Francisco,Gertrude,Ghost,Gravedigger,GravediggersCompanion,Guildenstern,Hamlet,Horatio,Laertes,MESSENGERS.1,MESSENGERS.2,Marcellus,Ophelia,Osric,PLAYERS,PLAYERS.1,PLAYERS.King,PLAYERS.Lucianus,PLAYERS.Prologue,PLAYERS.Queen,Polonius,Reynaldo,Rosencrantz,SAILORS,SOLDIERS.FORTINBRAS,SOLDIERS.FORTINBRAS.Captain,Voltemand
AMBASSADORS,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
ATTENDANTS,50.0,0.0,0.0,0.0,25.0,0.0,765.0,30.0,96.0,0.0,50.0,0.0,722.0,0.0,96.0,0.0,296.0,527.0,533.0,307.0,0.0,0.0,0.0,325.0,168.0,0.0,0.0,121.0,29.0,11.0,77.0,368.0,0.0,303.0,28.0,50.0,0.0,30.0
ATTENDANTS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.GUARDS,0.0,25.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,22.0,0.0
Barnardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,34.0,0.0,0.0,0.0,112.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudius,50.0,765.0,0.0,0.0,48.0,0.0,0.0,71.0,96.0,5.0,50.0,0.0,1156.0,0.0,96.0,0.0,356.0,802.0,537.0,780.0,139.0,11.0,0.0,582.0,168.0,0.0,0.0,121.0,29.0,11.0,77.0,684.0,0.0,363.0,0.0,50.0,0.0,71.0
Cornelius,0.0,30.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0
Doctor,0.0,96.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,96.0,0.0,0.0,88.0,89.0,96.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOLLOWERS.LAERTES,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fortinbras,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,9.0,0.0
