,ATTENDANTS,Archbishop,Bardolph,Bedford,Blunt,Chamberlain,DRAWERS.Francis,Douglas,Falstaff,Gadshill,Glendower,HenryIV,HenryV,Hotspur,LadyMortimer,LadyPercy,MESSENGERS.1,MESSENGERS.2,MESSENGERS.X,MistressQuickly,Mortimer,Northumberland,Peto,Poins,SERVANTS.HOTSPUR.1,SOLDIERS.HENRY,SOLDIERS.HOTSPUR,Sheriff,SirMichael,TRAVELERS.CARRIERS,TRAVELERS.CARRIERS.1,TRAVELERS.CARRIERS.2,TRAVELERS.CARRIERS.X,TRAVELERS.GENTLEMEN,Vernon,Vintner,Westmoreland,Worcester
ATTENDANTS,0.0,0.0,0.0,107.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,4.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,21.0
Archbishop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bardolph,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,672.0,462.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,599.0,467.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
Bedford,107.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,155.0,0.0,0.0,290.0,217.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,169.0,121.0
Blunt,126.0,0.0,0.0,121.0,0.0,0.0,0.0,117.0,155.0,0.0,0.0,266.0,158.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,213.0
Chamberlain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRAWERS.Francis,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,356.0,384.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,384.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Douglas,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,351.0,0.0,0.0,22.0,12.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,334.0
Falstaff,0.0,0.0,672.0,155.0,155.0,0.0,356.0,0.0,0.0,434.0,0.0,121.0,1019.0,94.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,616.0,491.0,0.0,0.0,0.0,21.0,0.0,16.0,0.0,0.0,21.0,16.0,106.0,0.0,30.0,106.0
Gadshill,0.0,0.0,462.0,0.0,0.0,51.0,384.0,0.0,434.0,0.0,0.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,462.0,444.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0
