,ATTENDANTS,Archbishop,BEADLES,Bardolph,Bedford,Blunt,Bullcalf,ChiefJustice,Chorus,Clarence,Colevile,DRAWERS.1,DRAWERS.Francis,DRAWERS.Will,DRAWERS.X,Davy,DollTearsheet,Falstaff,Feeble,GROOMS.1,GROOMS.2,Gloucester,Harcourt,Hastings,HenryIV,HenryV,LadyNorthumberland,LadyPercy,LordBardolph,MESSENGERS.1,MESSENGERS.Gower,MUSICIANS,Man,MistressQuickly,Morton,Mouldy,Mowbray,Northumberland,OFFICERS,OFFICERS.Fang,OFFICERS.Snare,Peto,Pistol,Poins,Porter,SERVANTS.CHIEFJUSTICE.1,SERVANTS.FALSTAFF.1,SERVANTS.HENRY,SOLDIERS.HENRY,SOLDIERS.REBEL,Shadow,Shallow,Silence,Surrey,Travers,Wart,Warwick,Westmoreland
ATTENDANTS,0.0,0.0,0.0,35.0,17.0,0.0,0.0,35.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,212.0,66.0,0.0,229.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,202.0,80.0
Archbishop,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,0.0,496.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0
BEADLES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bardolph,35.0,0.0,0.0,0.0,6.0,0.0,158.0,151.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,172.0,263.0,903.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,33.0,150.0,253.0,393.0,0.0,158.0,0.0,0.0,116.0,130.0,130.0,14.0,254.0,236.0,0.0,0.0,790.0,0.0,0.0,0.0,207.0,528.0,373.0,0.0,0.0,207.0,0.0,0.0
Bedford,17.0,142.0,0.0,6.0,0.0,158.0,0.0,152.0,0.0,133.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,133.0,0.0,137.0,17.0,122.0,0.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,207.0,142.0,0.0,6.0,0.0,0.0,0.0,0.0,142.0,153.0
Blunt,0.0,0.0,0.0,0.0,158.0,0.0,0.0,105.0,0.0,105.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,105.0,0.0,0.0,81.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,186.0,7.0
Bullcalf,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,135.0,135.0,0.0,0.0,158.0,0.0,0.0
ChiefJustice,35.0,0.0,0.0,151.0,152.0,105.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,147.0,110.0,110.0,0.0,41.0,0.0,0.0,178.0,329.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,147.0,0.0
Chorus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarence,212.0,0.0,0.0,0.0,133.0,105.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,66.0,0.0,212.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,80.0
