,AMBASSADORS.ARMAGNAC.1,AMBASSADORS.EMPEROR.1,ATTENDANTS.ENGLISH,ATTENDANTS.FRENCH,Alanson,Basset,Bastard,Bedford,Boy,Burgundy,CardinalBeaufort,Charles,Countess,Exeter,Fastolf,Gargrave,General,Glansdale,Gloucester,Governor,HERALDS.ENGLISH,HERALDS.FRENCH.1,HenryVI,JAILERS,JohnTalbot,Lawyer,Legate,Lucy,MESSENGERS.ENGLISH.1,MESSENGERS.ENGLISH.2,MESSENGERS.ENGLISH.3,MESSENGERS.ENGLISH.X.1,MESSENGERS.ENGLISH.X.2,MESSENGERS.FRENCH.1,MasterGunner,Mayor,Mortimer,OFFICERS,Porter,Pucelle,QueenMargaret,Reignier,SERVANTS.GLOUCESTER,SERVANTS.TALBOT.1,SERVANTS.WINCHESTER,SOLDIERS.ENGLISH,SOLDIERS.ENGLISH.0,SOLDIERS.ENGLISH.1,SOLDIERS.ENGLISH.Captain,SOLDIERS.ENGLISH.SOMERSET,SOLDIERS.ENGLISH.YORK,SOLDIERS.FRENCH,SOLDIERS.FRENCH.PUCELLE,SOLDIERS.FRENCH.Scout,SOLDIERS.FRENCH.Sergeant,SPIRITS,Salisbury,Shepherd,Somerset,Suffolk,Talbot,Vernon,WATCHMEN.1,WATCHMEN.2,Warwick,York
AMBASSADORS.ARMAGNAC.1,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMBASSADORS.EMPEROR.1,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.ENGLISH,23.0,23.0,0.0,0.0,80.0,0.0,80.0,244.0,0.0,109.0,203.0,80.0,0.0,326.0,6.0,67.0,0.0,67.0,323.0,0.0,180.0,46.0,151.0,0.0,46.0,0.0,23.0,46.0,26.0,7.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,34.0,0.0,46.0,0.0,0.0,101.0,0.0,7.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,67.0,0.0,180.0,101.0,176.0,0.0,0.0,0.0,180.0,0.0
ATTENDANTS.FRENCH,0.0,0.0,0.0,0.0,59.0,0.0,59.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0
Alanson,0.0,0.0,80.0,59.0,0.0,0.0,352.0,34.0,0.0,176.0,59.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,64.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,309.0,0.0,64.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,248.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,59.0,59.0
Basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,123.0,96.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,27.0,139.0,0.0,0.0,123.0,123.0
Bastard,0.0,0.0,80.0,59.0,352.0,0.0,0.0,34.0,0.0,176.0,59.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,64.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,195.0,0.0,64.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,196.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,59.0,59.0
Bedford,0.0,0.0,244.0,0.0,34.0,0.0,34.0,0.0,0.0,157.0,169.0,34.0,0.0,169.0,6.0,0.0,0.0,0.0,169.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.0,60.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,61.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,169.0,0.0,157.0,0.0,33.0,33.0,169.0,0.0
Boy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burgundy,0.0,0.0,109.0,0.0,176.0,0.0,176.0,157.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,64.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,55.0,0.0,64.0,0.0,85.0,11.0,0.0,0.0,0.0,0.0,142.0,0.0,14.0,0.0,0.0,11.0,0.0,0.0,0.0,245.0,0.0,33.0,33.0,0.0,0.0
