,ATTENDANTS,ATTENDANTS.ENGLISH,ATTENDANTS.FRENCH,Arthur,Austria,Bastard,Bigot,Blanche,CITIZENS,Chatillion,Constance,Dauphin,EXECUTIONERS,Essex,Gurney,HERALDS.ENGLISH,HERALDS.FRENCH,Hubert,KingJohn,KingPhilip,LadyFaulconbridge,MESSENGERS.ENGLISH.1,MESSENGERS.FRENCH.1,Melun,Pandulph,Pembroke,Peter,PrinceHenry,QueenEleanor,RobertFaulconbridge,SOLDIERS.1,SOLDIERS.ENGLISH,SOLDIERS.FRENCH,Salisbury,Sheriff
ATTENDANTS,0.0,0.0,0.0,285.0,285.0,277.0,0.0,285.0,0.0,0.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,285.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,285.0,0.0
ATTENDANTS.ENGLISH,0.0,0.0,0.0,83.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,212.0,0.0,0.0,0.0,0.0,0.0,25.0,104.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,104.0,0.0
ATTENDANTS.FRENCH,0.0,0.0,0.0,551.0,551.0,468.0,0.0,468.0,343.0,262.0,642.0,683.0,0.0,0.0,0.0,240.0,240.0,0.0,468.0,659.0,0.0,0.0,15.0,0.0,108.0,468.0,0.0,0.0,468.0,0.0,0.0,468.0,551.0,462.0,0.0
Arthur,285.0,83.0,551.0,0.0,836.0,917.0,110.0,753.0,343.0,262.0,913.0,836.0,15.0,0.0,0.0,240.0,240.0,323.0,843.0,836.0,0.0,0.0,0.0,0.0,222.0,578.0,0.0,0.0,836.0,0.0,0.0,468.0,551.0,934.0,0.0
Austria,285.0,0.0,551.0,836.0,0.0,745.0,0.0,753.0,343.0,262.0,836.0,836.0,0.0,0.0,0.0,240.0,240.0,0.0,753.0,836.0,0.0,0.0,0.0,0.0,222.0,468.0,0.0,0.0,753.0,0.0,0.0,468.0,551.0,747.0,0.0
Bastard,277.0,18.0,468.0,917.0,745.0,0.0,237.0,745.0,343.0,228.0,745.0,810.0,0.0,138.0,17.0,240.0,240.0,194.0,1080.0,745.0,62.0,48.0,0.0,65.0,279.0,705.0,28.0,72.0,901.0,138.0,0.0,533.0,533.0,1114.0,0.0
Bigot,0.0,0.0,0.0,110.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,46.0,95.0,0.0,0.0,0.0,0.0,239.0,119.0,455.0,0.0,105.0,0.0,0.0,56.0,183.0,183.0,460.0,0.0
Blanche,285.0,0.0,468.0,753.0,753.0,745.0,0.0,0.0,343.0,228.0,753.0,753.0,0.0,0.0,0.0,240.0,240.0,0.0,753.0,753.0,0.0,0.0,0.0,0.0,222.0,468.0,0.0,0.0,753.0,0.0,0.0,468.0,468.0,747.0,0.0
CITIZENS,0.0,0.0,343.0,343.0,343.0,343.0,0.0,343.0,0.0,103.0,343.0,343.0,0.0,0.0,0.0,264.0,276.0,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,343.0,0.0,0.0,343.0,343.0,337.0,0.0
Chatillion,0.0,0.0,262.0,262.0,262.0,228.0,0.0,228.0,103.0,0.0,262.0,262.0,0.0,30.0,0.0,0.0,0.0,0.0,258.0,262.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,258.0,0.0,0.0,228.0,262.0,258.0,0.0
Constance,285.0,0.0,642.0,913.0,836.0,745.0,0.0,753.0,343.0,262.0,0.0,927.0,0.0,0.0,0.0,240.0,240.0,0.0,753.0,927.0,0.0,0.0,0.0,0.0,313.0,468.0,0.0,0.0,753.0,0.0,0.0,468.0,551.0,824.0,0.0
Dauphin,285.0,0.0,683.0,836.0,836.0,810.0,183.0,753.0,343.0,262.0,927.0,0.0,0.0,0.0,0.0,240.0,240.0,0.0,753.0,944.0,0.0,0.0,15.0,183.0,527.0,651.0,0.0,0.0,753.0,0.0,0.0,651.0,734.0,930.0,0.0
EXECUTIONERS,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,187.0,138.0,0.0,0.0,0.0,187.0,4.0
Gurney,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERALDS.ENGLISH,0.0,0.0,240.0,240.0,240.0,240.0,0.0,240.0,264.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,264.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,240.0,0.0,0.0,240.0,240.0,234.0,0.0
HERALDS.FRENCH,0.0,0.0,240.0,240.0,240.0,240.0,0.0,240.0,276.0,0.0,240.0,240.0,0.0,0.0,0.0,264.0,0.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,240.0,0.0,0.0,240.0,240.0,234.0,0.0
Hubert,0.0,118.0,0.0,323.0,0.0,194.0,46.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,70.0,0.0,0.0,0.0,81.0,28.0,0.0,83.0,0.0,0.0,0.0,0.0,81.0,0.0
KingJohn,285.0,212.0,468.0,843.0,753.0,1080.0,95.0,753.0,343.0,258.0,753.0,753.0,0.0,187.0,0.0,240.0,240.0,292.0,0.0,753.0,0.0,96.0,0.0,0.0,247.0,697.0,28.0,95.0,1023.0,138.0,0.0,468.0,468.0,1133.0,4.0
KingPhilip,285.0,0.0,659.0,836.0,836.0,745.0,0.0,753.0,343.0,262.0,927.0,944.0,0.0,0.0,0.0,240.0,240.0,0.0,753.0,0.0,0.0,0.0,0.0,0.0,330.0,468.0,0.0,0.0,753.0,0.0,0.0,468.0,551.0,747.0,0.0
LadyFaulconbridge,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.ENGLISH.1,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.FRENCH.1,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melun,0.0,0.0,0.0,0.0,0.0,65.0,239.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,239.0,0.0,0.0,0.0,0.0,56.0,183.0,183.0,239.0,0.0
Pandulph,222.0,25.0,108.0,222.0,222.0,279.0,119.0,222.0,0.0,0.0,313.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,330.0,0.0,0.0,0.0,119.0,0.0,119.0,0.0,0.0,222.0,0.0,0.0,119.0,119.0,341.0,0.0
