,ATTENDANTS,Angus,Banquo,Caithness,Doctor1,Doctor2,Donalbain,Duncan,Fleance,Gentlewoman,Hecate,LadyMacbeth,LadyMacduff,Lennox,Lord,MESSENGERS.1,MESSENGERS.2,MESSENGERS.3,MURDERERS,MURDERERS.1,MURDERERS.2,MURDERERS.3,Macbeth,Macduff,MacduffsSon,Malcolm,Menteith,OldMan,Porter,Ross,SERVANTS.X.1,SERVANTS.X.2,SERVANTS.X.3,SERVANTS.X.4,SOLDIERS.Captain,SOLDIERS.MACBETH,SOLDIERS.MALCOLM,SPIRITS.1,SPIRITS.2,SPIRITS.3,SPIRITS.KINGS,Seyton,Siward,WITCHES.1,WITCHES.2,WITCHES.3,YoungSiward
ATTENDANTS,0.0,118.0,189.0,0.0,0.0,76.0,182.0,182.0,0.0,0.0,0.0,214.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,307.0,63.0,0.0,231.0,0.0,0.0,0.0,354.0,0.0,37.0,0.0,11.0,48.0,0.0,49.0,0.0,0.0,0.0,0.0,42.0,49.0,0.0,0.0,0.0,0.0
Angus,118.0,0.0,171.0,75.0,0.0,0.0,118.0,118.0,0.0,0.0,0.0,27.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,77.0,0.0,156.0,75.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,38.0
Banquo,189.0,171.0,0.0,0.0,0.0,0.0,135.0,88.0,48.0,0.0,0.0,176.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,378.0,99.0,0.0,135.0,0.0,0.0,0.0,325.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,56.0,56.0,56.0,0.0
Caithness,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,38.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,38.0
Doctor1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor2,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
Donalbain,182.0,118.0,135.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,62.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,86.0,0.0,242.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duncan,182.0,118.0,88.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,27.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,39.0,0.0,182.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fleance,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gentlewoman,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
