,ATTENDANTS,ATTENDANTS.0,Bianca,Brabantio,Cassio,Clown,Desdemona,Duke,Emilia,GENTLEMEN,GENTLEMEN.1,GENTLEMEN.2,GENTLEMEN.3,Gratiano,Herald,Iago,Lodovico,MESSENGERS.X.1,MESSENGERS.X.2,MUSICIANS,Montano,OFFICERS,OFFICERS.0,Othello,Roderigo,SENATORS,SERVANTS,SERVANTS.BRABANTIO,Sailor
ATTENDANTS,0.0,196.0,0.0,55.0,241.0,0.0,188.0,0.0,47.0,0.0,37.0,0.0,37.0,0.0,0.0,440.0,184.0,0.0,37.0,0.0,138.0,85.0,395.0,406.0,92.0,0.0,106.0,0.0,0.0
ATTENDANTS.0,196.0,0.0,138.0,0.0,667.0,50.0,1159.0,0.0,925.0,7.0,0.0,0.0,0.0,324.0,0.0,1779.0,397.0,0.0,0.0,21.0,197.0,103.0,2617.0,1733.0,220.0,0.0,12.0,0.0,0.0
Bianca,0.0,138.0,0.0,0.0,110.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,64.0,0.0,96.0,64.0,0.0,0.0,0.0,0.0,0.0,138.0,32.0,36.0,0.0,0.0,0.0,0.0
Brabantio,55.0,0.0,0.0,0.0,334.0,0.0,138.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,334.0,280.0,334.0,435.0,279.0,0.0,29.0,0.0
Cassio,241.0,667.0,110.0,334.0,0.0,28.0,512.0,280.0,367.0,57.0,186.0,54.0,186.0,185.0,0.0,1151.0,185.0,0.0,177.0,21.0,466.0,468.0,1352.0,801.0,591.0,280.0,182.0,0.0,0.0
Clown,0.0,50.0,0.0,0.0,28.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Desdemona,188.0,1159.0,0.0,138.0,512.0,22.0,0.0,139.0,972.0,0.0,143.0,17.0,143.0,214.0,0.0,781.0,229.0,0.0,143.0,0.0,340.0,242.0,1461.0,1019.0,289.0,139.0,12.0,0.0,0.0
Duke,0.0,0.0,0.0,279.0,280.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,11.0,0.0,0.0,0.0,335.0,281.0,280.0,280.0,335.0,0.0,0.0,5.0
Emilia,47.0,925.0,21.0,0.0,367.0,22.0,972.0,0.0,0.0,0.0,143.0,17.0,143.0,235.0,0.0,553.0,134.0,0.0,143.0,0.0,333.0,103.0,1068.0,554.0,143.0,0.0,0.0,0.0,0.0
GENTLEMEN,0.0,7.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,58.0,0.0,65.0,7.0,0.0,0.0,58.0,0.0,0.0
