,ATTENDANTS,ATTENDANTS.GAUNT,ATTENDANTS.HENRY,AbbotOfWestminster,Aumerle,Bagot,Berkeley,BishopOfCarlisle,Bushy,DuchessOfGloucester,DuchessOfYork,Exton,Fitzwater,Gardener,Gaunt,Green,Groom,HERALDS.1,HERALDS.2,HERALDS.X,HenryIV,Hotspur,Jailer,LADIES,LORDS,LORDS.1,LordMarshal,Mowbray,Northumberland,OFFICERS,OFFICERS.0,OFFICERS.0.1,Queen,RichardII,Ross,SERVANTS.EXTON,SERVANTS.GARDENER.1,SERVANTS.GARDENER.2,SERVANTS.YORK.1,SOLDIERS.HENRY,SOLDIERS.RICHARD,Salisbury,Scroop,Surrey,WelshCaptain,Willoughby,York
ATTENDANTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,211.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.GAUNT,0.0,0.0,0.0,0.0,71.0,71.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,145.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,145.0
ATTENDANTS.HENRY,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0
AbbotOfWestminster,0.0,0.0,0.0,0.0,347.0,332.0,0.0,347.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,333.0,333.0,0.0,0.0,0.0,333.0,0.0,0.0,333.0,333.0,330.0,61.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,218.0
Aumerle,0.0,71.0,157.0,347.0,0.0,556.0,0.0,573.0,171.0,0.0,157.0,0.0,333.0,0.0,381.0,224.0,0.0,248.0,229.0,333.0,912.0,496.0,0.0,0.0,254.0,333.0,316.0,205.0,569.0,581.0,330.0,278.0,158.0,1013.0,158.0,0.0,0.0,0.0,3.0,157.0,226.0,163.0,134.0,333.0,0.0,158.0,711.0
Bagot,0.0,71.0,0.0,332.0,556.0,0.0,0.0,332.0,328.0,0.0,0.0,0.0,332.0,0.0,71.0,340.0,0.0,0.0,0.0,332.0,332.0,332.0,0.0,0.0,0.0,332.0,0.0,0.0,411.0,332.0,330.0,47.0,287.0,386.0,158.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,332.0,0.0,158.0,420.0
Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,92.0
BishopOfCarlisle,0.0,0.0,0.0,347.0,573.0,332.0,0.0,0.0,0.0,0.0,0.0,15.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,367.0,367.0,0.0,0.0,0.0,333.0,0.0,0.0,367.0,333.0,330.0,95.0,0.0,388.0,0.0,23.0,0.0,0.0,0.0,0.0,226.0,163.0,134.0,333.0,0.0,0.0,252.0
Bushy,0.0,71.0,0.0,0.0,171.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,324.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,287.0,171.0,158.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,239.0
DuchessOfGloucester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuchessOfYork,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0
Exton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,42.0,0.0,15.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Fitzwater,0.0,0.0,0.0,333.0,333.0,332.0,0.0,367.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,373.0,367.0,0.0,0.0,0.0,333.0,0.0,0.0,373.0,333.0,330.0,87.0,0.0,162.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,258.0
