,ATTENDANTS,Abbess,Adriana,Angelo,AntipholusOfEphesus,AntipholusOfSyracuse,Balthasar,Courtesan,DromioOfEphesus,DromioOfSyracuse,Duke,Egeon,Headsman,Luce,Luciana,Merchant1,Merchant2,Messenger,OFFICERS,OFFICERS.Jailer,OFFICERS.X,OTHERS,Pinch,SERVANTS.PINCH
ATTENDANTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0
Abbess,0.0,0.0,159.0,159.0,80.0,80.0,0.0,159.0,80.0,80.0,80.0,80.0,80.0,0.0,159.0,0.0,159.0,80.0,80.0,0.0,0.0,159.0,0.0,0.0
Adriana,0.0,159.0,0.0,393.0,329.0,202.0,5.0,502.0,376.0,250.0,287.0,287.0,287.0,5.0,797.0,0.0,388.0,249.0,287.0,0.0,114.0,388.0,95.0,26.0
Angelo,0.0,159.0,393.0,0.0,498.0,123.0,172.0,388.0,409.0,132.0,287.0,287.0,287.0,28.0,388.0,0.0,530.0,249.0,287.0,0.0,110.0,388.0,0.0,0.0
AntipholusOfEphesus,0.0,80.0,329.0,498.0,0.0,86.0,172.0,324.0,546.0,110.0,229.0,229.0,229.0,28.0,324.0,0.0,326.0,229.0,229.0,0.0,235.0,229.0,95.0,26.0
AntipholusOfSyracuse,0.0,80.0,202.0,123.0,86.0,0.0,0.0,126.0,143.0,541.0,80.0,80.0,80.0,0.0,278.0,32.0,108.0,80.0,80.0,0.0,4.0,85.0,0.0,0.0
Balthasar,0.0,0.0,5.0,172.0,172.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtesan,0.0,159.0,502.0,388.0,324.0,126.0,0.0,0.0,324.0,126.0,287.0,287.0,287.0,0.0,502.0,0.0,388.0,249.0,287.0,0.0,114.0,388.0,95.0,26.0
DromioOfEphesus,0.0,80.0,376.0,409.0,546.0,143.0,172.0,324.0,0.0,101.0,229.0,229.0,229.0,28.0,371.0,0.0,237.0,229.0,229.0,0.0,139.0,229.0,95.0,26.0
DromioOfSyracuse,0.0,80.0,250.0,132.0,110.0,541.0,0.0,126.0,101.0,0.0,80.0,80.0,80.0,0.0,230.0,18.0,132.0,80.0,80.0,0.0,28.0,85.0,0.0,0.0
Duke,158.0,80.0,287.0,287.0,229.0,80.0,0.0,287.0,229.0,80.0,0.0,445.0,287.0,0.0,287.0,0.0,287.0,249.0,287.0,158.0,0.0,287.0,0.0,0.0
Egeon,158.0,80.0,287.0,287.0,229.0,80.0,0.0,287.0,229.0,80.0,445.0,0.0,287.0,0.0,287.0,0.0,287.0,249.0,287.0,158.0,0.0,287.0,0.0,0.0
Headsman,0.0,80.0,287.0,287.0,229.0,80.0,0.0,287.0,229.0,80.0,287.0,287.0,0.0,0.0,287.0,0.0,287.0,249.0,287.0,0.0,0.0,287.0,0.0,0.0
Luce,0.0,0.0,5.0,28.0,28.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luciana,0.0,159.0,797.0,388.0,324.0,278.0,0.0,502.0,371.0,230.0,287.0,287.0,287.0,0.0,0.0,0.0,388.0,249.0,287.0,0.0,114.0,388.0,95.0,26.0
Merchant1,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merchant2,0.0,159.0,388.0,530.0,326.0,108.0,0.0,388.0,237.0,132.0,287.0,287.0,287.0,0.0,388.0,0.0,0.0,249.0,287.0,0.0,110.0,388.0,0.0,0.0
Messenger,0.0,80.0,249.0,249.0,229.0,80.0,0.0,249.0,229.0,80.0,249.0,249.0,249.0,0.0,249.0,0.0,249.0,0.0,249.0,0.0,0.0,249.0,0.0,0.0
OFFICERS,0.0,80.0,287.0,287.0,229.0,80.0,0.0,287.0,229.0,80.0,287.0,287.0,287.0,0.0,287.0,0.0,287.0,249.0,0.0,0.0,0.0,287.0,0.0,0.0
OFFICERS.Jailer,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OFFICERS.X,0.0,0.0,114.0,110.0,235.0,4.0,0.0,114.0,139.0,28.0,0.0,0.0,0.0,0.0,114.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,95.0,26.0
OTHERS,0.0,159.0,388.0,388.0,229.0,85.0,0.0,388.0,229.0,85.0,287.0,287.0,287.0,0.0,388.0,0.0,388.0,249.0,287.0,0.0,0.0,0.0,0.0,0.0
Pinch,0.0,0.0,95.0,0.0,95.0,0.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,26.0
SERVANTS.PINCH,0.0,0.0,26.0,0.0,26.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0
