,ATTENDANTS.ARRAGON,ATTENDANTS.BASSANIO,ATTENDANTS.BASSANIO.1,ATTENDANTS.BASSANIO.2,ATTENDANTS.BASSANIO.Leonardo,ATTENDANTS.DUKE,ATTENDANTS.DUKE.0,ATTENDANTS.MOROCCO,ATTENDANTS.PORTIA,ATTENDANTS.PORTIA.Balthazar,ATTENDANTS.PORTIA.Stephano,Antonio,Arragon,Bassanio,Duke,Gratiano,Jailer,Jessica,LanceletGobbo,Lorenzo,MUSICIANS,Messenger,Morocco,Nerissa,OldGobbo,Portia,SERVANTS.1,SERVANTS.2,Salarino,Salerio,Shylock,Solanio,Tubal
ATTENDANTS.ARRAGON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.BASSANIO,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,339.0,0.0,190.0,190.0,0.0,529.0,0.0,529.0,0.0,307.0,0.0,307.0,190.0,0.0,0.0,529.0,0.0,529.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0
ATTENDANTS.BASSANIO.1,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.BASSANIO.2,0.0,0.0,5.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.BASSANIO.Leonardo,0.0,0.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,2.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.DUKE,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,425.0,0.0,425.0,425.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,257.0,0.0,0.0,0.0,425.0,402.0,0.0,0.0
ATTENDANTS.DUKE.0,0.0,190.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,287.0,497.0,0.0,497.0,257.0,512.0,0.0,329.0,10.0,329.0,256.0,0.0,0.0,553.0,0.0,552.0,0.0,0.0,0.0,307.0,250.0,0.0,0.0
ATTENDANTS.MOROCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.PORTIA,81.0,339.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,81.0,339.0,0.0,339.0,0.0,117.0,0.0,117.0,0.0,19.0,134.0,584.0,0.0,581.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0
ATTENDANTS.PORTIA.Balthazar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0,0.0,58.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.PORTIA.Stephano,0.0,190.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,190.0,0.0,190.0,0.0,190.0,0.0,287.0,10.0,287.0,256.0,0.0,0.0,232.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio,0.0,190.0,0.0,0.0,0.0,425.0,497.0,0.0,0.0,0.0,190.0,0.0,0.0,953.0,425.0,731.0,39.0,190.0,0.0,250.0,190.0,0.0,0.0,536.0,0.0,488.0,0.0,0.0,72.0,475.0,571.0,111.0,0.0
