,AnnePage,BOYS,Bardolph,DoctorCaius,Falstaff,Fenton,Host,HughEvans,John,MasterFord,MasterPage,MistressFord,MistressPage,MistressQuickly,Nym,Pistol,Robert,Robin,Rugby,Shallow,Simple,Slender,WilliamPage
AnnePage,0.0,93.0,2.0,34.0,95.0,131.0,0.0,102.0,0.0,34.0,62.0,34.0,64.0,167.0,2.0,95.0,0.0,0.0,0.0,65.0,15.0,147.0,0.0
BOYS,93.0,0.0,0.0,42.0,215.0,34.0,0.0,219.0,0.0,146.0,146.0,146.0,146.0,215.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
Bardolph,2.0,0.0,0.0,7.0,167.0,0.0,56.0,96.0,0.0,6.0,86.0,6.0,6.0,7.0,106.0,106.0,0.0,20.0,0.0,86.0,0.0,86.0,0.0
DoctorCaius,34.0,42.0,7.0,0.0,65.0,34.0,165.0,298.0,62.0,234.0,346.0,176.0,124.0,127.0,0.0,42.0,62.0,0.0,261.0,229.0,126.0,184.0,0.0
Falstaff,95.0,215.0,167.0,65.0,0.0,34.0,84.0,327.0,13.0,405.0,248.0,341.0,280.0,383.0,172.0,525.0,13.0,248.0,0.0,92.0,33.0,156.0,0.0
Fenton,131.0,34.0,0.0,34.0,34.0,0.0,55.0,34.0,0.0,34.0,46.0,34.0,64.0,145.0,0.0,34.0,0.0,0.0,0.0,56.0,0.0,90.0,0.0
Host,0.0,0.0,56.0,165.0,84.0,55.0,0.0,87.0,0.0,80.0,183.0,0.0,0.0,0.0,14.0,14.0,0.0,14.0,156.0,174.0,93.0,139.0,0.0
HughEvans,102.0,219.0,96.0,298.0,327.0,34.0,87.0,0.0,62.0,426.0,626.0,367.0,393.0,293.0,86.0,301.0,62.0,0.0,90.0,461.0,188.0,444.0,78.0
John,0.0,0.0,0.0,62.0,13.0,0.0,0.0,62.0,0.0,62.0,62.0,69.0,29.0,0.0,0.0,0.0,87.0,0.0,0.0,52.0,0.0,0.0,0.0
MasterFord,34.0,146.0,6.0,234.0,405.0,34.0,80.0,426.0,62.0,0.0,546.0,414.0,381.0,154.0,30.0,166.0,62.0,19.0,37.0,158.0,0.0,106.0,0.0
MasterPage,62.0,146.0,86.0,346.0,248.0,46.0,183.0,626.0,62.0,546.0,0.0,426.0,386.0,166.0,116.0,252.0,62.0,0.0,143.0,443.0,79.0,405.0,0.0
MistressFord,34.0,146.0,6.0,176.0,341.0,34.0,0.0,367.0,69.0,414.0,426.0,0.0,730.0,154.0,36.0,172.0,69.0,74.0,0.0,78.0,0.0,76.0,0.0
MistressPage,64.0,146.0,6.0,124.0,280.0,64.0,0.0,393.0,29.0,381.0,386.0,730.0,0.0,270.0,36.0,172.0,29.0,93.0,0.0,38.0,0.0,88.0,86.0
MistressQuickly,167.0,215.0,7.0,127.0,383.0,145.0,0.0,293.0,0.0,154.0,166.0,154.0,270.0,0.0,0.0,316.0,0.0,101.0,91.0,56.0,116.0,126.0,86.0
Nym,2.0,0.0,106.0,0.0,172.0,0.0,14.0,86.0,0.0,30.0,116.0,36.0,36.0,0.0,0.0,213.0,0.0,86.0,0.0,86.0,0.0,86.0,0.0
Pistol,95.0,215.0,106.0,42.0,525.0,34.0,14.0,301.0,0.0,166.0,252.0,172.0,172.0,316.0,213.0,0.0,0.0,189.0,0.0,86.0,0.0,156.0,0.0
Robert,0.0,0.0,0.0,62.0,13.0,0.0,0.0,62.0,87.0,62.0,62.0,69.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
Robin,0.0,0.0,20.0,0.0,248.0,0.0,14.0,0.0,0.0,19.0,0.0,74.0,93.0,101.0,86.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rugby,0.0,0.0,0.0,261.0,0.0,0.0,156.0,90.0,0.0,37.0,143.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,142.0,130.0,142.0,0.0
Shallow,65.0,0.0,86.0,229.0,92.0,56.0,174.0,461.0,52.0,158.0,443.0,78.0,38.0,56.0,86.0,86.0,52.0,0.0,142.0,0.0,144.0,509.0,0.0
Simple,15.0,0.0,0.0,126.0,33.0,0.0,93.0,188.0,0.0,0.0,79.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,130.0,144.0,0.0,152.0,0.0
Slender,147.0,70.0,86.0,184.0,156.0,90.0,139.0,444.0,0.0,106.0,405.0,76.0,88.0,126.0,86.0,156.0,0.0,0.0,142.0,509.0,152.0,0.0,0.0
WilliamPage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
