,Baptista,Bianca,Biondello,Curtis,Gremio,Grumio,HUNTSMEN,Haberdasher,Hortensio,Hostess,Katherine,Lord,Lucentio,Merchant,Messenger,Officer,PLAYERS,Page,Petruchio,SERVANTS,SERVANTS.BAPTISTA,SERVANTS.BAPTISTA.1,SERVANTS.LORD,SERVANTS.LORD.0,SERVANTS.LORD.0.1,SERVANTS.PETRUCHIO,SERVANTS.PETRUCHIO.0.2,SERVANTS.PETRUCHIO.Joseph,SERVANTS.PETRUCHIO.Nathaniel,SERVANTS.PETRUCHIO.Nicholas,SERVANTS.PETRUCHIO.Peter,SERVANTS.PETRUCHIO.Phillip,Sly,Tailor,Tranio,Vincentio,Widow
Baptista,0.0,419.0,492.0,0.0,810.0,285.0,0.0,0.0,444.0,0.0,419.0,884.0,624.0,310.0,0.0,47.0,0.0,884.0,567.0,206.0,282.0,3.0,884.0,884.0,0.0,77.0,338.0,0.0,0.0,0.0,0.0,0.0,884.0,0.0,837.0,282.0,125.0
Bianca,419.0,0.0,245.0,0.0,414.0,183.0,0.0,0.0,376.0,0.0,323.0,605.0,572.0,127.0,0.0,32.0,0.0,605.0,256.0,125.0,235.0,5.0,605.0,605.0,0.0,32.0,230.0,0.0,0.0,0.0,0.0,0.0,605.0,0.0,449.0,154.0,125.0
Biondello,492.0,245.0,0.0,0.0,528.0,227.0,0.0,0.0,371.0,0.0,149.0,724.0,577.0,319.0,0.0,2.0,0.0,724.0,459.0,200.0,102.0,3.0,724.0,724.0,0.0,19.0,390.0,0.0,0.0,0.0,0.0,0.0,724.0,0.0,667.0,219.0,125.0
Curtis,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,21.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,21.0,0.0,0.0,0.0,128.0,128.0,0.0,0.0,7.0,34.0,41.0,34.0,41.0,34.0,128.0,0.0,0.0,0.0,0.0
Gremio,810.0,414.0,528.0,0.0,0.0,492.0,0.0,0.0,636.0,0.0,464.0,1109.0,808.0,255.0,0.0,51.0,0.0,1109.0,774.0,206.0,282.0,3.0,1109.0,1109.0,0.0,136.0,350.0,0.0,0.0,0.0,0.0,0.0,1109.0,0.0,933.0,337.0,125.0
Grumio,285.0,183.0,227.0,128.0,492.0,0.0,0.0,25.0,603.0,0.0,483.0,988.0,388.0,156.0,0.0,63.0,0.0,988.0,833.0,107.0,178.0,0.0,988.0,988.0,0.0,148.0,467.0,34.0,43.0,34.0,43.0,34.0,988.0,111.0,324.0,238.0,50.0
HUNTSMEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
Haberdasher,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0
Hortensio,444.0,376.0,371.0,0.0,636.0,603.0,0.0,25.0,0.0,0.0,501.0,1145.0,735.0,206.0,0.0,0.0,0.0,1145.0,885.0,206.0,76.0,8.0,1145.0,1145.0,0.0,81.0,501.0,0.0,0.0,0.0,0.0,0.0,1145.0,111.0,598.0,258.0,125.0
Hostess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
