,ATTENDANTS,ATTENDANTS.1,ATTENDANTS.2,ATTENDANTS.3,ATTENDANTS.PAULINA,ATTENDANTS.PAULINA.0.1,ATTENDANTS.X,Antigonus,Archidamus,Autolycus,Camillo,Chorus,Cleomenes,Dion,Dorcas,Florizell,Hermione,Jailer,LADIES,LADIES.Emilia,Leontes,MUSICIANS,Mamillius,Mopsa,OFFICERS,Paulina,Perdita,Perdita.Infant,Polixenes,SERVANTS,SERVANTS.SHEPHERD,SERVANTS.SHEPHERD.1,SERVANTS.X.1,SERVANTS.X.2,SERVANTS.X.3,SHEPHERDS,Sailor,Shepherd,ShepherdsSon
ATTENDANTS,0.0,0.0,0.0,0.0,0.0,684.0,0.0,401.0,0.0,0.0,422.0,0.0,138.0,138.0,0.0,192.0,667.0,0.0,368.0,0.0,1111.0,0.0,266.0,0.0,164.0,567.0,192.0,204.0,422.0,223.0,0.0,0.0,117.0,17.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.1,0.0,0.0,99.0,93.0,0.0,120.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.2,0.0,99.0,0.0,93.0,0.0,99.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.3,0.0,93.0,93.0,0.0,0.0,93.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.PAULINA,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.PAULINA.0.1,684.0,120.0,99.0,93.0,16.0,0.0,69.0,268.0,0.0,699.0,978.0,33.0,440.0,452.0,294.0,1115.0,328.0,73.0,259.0,55.0,1000.0,325.0,0.0,294.0,164.0,929.0,1115.0,349.0,704.0,498.0,325.0,58.0,128.0,17.0,38.0,294.0,18.0,776.0,661.0
ATTENDANTS.X,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0,69.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigonus,401.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,109.0,0.0,401.0,0.0,36.0,0.0,0.0,136.0,0.0,268.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
Archidamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autolycus,0.0,120.0,99.0,93.0,0.0,699.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,104.0,196.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,104.0,0.0,0.0,196.0,0.0,114.0,0.0,114.0,0.0,0.0,0.0,0.0,104.0,0.0,326.0,409.0
Camillo,422.0,0.0,0.0,0.0,0.0,978.0,0.0,0.0,48.0,196.0,0.0,0.0,0.0,0.0,294.0,921.0,399.0,0.0,0.0,0.0,614.0,325.0,261.0,294.0,0.0,192.0,921.0,0.0,1053.0,0.0,325.0,58.0,0.0,0.0,0.0,294.0,0.0,483.0,294.0
Chorus,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleomenes,138.0,0.0,0.0,0.0,0.0,440.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,131.0,38.0,0.0,138.0,0.0,413.0,0.0,0.0,0.0,38.0,393.0,131.0,0.0,0.0,275.0,0.0,0.0,117.0,0.0,38.0,0.0,0.0,0.0,0.0
Dion,138.0,0.0,0.0,0.0,0.0,452.0,69.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,131.0,38.0,0.0,138.0,0.0,425.0,0.0,0.0,0.0,38.0,405.0,131.0,0.0,0.0,275.0,0.0,0.0,117.0,0.0,38.0,0.0,0.0,0.0,0.0
Dorcas,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,104.0,294.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,294.0,0.0,0.0,294.0,0.0,294.0,0.0,294.0,37.0,0.0,0.0,0.0,294.0,0.0,294.0,294.0
Florizell,192.0,0.0,0.0,0.0,0.0,1115.0,69.0,0.0,0.0,196.0,921.0,0.0,131.0,131.0,294.0,0.0,169.0,0.0,0.0,0.0,323.0,325.0,0.0,294.0,0.0,323.0,1115.0,0.0,647.0,131.0,325.0,58.0,0.0,0.0,0.0,294.0,0.0,483.0,294.0
Hermione,667.0,0.0,0.0,0.0,0.0,328.0,0.0,109.0,0.0,0.0,399.0,0.0,38.0,38.0,0.0,169.0,0.0,0.0,310.0,0.0,667.0,0.0,308.0,0.0,154.0,328.0,169.0,0.0,399.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Jailer,0.0,0.0,0.0,0.0,16.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LADIES,368.0,0.0,0.0,0.0,0.0,259.0,0.0,109.0,0.0,0.0,0.0,0.0,138.0,138.0,0.0,0.0,310.0,0.0,0.0,0.0,368.0,0.0,78.0,0.0,154.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
LADIES.Emilia,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leontes,1111.0,0.0,0.0,0.0,0.0,1000.0,69.0,401.0,0.0,0.0,614.0,0.0,413.0,425.0,0.0,323.0,667.0,0.0,368.0,0.0,0.0,0.0,297.0,0.0,164.0,854.0,323.0,204.0,422.0,498.0,0.0,0.0,128.0,17.0,38.0,0.0,0.0,0.0,0.0
MUSICIANS,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,114.0,325.0,0.0,0.0,0.0,294.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,325.0,0.0,325.0,0.0,325.0,58.0,0.0,0.0,0.0,294.0,0.0,325.0,294.0
Mamillius,266.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,78.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mopsa,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,104.0,294.0,0.0,0.0,0.0,294.0,294.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,294.0,0.0,294.0,0.0,294.0,37.0,0.0,0.0,0.0,294.0,0.0,294.0,294.0
OFFICERS,164.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,154.0,0.0,154.0,0.0,164.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulina,567.0,0.0,0.0,0.0,21.0,929.0,69.0,136.0,0.0,0.0,192.0,0.0,393.0,405.0,0.0,323.0,328.0,73.0,239.0,55.0,854.0,0.0,0.0,0.0,154.0,0.0,323.0,136.0,192.0,411.0,0.0,0.0,97.0,0.0,38.0,0.0,0.0,0.0,0.0
Perdita,192.0,0.0,0.0,0.0,0.0,1115.0,69.0,0.0,0.0,196.0,921.0,0.0,131.0,131.0,294.0,1115.0,169.0,0.0,0.0,0.0,323.0,325.0,0.0,294.0,0.0,323.0,0.0,0.0,647.0,131.0,325.0,58.0,0.0,0.0,0.0,294.0,0.0,483.0,294.0
Perdita.Infant,204.0,0.0,0.0,0.0,0.0,349.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,81.0,62.0
