,ATTENDANTS.GREEK,ATTENDANTS.TROJAN,Achilles,Aeneas,Agamemnon,Ajax,Alexander,Andromache,Antenor,Bastard,Boy,Calchas,Cassandra,Cressida,Deiphobus,Diomedes,Hector,Helen,Helenus,MYRMIDONS,Menelaus,Nestor,Pandarus,Paris,Patroclus,Priam,Prologue,SERVANTS.AENEAS.1,SERVANTS.DIOMEDES.1,SERVANTS.PARIS.1,SERVANTS.TROILUS.1,SOLDIERS.GREEK,SOLDIERS.GREEK.1,SOLDIERS.TROJAN,Thersites,Troilus,Trumpeter,Ulysses
ATTENDANTS.GREEK,0.0,102.0,305.0,386.0,622.0,305.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,58.0,85.0,664.0,232.0,0.0,102.0,0.0,622.0,622.0,0.0,187.0,305.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,404.0,622.0
ATTENDANTS.TROJAN,102.0,0.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,102.0,117.0,102.0,0.0,102.0,102.0,105.0,219.0,102.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,102.0
Achilles,305.0,102.0,0.0,232.0,350.0,441.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,58.0,0.0,287.0,280.0,0.0,102.0,26.0,345.0,360.0,0.0,102.0,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,238.0,254.0,305.0,520.0
Aeneas,386.0,102.0,232.0,0.0,331.0,232.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,33.0,148.0,404.0,232.0,0.0,102.0,0.0,331.0,331.0,35.0,250.0,232.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,348.0,331.0,339.0
Agamemnon,622.0,102.0,350.0,331.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,58.0,0.0,891.0,250.0,0.0,102.0,0.0,713.0,953.0,0.0,102.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,26.0,250.0,404.0,911.0
Ajax,305.0,102.0,441.0,232.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,58.0,0.0,555.0,260.0,0.0,102.0,0.0,398.0,613.0,0.0,102.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,159.0,265.0,305.0,591.0
Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andromache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
Antenor,85.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,178.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,178.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,77.0,0.0,0.0
Bastard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
