,ATTENDANTS.OLIVIA,ATTENDANTS.OLIVIA.1,ATTENDANTS.ORSINO,ATTENDANTS.ORSINO.Curio,ATTENDANTS.ORSINO.Valentine,AndrewAguecheek,Antonio,Captain,Fabian,Feste,MUSICIANS,Malvolio,Maria,OFFICERS.1,OFFICERS.2,Olivia,Orsino,Priest,SAILORS,Sebastian,TobyBelch,Viola
ATTENDANTS.OLIVIA,0.0,0.0,316.0,316.0,0.0,37.0,316.0,0.0,228.0,244.0,0.0,163.0,65.0,316.0,316.0,506.0,316.0,254.0,0.0,193.0,30.0,370.0
ATTENDANTS.OLIVIA.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.ORSINO,316.0,0.0,0.0,540.0,56.0,37.0,366.0,0.0,317.0,215.0,130.0,57.0,0.0,366.0,366.0,316.0,572.0,254.0,0.0,193.0,17.0,529.0
ATTENDANTS.ORSINO.Curio,316.0,0.0,540.0,0.0,56.0,37.0,366.0,0.0,317.0,215.0,98.0,57.0,0.0,366.0,366.0,316.0,540.0,254.0,0.0,193.0,17.0,497.0
ATTENDANTS.ORSINO.Valentine,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,46.0
AndrewAguecheek,37.0,0.0,37.0,37.0,0.0,0.0,104.0,0.0,485.0,200.0,0.0,199.0,222.0,97.0,97.0,55.0,37.0,37.0,0.0,30.0,795.0,165.0
Antonio,316.0,0.0,366.0,366.0,0.0,104.0,0.0,0.0,345.0,137.0,0.0,57.0,0.0,426.0,426.0,316.0,366.0,254.0,0.0,289.0,84.0,433.0
Captain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,67.0
Fabian,228.0,0.0,317.0,317.0,0.0,485.0,345.0,0.0,0.0,175.0,0.0,263.0,168.0,338.0,338.0,240.0,317.0,166.0,0.0,135.0,615.0,480.0
Feste,244.0,0.0,215.0,215.0,0.0,200.0,137.0,0.0,175.0,0.0,39.0,285.0,208.0,137.0,137.0,244.0,215.0,137.0,0.0,151.0,277.0,275.0
MUSICIANS,0.0,0.0,130.0,98.0,19.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,87.0
Malvolio,163.0,4.0,57.0,57.0,0.0,199.0,57.0,0.0,263.0,285.0,0.0,0.0,197.0,57.0,57.0,225.0,57.0,57.0,0.0,57.0,297.0,73.0
Maria,65.0,4.0,0.0,0.0,0.0,222.0,0.0,0.0,168.0,208.0,0.0,197.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,424.0,68.0
OFFICERS.1,316.0,0.0,366.0,366.0,0.0,97.0,426.0,0.0,338.0,137.0,0.0,57.0,0.0,0.0,426.0,316.0,366.0,254.0,0.0,193.0,77.0,426.0
OFFICERS.2,316.0,0.0,366.0,366.0,0.0,97.0,426.0,0.0,338.0,137.0,0.0,57.0,0.0,426.0,0.0,316.0,366.0,254.0,0.0,193.0,77.0,426.0
Olivia,506.0,4.0,316.0,316.0,0.0,55.0,316.0,0.0,240.0,244.0,0.0,225.0,147.0,316.0,316.0,0.0,316.0,269.0,0.0,233.0,52.0,553.0
Orsino,316.0,0.0,572.0,540.0,56.0,37.0,366.0,0.0,317.0,215.0,130.0,57.0,0.0,366.0,366.0,316.0,0.0,254.0,0.0,193.0,17.0,579.0
Priest,254.0,0.0,254.0,254.0,0.0,37.0,254.0,0.0,166.0,137.0,0.0,57.0,0.0,254.0,254.0,269.0,254.0,0.0,0.0,208.0,17.0,254.0
SAILORS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
Sebastian,193.0,0.0,193.0,193.0,0.0,30.0,289.0,0.0,135.0,151.0,0.0,57.0,0.0,193.0,193.0,233.0,193.0,208.0,0.0,0.0,30.0,193.0
TobyBelch,30.0,0.0,17.0,17.0,0.0,795.0,84.0,0.0,615.0,277.0,0.0,297.0,424.0,77.0,77.0,52.0,17.0,17.0,0.0,30.0,0.0,191.0
Viola,370.0,0.0,529.0,497.0,46.0,165.0,433.0,67.0,480.0,275.0,87.0,73.0,68.0,426.0,426.0,553.0,579.0,254.0,67.0,193.0,191.0,0.0
