,ATTENDANTS,ATTENDANTS.ANTONY,ATTENDANTS.CAESAR,ATTENDANTS.OCTAVIA,ATTENDANTS.ROMAN,Agrippa,Alexas,Ambassador,Antony,Boy,CAPTAINS,Canidius,Charmian,Cleopatra,Countryman,Demetrius,Diomedes,Dolabella,EUNUCHS,Egyptian,Enobarbus,Eros,GUARDS,GUARDS.CAESAR,GUARDS.CAESAR.1,GUARDS.Dercetus,Gallus,Iras,Lepidus,MESSENGERS.ANTONY.1,MESSENGERS.ANTONY.2,MESSENGERS.ANTONY.3,MESSENGERS.CAESAR.1,MESSENGERS.CAESAR.2,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MESSENGERS.X.4,MESSENGERS.X.5,Maecenas,Mardian,Menas,Menecrates,Octavia,Octavius,Philo,Pompey,Proculeius,SERVANTS,SERVANTS.ANTONY,SERVANTS.Lamprius,SERVANTS.Lucillius,SERVANTS.Rannius,SERVANTS.X.1,SERVANTS.X.2,SOLDIERS,SOLDIERS.ANTONY,SOLDIERS.ANTONY.0,SOLDIERS.ANTONY.X.1,SOLDIERS.ANTONY.X.2,SOLDIERS.ANTONY.X.3,SOLDIERS.CAESAR,SOLDIERS.CAESAR.X.1,Scarus,Seleucus,Silius,Soothsayer,Taurus,Thidias,Varrius,Ventidius,WATCHMEN.1,WATCHMEN.2,WATCHMEN.Sentry
ATTENDANTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,13.0,0.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,41.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,49.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.ANTONY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.CAESAR,0.0,0.0,0.0,0.0,0.0,44.0,0.0,23.0,0.0,0.0,0.0,0.0,134.0,134.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.OCTAVIA,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.ROMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,60.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrippa,0.0,0.0,44.0,68.0,0.0,0.0,0.0,23.0,491.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,14.0,604.0,0.0,0.0,0.0,0.0,87.0,81.0,0.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,0.0,246.0,0.0,124.0,761.0,0.0,246.0,80.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,7.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,189.0,0.0,0.0,0.0
Alexas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,416.0,334.0,0.0,54.0,0.0,0.0,54.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,146.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambassador,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,23.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
Antony,102.0,82.0,0.0,0.0,0.0,491.0,55.0,20.0,0.0,138.0,151.0,60.0,572.0,680.0,0.0,54.0,128.0,0.0,54.0,0.0,835.0,293.0,115.0,0.0,0.0,16.0,0.0,528.0,492.0,31.0,5.0,7.0,0.0,0.0,45.0,0.0,3.0,0.0,0.0,435.0,75.0,246.0,0.0,109.0,503.0,54.0,246.0,0.0,153.0,46.0,1.0,1.0,1.0,0.0,73.0,108.0,73.0,89.0,8.0,20.0,25.0,0.0,0.0,90.0,0.0,0.0,26.0,0.0,51.0,0.0,193.0,0.0,0.0,0.0
Boy,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,138.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,0.0,138.0,0.0,138.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
