,ATTENDANTS,ATTENDANTS.0.1,ATTENDANTS.3,ATTENDANTS.CLOTEN.1,ATTENDANTS.CLOTEN.2,Arviragus,Belarius,Cloten,Cornelius,Cymbeline,Dutchman,Frenchman,GHOSTS.BROTHERS.1,GHOSTS.BROTHERS.2,GHOSTS.Father,GHOSTS.Mother,Guiderius,Iachimo,Imogen,JAILERS.1,JAILERS.2,Jupiter,LADIES.IMOGEN,LADIES.QUEEN,Lucius,MESSENGERS.1,MESSENGERS.2,MUSICIANS,Philario,Pisanio,Posthumus,Queen,SOLDIERS.BRITON,SOLDIERS.BRITON.0,SOLDIERS.ROMAN,Soothsayer,Spaniard
ATTENDANTS,0,15,0,36,36,586,586,202,559,869,0,0,0,0,0,0,586,506,554,0,0,0,0,559,620,2,0,0,0,629,514,223,506,586,506,506,0
ATTENDANTS.0.1,15,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
ATTENDANTS.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,71,0,0
ATTENDANTS.CLOTEN.1,36,0,0,0,161,0,0,161,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,36,0,0,0,0,0
ATTENDANTS.CLOTEN.2,36,0,0,161,0,0,0,161,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,36,0,0,0,0,0
Arviragus,586,0,0,0,0,0,1086,10,559,590,0,0,0,0,0,0,1081,506,747,0,0,0,0,559,506,0,0,0,0,586,506,0,510,586,510,506,0
Belarius,586,0,0,0,0,1086,0,10,559,590,0,0,0,0,0,0,1068,506,718,0,0,0,0,559,506,0,0,0,0,586,506,0,510,586,510,506,0
Cloten,202,15,0,161,161,10,10,0,0,192,0,0,0,0,0,0,54,0,82,0,0,0,15,0,114,2,0,20,0,84,0,202,0,0,0,0,0
Cornelius,559,0,0,0,0,559,559,0,0,559,0,0,0,0,0,0,559,506,506,0,0,0,0,563,506,0,0,0,0,582,506,54,506,559,506,506,0
Cymbeline,869,15,0,36,36,590,590,192,559,0,0,0,0,0,0,0,590,506,554,0,0,0,0,559,620,2,0,0,0,629,514,203,510,586,510,506,0
Dutchman,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,181,0,150,0,0,0,0,0,181
Frenchman,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,181,0,150,0,0,0,0,0,181
GHOSTS.BROTHERS.1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,94,0,0,0,0,0,21,0,0,0,0,0,0,0,0,94,0,0,94,0,0,0
GHOSTS.BROTHERS.2,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,94,0,0,0,0,0,21,0,0,0,0,0,0,0,0,94,0,0,94,0,0,0
