,ATTENDANTS,Bardolph,Bedford,Blunt,Chamberlain,DRAWERS.Francis,Douglas,Falstaff,Gadshill,Glendower,HenryIV,HenryV,Hotspur,LadyMortimer,LadyPercy,MESSENGERS.1,MESSENGERS.2,MESSENGERS.X,MistressQuickly,Mortimer,Northumberland,Peto,Poins,SERVANTS.HOTSPUR.1,SOLDIERS.HENRY,SOLDIERS.HOTSPUR,Sheriff,TRAVELERS.CARRIERS,TRAVELERS.CARRIERS.1,TRAVELERS.CARRIERS.2,TRAVELERS.CARRIERS.X,TRAVELERS.GENTLEMEN,Vernon,Vintner,Westmoreland,Worcester
ATTENDANTS,0,0,107,126,0,0,0,0,0,0,237,4,126,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,107,21
Bardolph,0,0,0,0,0,384,0,672,462,0,0,581,0,0,0,0,0,0,356,0,0,599,467,0,0,0,0,16,0,0,0,16,0,0,0,0
Bedford,107,0,0,121,0,0,0,155,0,0,290,217,34,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,121,0,169,121
Blunt,126,0,121,0,0,0,117,155,0,0,266,158,229,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,192,0,0,213
Chamberlain,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAWERS.Francis,0,384,0,0,0,0,0,356,384,0,0,433,0,0,0,0,0,0,204,0,0,384,386,0,0,0,0,0,0,0,0,0,0,2,0,0
Douglas,0,0,0,117,0,0,0,0,0,0,19,5,351,0,0,22,12,131,0,0,0,0,0,0,0,69,0,0,0,0,0,0,245,0,0,334
Falstaff,0,672,155,155,0,356,0,0,434,0,121,1019,94,0,0,0,0,0,328,0,0,616,491,0,0,0,21,16,0,0,21,16,106,0,30,106
Gadshill,0,462,0,0,51,384,0,434,0,0,0,444,0,0,0,0,0,0,225,0,0,462,444,0,0,0,0,16,17,17,0,16,0,0,0,0
Glendower,0,0,0,0,0,0,0,0,0,0,0,0,224,79,79,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
HenryIV,237,0,290,266,0,0,19,121,0,0,0,396,126,0,0,0,0,0,0,0,126,0,0,0,46,0,0,0,0,0,0,0,121,0,169,142
HenryV,4,581,217,158,0,433,5,1019,444,0,396,0,88,0,0,0,0,0,316,0,0,629,632,0,46,0,21,0,0,0,21,0,121,6,89,121
Hotspur,126,0,34,229,0,0,351,94,0,224,126,88,0,74,162,22,12,131,0,271,313,0,0,9,0,76,0,0,0,0,0,0,252,0,0,814
LadyMortimer,0,0,0,0,0,0,0,0,0,79,0,0,74,0,79,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
LadyPercy,0,0,0,0,0,0,0,0,0,79,0,0,162,79,0,0,0,0,0,79,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,79
MESSENGERS.1,0,0,0,0,0,0,22,0,0,0,0,0,22,0,0,0,12,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,22
MESSENGERS.2,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,12
MESSENGERS.X,0,0,0,0,0,0,131,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,131
MistressQuickly,0,356,0,0,0,204,0,328,225,0,0,316,0,0,0,0,0,0,0,0,0,316,225,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortimer,0,0,0,0,0,0,0,0,0,229,0,0,271,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276
Northumberland,126,0,0,126,0,0,0,0,0,0,126,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
Peto,0,599,0,0,0,384,0,616,462,0,0,629,0,0,0,0,0,0,316,0,0,0,467,0,0,0,21,16,0,0,21,16,0,0,0,0
Poins,0,467,0,0,0,386,0,491,444,0,0,632,0,0,0,0,0,0,225,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.HOTSPUR.1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLDIERS.HENRY,0,0,46,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,46,15
SOLDIERS.HOTSPUR,0,0,0,0,0,0,69,0,0,0,0,0,76,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,76
Sheriff,0,0,0,0,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0
TRAVELERS.CARRIERS,0,16,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0
TRAVELERS.CARRIERS.1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
TRAVELERS.CARRIERS.2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
TRAVELERS.CARRIERS.X,0,0,0,0,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0
TRAVELERS.GENTLEMEN,0,16,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Vernon,0,0,121,192,0,0,245,106,0,0,121,121,252,0,0,22,12,55,0,0,0,0,0,0,15,76,0,0,0,0,0,0,0,0,15,401
