,ATTENDANTS,Archbishop,BEADLES,Bardolph,Bedford,Blunt,Bullcalf,ChiefJustice,Chorus,Clarence,Colevile,DRAWERS.1,DRAWERS.Francis,DRAWERS.Will,DRAWERS.X,Davy,DollTearsheet,Falstaff,Feeble,Gloucester,Harcourt,Hastings,HenryIV,HenryV,LadyNorthumberland,LadyPercy,LordBardolph,MESSENGERS.1,MESSENGERS.Gower,MUSICIANS,Man,MistressQuickly,Morton,Mouldy,Mowbray,Northumberland,OFFICERS,OFFICERS.Fang,OFFICERS.Snare,Peto,Pistol,Poins,Porter,SERVANTS.CHIEFJUSTICE.1,SERVANTS.FALSTAFF.1,SERVANTS.HENRY,SOLDIERS.HENRY,SOLDIERS.REBEL,Shadow,Shallow,Silence,Surrey,Travers,Wart,Warwick,Westmoreland
ATTENDANTS,0,0,0,35,17,0,0,35,0,212,0,0,0,0,0,0,0,35,0,212,66,0,229,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0,0,0,0,35,0,0,0,0,202,80
Archbishop,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,496,361,0,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,142,380,0,0,0,0,0,0,0,302
BEADLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bardolph,35,0,0,0,6,0,158,151,0,0,0,0,133,0,0,172,263,903,207,0,0,0,0,271,0,0,0,0,33,150,253,393,0,158,0,0,116,130,130,14,254,236,0,0,790,0,0,0,207,528,373,0,0,207,0,0
Bedford,17,142,0,6,0,158,0,152,0,133,53,0,0,0,0,0,0,71,0,133,0,137,17,122,0,0,142,142,0,0,0,0,0,0,142,0,6,0,0,0,6,0,0,0,6,0,207,142,0,6,0,0,0,0,142,153
Blunt,0,0,0,0,158,0,0,105,0,105,53,0,0,0,0,0,0,53,0,105,0,0,81,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,81,0,0,186,7
Bullcalf,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,135,158,0,0,0,0,0,0,0,0,0,0,0,158,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,135,135,0,0,158,0,0
ChiefJustice,35,0,0,151,152,105,0,0,0,133,0,0,0,0,0,0,0,360,0,133,0,0,0,140,0,0,0,0,64,0,0,110,0,0,0,0,147,110,110,0,41,0,0,178,329,0,0,0,0,41,0,0,0,0,147,0
Chorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarence,212,0,0,0,133,105,0,133,0,0,0,0,0,0,0,0,0,0,0,345,66,0,212,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,80
Colevile,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,7
DRAWERS.1,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAWERS.Francis,0,0,0,133,0,0,0,0,0,0,0,21,0,7,0,0,133,133,0,0,0,0,0,124,0,0,0,0,0,133,0,133,0,0,0,0,0,0,0,0,0,124,0,0,133,0,0,0,0,0,0,0,0,0,0,0
DRAWERS.Will,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAWERS.X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,172,0,0,0,0,172,125,0,0,0,0,0
DollTearsheet,0,0,32,263,0,0,0,0,0,0,0,0,133,13,33,0,0,358,0,0,0,0,0,138,0,0,0,0,0,163,0,411,0,0,0,0,0,0,0,14,99,138,0,0,280,0,0,0,0,0,0,0,0,0,0,0
Falstaff,35,0,0,903,71,53,135,360,0,0,76,0,133,2,33,172,358,0,184,0,0,0,0,173,0,0,0,0,64,163,204,488,0,135,0,0,147,130,130,14,254,138,0,178,959,0,65,0,184,502,347,0,0,184,0,19
Feeble,0,0,0,207,0,0,158,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,183,183,0,0,207,0,0
Gloucester,212,0,0,0,133,105,0,133,0,345,0,0,0,0,0,0,0,0,0,0,66,0,212,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,80
Harcourt,66,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,66,0,0,66,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66
