,AMBASSADORS.ARMAGNAC.1,AMBASSADORS.EMPEROR.1,ATTENDANTS.ENGLISH,ATTENDANTS.FRENCH,Alanson,Basset,Bastard,Bedford,Burgundy,CardinalBeaufort,Charles,Countess,Exeter,Fastolf,Gargrave,General,Glansdale,Gloucester,Governor,HERALDS.ENGLISH,HERALDS.FRENCH.1,HenryVI,JAILERS,JohnTalbot,Lawyer,Legate,Lucy,MESSENGERS.ENGLISH.1,MESSENGERS.ENGLISH.2,MESSENGERS.ENGLISH.3,MESSENGERS.ENGLISH.X.1,MESSENGERS.ENGLISH.X.2,MESSENGERS.FRENCH.1,Mayor,Mortimer,OFFICERS,Porter,Pucelle,QueenMargaret,Reignier,SERVANTS.GLOUCESTER,SERVANTS.TALBOT.1,SERVANTS.WINCHESTER,SOLDIERS.ENGLISH,SOLDIERS.ENGLISH.0,SOLDIERS.ENGLISH.1,SOLDIERS.ENGLISH.Captain,SOLDIERS.ENGLISH.SOMERSET,SOLDIERS.ENGLISH.YORK,SOLDIERS.FRENCH,SOLDIERS.FRENCH.PUCELLE,SOLDIERS.FRENCH.Scout,SOLDIERS.FRENCH.Sergeant,SPIRITS,Salisbury,Shepherd,Somerset,Suffolk,Talbot,Vernon,WATCHMEN.1,WATCHMEN.2,Warwick,York
AMBASSADORS.ARMAGNAC.1,0,23,23,0,0,0,0,0,0,23,0,0,23,0,0,0,0,23,0,0,0,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBASSADORS.EMPEROR.1,23,0,23,0,0,0,0,0,0,23,0,0,23,0,0,0,0,23,0,0,0,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTENDANTS.ENGLISH,23,23,0,0,80,0,80,244,109,203,80,0,326,6,67,0,67,323,0,180,46,151,0,46,0,23,46,26,7,60,0,0,0,0,0,0,0,80,0,34,0,46,0,0,101,0,7,0,0,46,0,0,0,0,67,0,180,101,176,0,0,0,180,0
ATTENDANTS.FRENCH,0,0,0,0,59,0,59,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59
Alanson,0,0,80,59,0,0,352,34,176,59,456,0,0,0,0,0,0,0,0,0,48,0,0,64,0,0,46,0,0,0,0,0,0,0,0,0,0,297,0,309,0,64,0,0,59,0,0,0,0,248,0,14,0,0,0,0,0,0,98,0,0,0,59,59
Basset,0,0,0,0,0,0,0,0,0,123,0,0,123,0,0,0,0,123,96,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,123,123,27,139,0,0,123,123
Bastard,0,0,80,59,352,0,0,34,176,59,342,0,0,0,0,0,0,0,0,0,48,0,0,64,0,0,46,0,0,0,0,0,0,0,0,0,0,260,0,195,0,64,0,0,59,0,0,0,0,196,0,14,0,0,0,0,0,0,98,0,0,0,59,59
Bedford,0,0,244,0,34,0,34,0,157,169,34,0,169,6,0,0,0,169,0,169,0,0,0,0,0,0,0,26,7,60,0,0,28,0,0,0,0,34,0,34,0,0,0,61,11,0,7,0,0,0,0,0,0,0,11,0,169,0,157,0,33,33,169,0
Burgundy,0,0,109,0,176,0,176,157,0,0,176,0,0,0,0,0,0,0,0,0,48,0,0,64,0,0,46,0,0,0,0,0,28,0,0,0,0,176,0,55,0,64,0,85,11,0,0,0,0,142,0,14,0,0,11,0,0,0,245,0,33,33,0,0
CardinalBeaufort,23,23,203,59,59,123,59,169,0,0,59,0,594,39,0,0,0,651,174,180,0,419,0,0,0,28,0,26,7,60,0,0,0,108,0,31,0,0,0,59,127,0,127,27,81,0,0,0,0,0,0,0,0,0,0,0,576,396,105,123,0,0,657,477
