,AMBASSADORS,ATTENDANTS.ENGLISH,ATTENDANTS.ENGLISH.0,ATTENDANTS.ENGLISH.Huntington,ATTENDANTS.FRENCH,Alice,Bardolph,Beaumont,Bedford,Berri,BishopOfCanterbury,BishopOfEly,Bourbon,Boy,Brittany,Burgundy,Cambridge,Chorus,Clarence,Constable,Dauphin,Erpingham,Exeter,Fluellen,Gloucester,Governor,Gower,Grandpre,Grey,HERALDS,HERALDS.1,HenryV,Jamy,Katherine,KingOfFrance,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MacMorris,MistressQuickly,Montjoy,Nym,Orleans,Pistol,QueenOfFrance,Rambures,SOLDIERS.ENGLISH,SOLDIERS.ENGLISH.Bates,SOLDIERS.ENGLISH.Court,SOLDIERS.ENGLISH.Williams,SOLDIERS.FRENCH,SOLDIERS.FRENCH.LeFer,Salisbury,Scroop,Warwick,Westmoreland,York
AMBASSADORS,0.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,69.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
ATTENDANTS.ENGLISH,69.0,0.0,69.0,100.0,174.0,100.0,0.0,0.0,613.0,74.0,316.0,316.0,0.0,0.0,74.0,100.0,178.0,0.0,323.0,74.0,74.0,0.0,724.0,0.0,323.0,0.0,0.0,0.0,178.0,0.0,0.0,652.0,0.0,100.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,178.0,423.0,613.0,0.0
ATTENDANTS.ENGLISH.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,69.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
ATTENDANTS.ENGLISH.Huntington,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
ATTENDANTS.FRENCH,0.0,174.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,155.0,0.0,0.0,0.0,0.0,226.0,100.0,0.0,0.0,0.0,387.0,317.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,326.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,100.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
Alice,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,446.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,195.0,0.0
Bardolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,215.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beaumont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedford,69.0,613.0,69.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,316.0,316.0,0.0,0.0,0.0,100.0,178.0,0.0,323.0,0.0,0.0,163.0,861.0,0.0,594.0,8.0,0.0,0.0,178.0,0.0,0.0,867.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,100.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,86.0,178.0,423.0,765.0,5.0
Berri,0.0,74.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,155.0,155.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
