,Antony,Artemidorus,Brutus,COMMONERS,COMMONERS.Carpenter,COMMONERS.Cobbler,Caesar,Calphurnia,Casca,Cassius,Cicero,Cinna,CinnaPoet,Decius,Flavius,Lepidus,Ligarius,Lucius,Marullus,Messenger,Metellus,Octavius,PETITIONERS,PLEBEIANS,PLEBEIANS.0,Pindarus,Poet,Popilius,Portia,Publius,SENATORS,SERVANTS.ANTONY.1,SERVANTS.CAESAR.1,SERVANTS.OCTAVIUS.1,SOLDIERS.ANTONY,SOLDIERS.BRUTUS,SOLDIERS.BRUTUS.Cato,SOLDIERS.BRUTUS.Claudius,SOLDIERS.BRUTUS.Clitus,SOLDIERS.BRUTUS.Dardanus,SOLDIERS.BRUTUS.Flavius,SOLDIERS.BRUTUS.Labeo,SOLDIERS.BRUTUS.Lucilius,SOLDIERS.BRUTUS.Messala,SOLDIERS.BRUTUS.Strato,SOLDIERS.BRUTUS.Titinius,SOLDIERS.BRUTUS.Varro,SOLDIERS.BRUTUS.Volumnius,SOLDIERS.CASSIUS,Soothsayer,Trebonius
Antony,0.0,29.0,332.0,29.0,0.0,0.0,504.0,81.0,227.0,262.0,66.0,161.0,0.0,227.0,66.0,42.0,15.0,0.0,66.0,59.0,161.0,156.0,29.0,232.0,418.0,0.0,0.0,16.0,66.0,44.0,29.0,0.0,5.0,34.0,118.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,97.0,80.0,30.0,50.0,0.0,0.0,0.0,58.0,161.0
Artemidorus,29.0,0.0,104.0,0.0,0.0,0.0,104.0,0.0,104.0,104.0,0.0,104.0,0.0,104.0,0.0,104.0,0.0,0.0,0.0,0.0,104.0,0.0,104.0,0.0,0.0,0.0,0.0,16.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,29.0
Brutus,332.0,104.0,0.0,29.0,0.0,0.0,408.0,91.0,606.0,1203.0,66.0,458.0,0.0,524.0,66.0,104.0,54.0,197.0,66.0,50.0,458.0,80.0,104.0,67.0,670.0,58.0,16.0,16.0,147.0,129.0,104.0,22.0,15.0,0.0,80.0,173.0,24.0,71.0,48.0,48.0,24.0,23.0,247.0,265.0,110.0,306.0,71.0,71.0,25.0,133.0,383.0
COMMONERS,29.0,0.0,29.0,0.0,65.0,65.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,29.0,94.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
COMMONERS.Carpenter,0.0,0.0,0.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMONERS.Cobbler,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caesar,504.0,104.0,408.0,29.0,0.0,0.0,0.0,196.0,370.0,345.0,66.0,304.0,0.0,422.0,66.0,104.0,25.0,13.0,66.0,0.0,304.0,0.0,104.0,232.0,245.0,0.0,0.0,16.0,66.0,129.0,104.0,22.0,92.0,23.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,133.0,229.0
Calphurnia,81.0,0.0,91.0,29.0,0.0,0.0,196.0,0.0,91.0,66.0,66.0,25.0,0.0,143.0,66.0,0.0,25.0,0.0,66.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,25.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,25.0
Casca,227.0,104.0,606.0,29.0,0.0,0.0,370.0,91.0,0.0,709.0,107.0,480.0,0.0,524.0,66.0,104.0,25.0,0.0,66.0,0.0,458.0,0.0,104.0,0.0,0.0,0.0,0.0,16.0,66.0,129.0,104.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,383.0
Cassius,262.0,104.0,1203.0,29.0,0.0,0.0,345.0,66.0,709.0,0.0,66.0,455.0,0.0,499.0,66.0,104.0,0.0,57.0,66.0,50.0,433.0,50.0,104.0,11.0,540.0,72.0,16.0,16.0,66.0,104.0,104.0,22.0,0.0,0.0,50.0,140.0,23.0,0.0,0.0,0.0,23.0,23.0,183.0,261.0,23.0,338.0,0.0,23.0,25.0,133.0,358.0
Cicero,66.0,0.0,66.0,29.0,0.0,0.0,66.0,66.0,107.0,66.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
Cinna,161.0,104.0,458.0,0.0,0.0,0.0,304.0,25.0,480.0,455.0,0.0,0.0,0.0,458.0,0.0,104.0,25.0,0.0,0.0,0.0,458.0,0.0,104.0,0.0,0.0,0.0,0.0,16.0,0.0,129.0,104.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,383.0
CinnaPoet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Decius,227.0,104.0,524.0,29.0,0.0,0.0,422.0,143.0,524.0,499.0,66.0,458.0,0.0,0.0,66.0,104.0,25.0,0.0,66.0,0.0,458.0,0.0,104.0,0.0,0.0,0.0,0.0,16.0,66.0,129.0,104.0,22.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,383.0
Flavius,66.0,0.0,66.0,94.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
Lepidus,42.0,104.0,104.0,0.0,0.0,0.0,104.0,0.0,104.0,104.0,0.0,104.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,13.0,104.0,0.0,13.0,0.0,0.0,16.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,29.0
Ligarius,15.0,0.0,54.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Lucius,0.0,0.0,197.0,0.0,0.0,0.0,13.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,58.0,16.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,71.0,0.0,0.0,0.0,0.0,78.0,6.0,0.0,84.0,71.0,0.0,25.0,21.0,0.0
Marullus,66.0,0.0,66.0,94.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,0.0,0.0,66.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
