,ATTENDANTS,ATTENDANTS.ENGLISH,ATTENDANTS.FRENCH,Arthur,Austria,Bastard,Bigot,Blanche,CITIZENS,Chatillion,Constance,Dauphin,EXECUTIONERS,Essex,HERALDS.ENGLISH,HERALDS.FRENCH,Hubert,KingJohn,KingPhilip,MESSENGERS.ENGLISH.1,Melun,Pandulph,Pembroke,Peter,PrinceHenry,QueenEleanor,RobertFaulconbridge,SOLDIERS.1,SOLDIERS.ENGLISH,SOLDIERS.FRENCH,Salisbury,Sheriff
ATTENDANTS,0,0,0,285,285,277,0,285,0,0,285,285,0,0,0,0,0,285,285,0,0,222,0,0,0,285,0,0,0,0,285,0
ATTENDANTS.ENGLISH,0,0,0,83,0,18,0,0,0,0,0,0,0,0,0,0,118,212,0,0,0,25,104,0,0,83,0,0,0,0,104,0
ATTENDANTS.FRENCH,0,0,0,551,551,468,0,468,343,262,642,683,0,0,240,240,0,468,659,0,0,108,468,0,0,468,0,0,468,551,462,0
Arthur,285,83,551,0,836,917,110,753,343,262,913,836,15,0,240,240,323,843,836,0,0,222,578,0,0,836,0,0,468,551,934,0
Austria,285,0,551,836,0,745,0,753,343,262,836,836,0,0,240,240,0,753,836,0,0,222,468,0,0,753,0,0,468,551,747,0
Bastard,277,18,468,917,745,0,237,745,343,228,745,810,0,138,240,240,194,1080,745,48,65,279,705,28,72,901,138,0,533,533,1114,0
Bigot,0,0,0,110,0,237,0,0,0,0,0,183,0,0,0,0,46,95,0,0,239,119,455,0,105,0,0,56,183,183,460,0
Blanche,285,0,468,753,753,745,0,0,343,228,753,753,0,0,240,240,0,753,753,0,0,222,468,0,0,753,0,0,468,468,747,0
CITIZENS,0,0,343,343,343,343,0,343,0,103,343,343,0,0,264,276,0,343,343,0,0,0,343,0,0,343,0,0,343,343,337,0
Chatillion,0,0,262,262,262,228,0,228,103,0,262,262,0,30,0,0,0,258,262,0,0,0,258,0,0,258,0,0,228,262,258,0
Constance,285,0,642,913,836,745,0,753,343,262,0,927,0,0,240,240,0,753,927,0,0,313,468,0,0,753,0,0,468,551,824,0
Dauphin,285,0,683,836,836,810,183,753,343,262,927,0,0,0,240,240,0,753,944,0,183,527,651,0,0,753,0,0,651,734,930,0
EXECUTIONERS,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex,0,0,0,0,0,138,0,0,0,30,0,0,0,0,0,0,0,187,0,0,0,0,30,0,0,187,138,0,0,0,187,4
HERALDS.ENGLISH,0,0,240,240,240,240,0,240,264,0,240,240,0,0,0,264,0,240,240,0,0,0,240,0,0,240,0,0,240,240,234,0
HERALDS.FRENCH,0,0,240,240,240,240,0,240,276,0,240,240,0,0,264,0,0,240,240,0,0,0,240,0,0,240,0,0,240,240,234,0
Hubert,0,118,0,323,0,194,46,0,0,0,0,0,22,0,0,0,0,292,0,70,0,0,81,28,0,83,0,0,0,0,81,0
KingJohn,285,212,468,843,753,1080,95,753,343,258,753,753,0,187,240,240,292,0,753,96,0,247,697,28,95,1023,138,0,468,468,1133,4
KingPhilip,285,0,659,836,836,745,0,753,343,262,927,944,0,0,240,240,0,753,0,0,0,330,468,0,0,753,0,0,468,551,747,0
MESSENGERS.ENGLISH.1,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,70,96,0,0,0,0,0,28,0,0,0,0,0,0,0,0
Melun,0,0,0,0,0,65,239,0,0,0,0,183,0,0,0,0,0,0,0,0,0,119,239,0,0,0,0,56,183,183,239,0
Pandulph,222,25,108,222,222,279,119,222,0,0,313,527,0,0,0,0,0,247,330,0,119,0,119,0,0,222,0,0,119,119,341,0
Pembroke,0,104,468,578,468,705,455,468,343,258,468,651,0,30,240,240,81,697,468,0,239,119,0,0,119,498,0,56,651,651,1070,0
Peter,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0
PrinceHenry,0,0,0,0,0,72,105,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,119,0,0,0,0,0,0,0,124,0
QueenEleanor,285,83,468,836,753,901,0,753,343,258,753,753,0,187,240,240,83,1023,753,0,0,222,498,0,0,0,138,0,468,468,934,4
RobertFaulconbridge,0,0,0,0,0,138,0,0,0,0,0,0,0,138,0,0,0,138,0,0,0,0,0,0,0,138,0,0,0,0,138,0
SOLDIERS.1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,0,0,0,0,0,0,0,56,0
SOLDIERS.ENGLISH,0,0,468,468,468,533,183,468,343,228,468,651,0,0,240,240,0,468,468,0,183,119,651,0,0,468,0,0,0,651,645,0
SOLDIERS.FRENCH,0,0,551,551,551,533,183,468,343,262,551,734,0,0,240,240,0,468,551,0,183,119,651,0,0,468,0,0,651,0,645,0
Salisbury,285,104,462,934,747,1114,460,747,337,258,824,930,0,187,234,234,81,1133,747,0,239,341,1070,0,124,934,138,56,645,645,0,4
Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0
