,ATTENDANTS,ATTENDANTS.0,ATTENDANTS.ALBANY,ATTENDANTS.CORDELIA,ATTENDANTS.CORDELIA.1,ATTENDANTS.LEAR,ATTENDANTS.LEAR.0.3,ATTENDANTS.REGAN,ATTENDANTS.X.1,ATTENDANTS.X.2,ATTENDANTS.X.3,ATTENDANTS.X.4,Albany,Burgundy,Cordelia,Cornwall,Curan,Doctor,Edgar,Edmund,Fool,France,Gloucester,Goneril,Herald,Kent,Lear,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,OldMan,Oswald,Regan,SERVANTS,SERVANTS.0,SERVANTS.CORDELIA,SOLDIERS,SOLDIERS.CAPTAINS.1,SOLDIERS.CAPTAINS.2,SOLDIERS.CORDELIA,SOLDIERS.GONERIL,SOLDIERS.REGAN
ATTENDANTS,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,96.0,276.0,276.0,0.0,0.0,0.0,276.0,0.0,96.0,99.0,276.0,0.0,180.0,276.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.0,96.0,0.0,13.0,32.0,233.0,295.0,3306.0,97.0,39.0,572.0,77.0,66.0,675.0,96.0,364.0,840.0,13.0,131.0,1041.0,1037.0,1257.0,115.0,1544.0,1037.0,266.0,1822.0,1703.0,35.0,10.0,38.0,49.0,659.0,1145.0,687.0,84.0,93.0,380.0,45.0,350.0,8.0,25.0,45.0
ATTENDANTS.ALBANY,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0
ATTENDANTS.CORDELIA,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
ATTENDANTS.CORDELIA.1,0.0,233.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,187.0,0.0,0.0,99.0,123.0,0.0,0.0,0.0,35.0,88.0,88.0,198.0,181.0,0.0,0.0,38.0,0.0,0.0,88.0,0.0,0.0,93.0,88.0,0.0,88.0,0.0,0.0,0.0
ATTENDANTS.LEAR,0.0,295.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,110.0,0.0,295.0,295.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.LEAR.0.3,0.0,3306.0,13.0,32.0,233.0,254.0,0.0,97.0,39.0,572.0,77.0,66.0,579.0,0.0,249.0,744.0,13.0,131.0,995.0,749.0,1257.0,0.0,1347.0,866.0,266.0,1773.0,1566.0,35.0,10.0,38.0,49.0,628.0,1003.0,687.0,84.0,93.0,380.0,45.0,350.0,8.0,25.0,45.0
ATTENDANTS.REGAN,0.0,97.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,52.0,0.0,0.0,3.0,97.0,0.0,0.0,52.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0
ATTENDANTS.X.1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,7.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.X.2,0.0,572.0,0.0,0.0,0.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,572.0,0.0,456.0,222.0,0.0,572.0,535.0,0.0,0.0,0.0,0.0,236.0,374.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.X.3,0.0,77.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.X.4,0.0,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albany,276.0,675.0,13.0,0.0,88.0,37.0,579.0,25.0,0.0,0.0,0.0,0.0,0.0,96.0,364.0,276.0,0.0,0.0,270.0,568.0,69.0,96.0,99.0,735.0,266.0,340.0,421.0,35.0,0.0,38.0,0.0,8.0,496.0,0.0,0.0,0.0,350.0,0.0,350.0,0.0,25.0,25.0
