,Armado,BLACKAMOORS,Berowne,Boy,Boyet,Costard,Dull,Dumaine,Forester,Holofernes,Jaquenetta,Katherine,King,LORDS,Longaville,MUSICIANS,Marcade,Maria,Nathaniel,Princess,Rosaline
Armado,0.0,0.0,160.0,564.0,160.0,370.0,145.0,160.0,0.0,164.0,20.0,160.0,160.0,0.0,160.0,0.0,62.0,160.0,164.0,160.0,160.0
BLACKAMOORS,0.0,0.0,127.0,17.0,127.0,0.0,0.0,127.0,0.0,0.0,0.0,127.0,127.0,0.0,127.0,127.0,0.0,127.0,0.0,127.0,127.0
Berowne,160.0,127.0,0.0,203.0,882.0,470.0,131.0,1492.0,0.0,88.0,37.0,877.0,1551.0,94.0,1529.0,127.0,214.0,877.0,63.0,877.0,877.0
Boy,564.0,17.0,203.0,0.0,203.0,421.0,145.0,203.0,0.0,213.0,20.0,203.0,203.0,0.0,203.0,17.0,50.0,203.0,164.0,203.0,203.0
Boyet,160.0,127.0,882.0,203.0,0.0,391.0,0.0,864.0,122.0,88.0,0.0,1247.0,861.0,261.0,874.0,127.0,214.0,1289.0,63.0,1247.0,1273.0
Costard,370.0,0.0,470.0,421.0,391.0,0.0,349.0,429.0,80.0,286.0,130.0,349.0,429.0,80.0,429.0,0.0,50.0,391.0,261.0,349.0,375.0
Dull,145.0,0.0,131.0,145.0,0.0,349.0,0.0,123.0,0.0,347.0,93.0,0.0,123.0,0.0,123.0,0.0,0.0,0.0,347.0,0.0,0.0
Dumaine,160.0,127.0,1492.0,203.0,864.0,429.0,123.0,0.0,0.0,88.0,37.0,859.0,1492.0,94.0,1492.0,127.0,214.0,859.0,63.0,859.0,859.0
Forester,0.0,0.0,0.0,0.0,122.0,80.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,122.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0
Holofernes,164.0,0.0,88.0,213.0,88.0,286.0,347.0,88.0,0.0,0.0,73.0,88.0,88.0,0.0,88.0,0.0,39.0,88.0,386.0,88.0,88.0
Jaquenetta,20.0,0.0,37.0,20.0,0.0,130.0,93.0,37.0,0.0,73.0,0.0,0.0,37.0,0.0,37.0,0.0,0.0,0.0,73.0,0.0,0.0
Katherine,160.0,127.0,877.0,203.0,1247.0,349.0,0.0,859.0,122.0,88.0,0.0,0.0,856.0,306.0,869.0,127.0,214.0,1375.0,63.0,1375.0,1375.0
King,160.0,127.0,1551.0,203.0,861.0,429.0,123.0,1492.0,0.0,88.0,37.0,856.0,0.0,94.0,1529.0,127.0,214.0,856.0,63.0,856.0,856.0
LORDS,0.0,0.0,94.0,0.0,261.0,80.0,0.0,94.0,122.0,0.0,0.0,306.0,94.0,0.0,94.0,0.0,0.0,306.0,0.0,306.0,306.0
Longaville,160.0,127.0,1529.0,203.0,874.0,429.0,123.0,1492.0,0.0,88.0,37.0,869.0,1529.0,94.0,0.0,127.0,214.0,869.0,63.0,869.0,869.0
MUSICIANS,0.0,127.0,127.0,17.0,127.0,0.0,0.0,127.0,0.0,0.0,0.0,127.0,127.0,0.0,127.0,0.0,0.0,127.0,0.0,127.0,127.0
Marcade,62.0,0.0,214.0,50.0,214.0,50.0,0.0,214.0,0.0,39.0,0.0,214.0,214.0,0.0,214.0,0.0,0.0,214.0,39.0,214.0,214.0
Maria,160.0,127.0,877.0,203.0,1289.0,391.0,0.0,859.0,122.0,88.0,0.0,1375.0,856.0,306.0,869.0,127.0,214.0,0.0,63.0,1375.0,1401.0
Nathaniel,164.0,0.0,63.0,164.0,63.0,261.0,347.0,63.0,0.0,386.0,73.0,63.0,63.0,0.0,63.0,0.0,39.0,63.0,0.0,63.0,63.0
Princess,160.0,127.0,877.0,203.0,1247.0,349.0,0.0,859.0,122.0,88.0,0.0,1375.0,856.0,306.0,869.0,127.0,214.0,1375.0,63.0,0.0,1375.0
Rosaline,160.0,127.0,877.0,203.0,1273.0,375.0,0.0,859.0,122.0,88.0,0.0,1375.0,856.0,306.0,869.0,127.0,214.0,1401.0,63.0,1375.0,0.0
