,ATTENDANTS,Abhorson,Angelo,Barnardine,Bawd,Boy,CITIZENS,Claudio,Duke,Elbow,Escalus,FriarPeter,FriarThomas,Froth,GENTLEMEN.1,GENTLEMEN.2,Isabella,Juliet,Justice,Lucio,Mariana,Messenger,Nun,OFFICERS,OFFICERS.0.1,OFFICERS.0.2,OFFICERS.1,Pompey,Provost,SERVANTS,SERVANTS.1,Varrius
ATTENDANTS,0.0,0.0,653.0,66.0,0.0,0.0,613.0,66.0,674.0,0.0,703.0,568.0,0.0,0.0,0.0,0.0,424.0,66.0,0.0,598.0,396.0,0.0,0.0,598.0,296.0,296.0,0.0,0.0,552.0,0.0,0.0,613.0
Abhorson,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,88.0,23.0,0.0,0.0,0.0
Angelo,653.0,0.0,0.0,66.0,0.0,0.0,588.0,66.0,624.0,101.0,819.0,568.0,0.0,101.0,0.0,0.0,715.0,66.0,145.0,736.0,396.0,0.0,0.0,674.0,271.0,271.0,0.0,101.0,748.0,145.0,9.0,588.0
Barnardine,66.0,27.0,66.0,0.0,0.0,0.0,66.0,66.0,84.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,51.0,66.0,0.0,0.0,51.0,66.0,66.0,0.0,27.0,66.0,0.0,0.0,66.0
Bawd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,17.0,0.0,0.0,0.0,35.0,35.0,0.0,4.0,0.0,35.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,30.0,21.0,0.0,0.0,0.0
Boy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS,613.0,0.0,588.0,66.0,0.0,0.0,0.0,66.0,593.0,0.0,613.0,568.0,0.0,0.0,0.0,0.0,424.0,66.0,0.0,598.0,396.0,0.0,0.0,598.0,296.0,296.0,0.0,0.0,552.0,0.0,0.0,613.0
Claudio,66.0,0.0,66.0,66.0,4.0,0.0,66.0,0.0,154.0,0.0,66.0,66.0,0.0,0.0,0.0,73.0,217.0,151.0,0.0,124.0,66.0,0.0,0.0,136.0,66.0,66.0,10.0,4.0,224.0,0.0,0.0,66.0
Duke,674.0,20.0,624.0,84.0,17.0,3.0,593.0,154.0,0.0,85.0,744.0,559.0,58.0,0.0,0.0,0.0,666.0,101.0,0.0,755.0,421.0,8.0,0.0,680.0,296.0,296.0,0.0,105.0,914.0,0.0,0.0,596.0
Elbow,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,239.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,239.0,44.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,305.0,0.0,239.0,0.0,0.0
Escalus,703.0,0.0,819.0,66.0,17.0,0.0,613.0,66.0,744.0,239.0,0.0,568.0,0.0,175.0,0.0,0.0,424.0,66.0,295.0,598.0,396.0,0.0,0.0,854.0,296.0,296.0,0.0,220.0,629.0,295.0,0.0,613.0
