,ATTENDANTS,Antonio,Balthasar,Beatrice,Benedick,Borachio,Boy,Claudio,Conrade,Dogberry,DonJohn,DonPedro,FriarFrancis,Hero,Leonato,LeonatosBrother,MESSENGERS.DONPEDRO.1,MESSENGERS.LEONATO.1,MUSICIANS,MUSICIANS.1,Margaret,Sexton,Son,Ursula,Verges,WATCHMEN.1,WATCHMEN.2,WATCHMEN.Seacoal
ATTENDANTS,0.0,0.0,0.0,348.0,367.0,0.0,0.0,245.0,0.0,0.0,117.0,245.0,367.0,348.0,371.0,90.0,5.0,0.0,29.0,4.0,80.0,0.0,4.0,80.0,0.0,0.0,0.0,0.0
Antonio,0.0,0.0,69.0,69.0,69.0,69.0,0.0,69.0,0.0,0.0,69.0,69.0,0.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0
Balthasar,0.0,69.0,0.0,133.0,191.0,69.0,0.0,191.0,0.0,0.0,133.0,191.0,0.0,133.0,191.0,69.0,0.0,64.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0
Beatrice,348.0,69.0,133.0,0.0,664.0,69.0,0.0,406.0,0.0,0.0,250.0,406.0,364.0,893.0,749.0,248.0,5.0,157.0,0.0,0.0,306.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0
Benedick,367.0,69.0,191.0,664.0,0.0,69.0,6.0,844.0,0.0,0.0,250.0,833.0,401.0,560.0,851.0,189.0,5.0,64.0,0.0,0.0,190.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0
Borachio,0.0,69.0,69.0,69.0,69.0,0.0,0.0,219.0,344.0,224.0,176.0,202.0,0.0,69.0,149.0,149.0,0.0,0.0,0.0,0.0,69.0,148.0,0.0,69.0,224.0,310.0,305.0,310.0
Boy,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudio,245.0,69.0,191.0,406.0,844.0,219.0,0.0,0.0,133.0,126.0,322.0,1243.0,216.0,451.0,880.0,311.0,5.0,64.0,29.0,0.0,149.0,80.0,0.0,149.0,126.0,133.0,133.0,133.0
Conrade,0.0,0.0,0.0,0.0,0.0,344.0,0.0,133.0,0.0,224.0,72.0,133.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,224.0,310.0,305.0,310.0
Dogberry,0.0,0.0,0.0,0.0,0.0,224.0,0.0,126.0,224.0,0.0,0.0,126.0,0.0,0.0,127.0,73.0,0.0,3.0,0.0,0.0,0.0,141.0,0.0,0.0,379.0,317.0,317.0,317.0
DonJohn,117.0,69.0,133.0,250.0,250.0,176.0,0.0,322.0,72.0,0.0,0.0,305.0,117.0,250.0,250.0,69.0,0.0,64.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0
DonPedro,245.0,69.0,191.0,406.0,833.0,202.0,0.0,1243.0,133.0,126.0,305.0,0.0,216.0,501.0,930.0,311.0,5.0,64.0,29.0,0.0,149.0,80.0,0.0,149.0,126.0,133.0,133.0,133.0
FriarFrancis,367.0,0.0,0.0,364.0,401.0,0.0,0.0,216.0,0.0,0.0,117.0,216.0,0.0,364.0,401.0,120.0,5.0,0.0,0.0,0.0,96.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0
Hero,348.0,69.0,133.0,893.0,560.0,69.0,0.0,451.0,0.0,0.0,250.0,501.0,364.0,0.0,844.0,248.0,5.0,157.0,0.0,0.0,359.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0
Leonato,371.0,69.0,191.0,749.0,851.0,149.0,0.0,880.0,80.0,127.0,250.0,930.0,401.0,844.0,0.0,502.0,5.0,160.0,0.0,4.0,248.0,80.0,4.0,248.0,127.0,80.0,80.0,80.0
LeonatosBrother,90.0,69.0,69.0,248.0,189.0,149.0,0.0,311.0,80.0,73.0,69.0,311.0,120.0,248.0,502.0,0.0,5.0,0.0,0.0,4.0,248.0,80.0,4.0,248.0,73.0,80.0,80.0,80.0
MESSENGERS.DONPEDRO.1,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
MESSENGERS.LEONATO.1,0.0,0.0,64.0,157.0,64.0,0.0,0.0,64.0,0.0,3.0,64.0,64.0,0.0,157.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MUSICIANS,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSICIANS.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Margaret,80.0,69.0,69.0,306.0,190.0,69.0,0.0,149.0,0.0,0.0,69.0,149.0,96.0,359.0,248.0,248.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0
Sexton,0.0,0.0,0.0,0.0,0.0,148.0,0.0,80.0,148.0,141.0,0.0,80.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,148.0,148.0,148.0
Son,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ursula,80.0,69.0,69.0,344.0,170.0,69.0,0.0,149.0,0.0,0.0,69.0,149.0,96.0,370.0,248.0,248.0,5.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verges,0.0,0.0,0.0,0.0,0.0,224.0,0.0,126.0,224.0,379.0,0.0,126.0,0.0,0.0,127.0,73.0,0.0,3.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,317.0,317.0,317.0
WATCHMEN.1,0.0,0.0,0.0,0.0,0.0,310.0,0.0,133.0,310.0,317.0,0.0,133.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,317.0,0.0,398.0,403.0
WATCHMEN.2,0.0,0.0,0.0,0.0,0.0,305.0,0.0,133.0,305.0,317.0,0.0,133.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,317.0,398.0,0.0,398.0
WATCHMEN.Seacoal,0.0,0.0,0.0,0.0,0.0,310.0,0.0,133.0,310.0,317.0,0.0,133.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,317.0,403.0,398.0,0.0
