,ATTENDANTS,ATTENDANTS.0,Bianca,Brabantio,Cassio,Clown,Desdemona,Duke,Emilia,GENTLEMEN,GENTLEMEN.1,GENTLEMEN.2,GENTLEMEN.3,Gratiano,Iago,Lodovico,MESSENGERS.X.2,MUSICIANS,Montano,OFFICERS,OFFICERS.0,Othello,Roderigo,SENATORS,SERVANTS
ATTENDANTS,0,196,0,55,241,0,188,0,47,0,37,0,37,0,440,184,37,0,138,85,395,406,92,0,106
ATTENDANTS.0,196,0,138,0,667,50,1159,0,925,7,0,0,0,324,1779,397,0,21,197,103,2617,1733,220,0,12
Bianca,0,138,0,0,110,0,0,0,21,0,0,0,0,64,96,64,0,0,0,0,138,32,36,0,0
Brabantio,55,0,0,0,334,0,138,279,0,0,0,0,0,0,352,0,0,0,0,334,280,334,435,279,0
Cassio,241,667,110,334,0,28,512,280,367,57,186,54,186,185,1151,185,177,21,466,468,1352,801,591,280,182
Clown,0,50,0,0,28,0,22,0,22,0,0,0,0,0,0,0,0,18,0,0,50,0,0,0,0
Desdemona,188,1159,0,138,512,22,0,139,972,0,143,17,143,214,781,229,143,0,340,242,1461,1019,289,139,12
Duke,0,0,0,279,280,0,139,0,0,0,0,0,0,0,226,0,0,0,0,335,281,280,280,335,0
Emilia,47,925,21,0,367,22,972,0,0,0,143,17,143,235,553,134,143,0,333,103,1068,554,143,0,0
GENTLEMEN,0,7,0,0,57,0,0,0,0,0,0,0,0,0,65,0,0,0,58,0,65,7,0,0,58
GENTLEMEN.1,37,0,0,0,186,0,143,0,143,0,0,101,212,0,143,0,177,0,233,0,233,37,143,0,0
GENTLEMEN.2,0,0,0,0,54,0,17,0,17,0,101,0,80,0,17,0,45,0,101,0,101,0,17,0,0
GENTLEMEN.3,37,0,0,0,186,0,143,0,143,0,212,80,0,0,143,0,177,0,212,0,212,37,143,0,0
Gratiano,0,324,64,0,185,0,214,0,235,0,0,0,0,0,285,213,0,0,190,103,324,214,82,0,0
Iago,440,1779,96,352,1151,0,781,226,553,65,143,17,143,285,0,378,143,0,533,414,2668,1714,978,226,211
Lodovico,184,397,64,0,185,0,229,0,134,0,0,0,0,213,378,0,0,0,103,103,397,237,82,0,0
MESSENGERS.X.2,37,0,0,0,177,0,143,0,143,0,177,45,177,0,143,0,0,0,177,0,177,37,143,0,0
MUSICIANS,0,21,0,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
Montano,138,197,0,0,466,0,340,0,333,58,233,101,212,190,533,103,177,0,0,103,629,328,158,0,206
OFFICERS,85,103,0,334,468,0,242,335,103,0,0,0,0,103,414,103,0,0,103,0,439,461,335,335,0
OFFICERS.0,395,2617,138,280,1352,50,1461,281,1068,65,233,101,212,324,2668,397,177,21,629,439,0,2165,823,281,211
Othello,406,1733,32,334,801,0,1019,280,554,7,37,0,37,214,1714,237,37,0,328,461,2165,0,391,280,106
Roderigo,92,220,36,435,591,0,289,280,143,0,143,17,143,82,978,82,143,0,158,335,823,391,0,280,15
SENATORS,0,0,0,279,280,0,139,335,0,0,0,0,0,0,226,0,0,0,0,335,281,280,280,0,0
SERVANTS,106,12,0,0,182,0,12,0,0,58,0,0,0,0,211,0,0,0,206,0,211,106,15,0,0
