,ATTENDANTS.PERICLES,ATTENDANTS.PERICLES.1,ATTENDANTS.SIMONIDES,Antiochus,Bawd,Bolt,CITIZENS.TARSUS,Cerimon,Cleon,Companion,Daughter,Diana,Dionyza,FISHERMEN.1,FISHERMEN.2,FISHERMEN.3,FOLLOWERS.ANTIOCHUS,GENTLEMEN.EPHESUS.1,GENTLEMEN.EPHESUS.2,GENTLEMEN.MYTILENE.1,GENTLEMEN.MYTILENE.2,GENTLEMEN.TYRE,Gower,Helicanus,KNIGHTS,LADIES.PENTAPOLIS,LORDS.MYTILENE,LORDS.MYTILENE.0.1,LORDS.PENTAPOLIS,LORDS.TARSUS.1,LORDS.TYRE,LORDS.TYRE.Escanes,Leonine,Lychorida,Lysimachus,MESSENGERS.ANTIOCH.1,Marina,Marina.Infant,Marshal,PIRATES,PRIESTESSES,Pander,Pericles,Philemon,SAILORS.1,SAILORS.2,SAILORS.MYTILENE.1,SAILORS.TYRE.1,SERVANTS.CERIMON,SERVANTS.CERIMON.0.2,SUPPLIANTS.1,SUPPLIANTS.2,Simonides,Thaisa,Thaliard
ATTENDANTS.PERICLES,0,0,0,0,0,0,25,98,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,114,0,0,0,114,0,0,0,0,0,0,114,0,114,0,0,0,98,0,139,0,0,0,0,0,0,114,0,0,0,98,0
ATTENDANTS.SIMONIDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,0,0,184,0,0,0,0,0,0,0,0,0,123,0,0,0,123,0,0,0,0,0,0,0,0,0,184,184,0
Antiochus,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,24
Bawd,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,163,0,0,16,0,136,0,0,0,0,0,0,0,243,0,0,0,0,0
Bolt,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,196,0,0,16,0,122,0,0,0,0,0,0,0,262,0,0,0,0,0
CITIZENS.TARSUS,25,0,0,0,0,0,0,0,110,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Cerimon,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117,0,0,0,0,98,0,0,0,98,0,0,0,0,0,0,98,0,98,0,0,0,98,0,98,3,0,0,0,0,75,145,11,11,0,115,0
Cleon,25,0,0,0,0,0,110,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,48,0,0,0,48,0,0,0,0,73,0,0,0,0,0,0,105,0,0,0,0,0
Companion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,201,0,0,201,201,0,0,0,0,0,0,201,0,201,0,0,0,0,0,201,0,0,0,201,201,0,201,0,0,0,0,0
Daughter,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0
