,ATTENDANTS,ATTENDANTS.0,ATTENDANTS.0.1,ATTENDANTS.RICHMOND,Archbishop,BISHOPS,BishopOfEly,Blunt,Brakenbury,Brandon,Buckingham,CITIZENS,CITIZENS.0,Cardinal,Catesby,Clarence,ClarencesBoy,ClarencesDaughter,Dorset,DuchessOfYork,EdwardIV,EdwardV,GENTLEMEN,GUARDS,Grey,Hastings,HenryVI,HenryVII,Herbert,Jailer,LadyAnne,Lovell,MESSENGERS.1,MESSENGERS.2,MESSENGERS.3,MESSENGERS.4,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MURDERERS.1,MURDERERS.2,MayorOfLondon,Norfolk,Oxford,PrinceEdward,Pursuivant,QueenElizabeth,QueenMargaret,Ratcliffe,RichardIII,Rivers,SOLDIERS.RICHARD,SOLDIERS.RICHMOND,Scales,Scrivener,Sheriff,SirChristopher,SirJohn,Stanley,Surrey,Tyrrel,Vaughan,Woodeville,York
ATTENDANTS,0,767,44,0,0,0,69,0,0,0,282,0,552,119,562,0,0,0,0,66,0,153,0,0,0,175,0,0,0,0,0,203,42,37,34,21,0,0,0,0,0,135,80,0,0,0,314,0,317,747,0,0,0,0,0,0,0,0,199,0,17,0,0,58
ATTENDANTS.0,767,0,44,91,0,154,69,52,17,94,718,193,1390,101,855,9,0,110,204,306,0,144,0,56,33,329,7,332,119,0,119,319,42,37,34,21,0,35,10,0,0,386,185,119,8,13,554,129,632,1439,33,299,96,0,14,30,21,5,394,19,56,33,0,67
ATTENDANTS.0.1,44,44,0,0,0,0,0,0,0,0,28,0,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTENDANTS.RICHMOND,0,91,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,0,0,0,0,0
Archbishop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
BISHOPS,0,154,0,0,0,0,0,0,0,0,148,154,21,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BishopOfEly,69,69,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,69,35,0,0,0,0,0,0,0,0,69,0,0,0,0,0
Blunt,0,52,0,0,0,0,0,0,0,27,0,0,52,0,0,0,0,0,27,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0
Brakenbury,0,17,0,0,0,0,0,0,0,0,0,0,17,0,0,103,0,17,17,17,0,0,0,78,0,0,0,0,0,25,17,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,17,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon,0,94,0,0,0,0,0,27,0,0,0,0,94,0,17,0,0,0,94,0,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,11,94,0,0,0,0,35,64,0,64,30,0,0,0,0,0,29,0,0,0,0,0
