,ATTENDANTS,ATTENDANTS.PRINCE,Apothecary,Benvolio,Boy,CITIZENS,Capulet,Chorus,Cousin,FriarJohn,FriarLawrence,GUESTS,Juliet,LadyCapulet,LadyMontague,MASKERS,MUSICIANS,Mercutio,Montague,Nurse,Paris,Petruchio,PrinceEscalus,Romeo,SERVANTS,SERVANTS.CAPULET,SERVANTS.CAPULET.Gregory,SERVANTS.CAPULET.Peter,SERVANTS.CAPULET.Sampson,SERVANTS.CAPULET.X.1,SERVANTS.CAPULET.X.2,SERVANTS.MONTAGUE,SERVANTS.MONTAGUE.1,SERVANTS.MONTAGUE.Abram,SERVANTS.MONTAGUE.Balthasar,SERVANTS.PARIS.1,SERVANTS.TYBALT.1,Tybalt,WATCHMEN,WATCHMEN.0.2,WATCHMEN.0.3
ATTENDANTS,0.0,0.0,0.0,262.0,262.0,0.0,124.0,0.0,124.0,0.0,0.0,124.0,124.0,124.0,0.0,262.0,0.0,262.0,0.0,124.0,0.0,0.0,0.0,262.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,86.0,0.0,0.0,0.0
ATTENDANTS.PRINCE,0.0,0.0,0.0,23.0,0.0,23.0,148.0,0.0,0.0,0.0,127.0,0.0,127.0,148.0,23.0,0.0,0.0,0.0,129.0,0.0,127.0,0.0,150.0,127.0,0.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,23.0,23.0,127.0,127.0,0.0,23.0,127.0,127.0,127.0
Apothecary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benvolio,262.0,23.0,0.0,0.0,262.0,96.0,213.0,0.0,124.0,0.0,0.0,124.0,124.0,213.0,143.0,262.0,0.0,565.0,143.0,167.0,0.0,57.0,82.0,646.0,59.0,198.0,47.0,43.0,47.0,42.0,0.0,113.0,47.0,47.0,0.0,0.0,45.0,264.0,0.0,0.0,0.0
Boy,262.0,0.0,0.0,262.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,124.0,124.0,124.0,0.0,262.0,0.0,262.0,0.0,124.0,0.0,0.0,0.0,262.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,86.0,0.0,0.0,0.0
CITIZENS,0.0,23.0,0.0,96.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,86.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,82.0,0.0,59.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0
Capulet,124.0,148.0,0.0,213.0,124.0,89.0,0.0,0.0,124.0,0.0,188.0,124.0,455.0,588.0,86.0,124.0,63.0,124.0,192.0,329.0,264.0,0.0,207.0,249.0,59.0,151.0,30.0,0.0,30.0,38.0,0.0,0.0,30.0,30.0,125.0,125.0,45.0,175.0,125.0,125.0,125.0
Chorus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cousin,124.0,0.0,0.0,124.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,124.0,124.0,124.0,0.0,124.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,86.0,0.0,0.0,0.0
FriarJohn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FriarLawrence,0.0,127.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,22.0,0.0,0.0,419.0,188.0,0.0,0.0,63.0,0.0,106.0,150.0,283.0,0.0,127.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,131.0,0.0,0.0,131.0,131.0,131.0
GUESTS,124.0,0.0,0.0,124.0,124.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,124.0,124.0,0.0,124.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,86.0,0.0,0.0,0.0
Juliet,124.0,127.0,29.0,124.0,124.0,0.0,455.0,0.0,124.0,23.0,419.0,124.0,0.0,637.0,0.0,124.0,113.0,124.0,106.0,722.0,428.0,0.0,127.0,789.0,0.0,142.0,0.0,46.0,0.0,0.0,6.0,0.0,0.0,0.0,324.0,220.0,45.0,86.0,149.0,134.0,131.0
LadyCapulet,124.0,148.0,0.0,213.0,124.0,89.0,588.0,0.0,124.0,0.0,188.0,124.0,637.0,0.0,86.0,124.0,63.0,124.0,192.0,464.0,226.0,0.0,207.0,249.0,59.0,133.0,30.0,0.0,30.0,0.0,6.0,0.0,30.0,30.0,125.0,125.0,45.0,175.0,125.0,125.0,125.0
LadyMontague,0.0,23.0,0.0,143.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,82.0,4.0,59.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0
MASKERS,262.0,0.0,0.0,262.0,262.0,0.0,124.0,0.0,124.0,0.0,0.0,124.0,124.0,124.0,0.0,0.0,0.0,262.0,0.0,124.0,0.0,0.0,0.0,262.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,86.0,0.0,0.0,0.0
MUSICIANS,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,0.0,113.0,63.0,0.0,0.0,0.0,0.0,0.0,67.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercutio,262.0,0.0,0.0,565.0,262.0,0.0,124.0,0.0,124.0,0.0,0.0,124.0,124.0,124.0,0.0,262.0,0.0,0.0,0.0,167.0,0.0,57.0,0.0,472.0,0.0,198.0,0.0,43.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,45.0,143.0,0.0,0.0,0.0
