,ATTENDANTS,Abbess,Adriana,Angelo,AntipholusOfEphesus,AntipholusOfSyracuse,Balthasar,Courtesan,DromioOfEphesus,DromioOfSyracuse,Duke,Egeon,Headsman,Luce,Luciana,Merchant2,Messenger,OFFICERS,OFFICERS.Jailer,OFFICERS.X,OTHERS,Pinch,SERVANTS.PINCH
ATTENDANTS,0,0,0,0,0,0,0,0,0,0,158,158,0,0,0,0,0,0,158,0,0,0,0
Abbess,0,0,159,159,80,80,0,159,80,80,80,80,80,0,159,159,80,80,0,0,159,0,0
Adriana,0,159,0,393,329,202,5,502,376,250,287,287,287,5,797,388,249,287,0,114,388,95,26
Angelo,0,159,393,0,498,123,172,388,409,132,287,287,287,28,388,530,249,287,0,110,388,0,0
AntipholusOfEphesus,0,80,329,498,0,86,172,324,546,110,229,229,229,28,324,326,229,229,0,235,229,95,26
AntipholusOfSyracuse,0,80,202,123,86,0,0,126,143,541,80,80,80,0,278,108,80,80,0,4,85,0,0
Balthasar,0,0,5,172,172,0,0,0,172,0,0,0,0,28,0,0,0,0,0,0,0,0,0
Courtesan,0,159,502,388,324,126,0,0,324,126,287,287,287,0,502,388,249,287,0,114,388,95,26
DromioOfEphesus,0,80,376,409,546,143,172,324,0,101,229,229,229,28,371,237,229,229,0,139,229,95,26
DromioOfSyracuse,0,80,250,132,110,541,0,126,101,0,80,80,80,0,230,132,80,80,0,28,85,0,0
Duke,158,80,287,287,229,80,0,287,229,80,0,445,287,0,287,287,249,287,158,0,287,0,0
Egeon,158,80,287,287,229,80,0,287,229,80,445,0,287,0,287,287,249,287,158,0,287,0,0
Headsman,0,80,287,287,229,80,0,287,229,80,287,287,0,0,287,287,249,287,0,0,287,0,0
Luce,0,0,5,28,28,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciana,0,159,797,388,324,278,0,502,371,230,287,287,287,0,0,388,249,287,0,114,388,95,26
Merchant2,0,159,388,530,326,108,0,388,237,132,287,287,287,0,388,0,249,287,0,110,388,0,0
Messenger,0,80,249,249,229,80,0,249,229,80,249,249,249,0,249,249,0,249,0,0,249,0,0
OFFICERS,0,80,287,287,229,80,0,287,229,80,287,287,287,0,287,287,249,0,0,0,287,0,0
OFFICERS.Jailer,158,0,0,0,0,0,0,0,0,0,158,158,0,0,0,0,0,0,0,0,0,0,0
OFFICERS.X,0,0,114,110,235,4,0,114,139,28,0,0,0,0,114,110,0,0,0,0,0,95,26
OTHERS,0,159,388,388,229,85,0,388,229,85,287,287,287,0,388,388,249,287,0,0,0,0,0
Pinch,0,0,95,0,95,0,0,95,95,0,0,0,0,0,95,0,0,0,0,95,0,0,26
SERVANTS.PINCH,0,0,26,0,26,0,0,26,26,0,0,0,0,0,26,0,0,0,0,26,0,26,0
