,Baptista,Bianca,Biondello,Curtis,Gremio,Grumio,HUNTSMEN,Haberdasher,Hortensio,Katherine,Lord,Lucentio,Merchant,Messenger,Officer,PLAYERS,Page,Petruchio,SERVANTS,SERVANTS.BAPTISTA,SERVANTS.BAPTISTA.1,SERVANTS.LORD,SERVANTS.LORD.0,SERVANTS.LORD.0.1,SERVANTS.PETRUCHIO,SERVANTS.PETRUCHIO.0.2,SERVANTS.PETRUCHIO.Joseph,SERVANTS.PETRUCHIO.Nathaniel,SERVANTS.PETRUCHIO.Nicholas,SERVANTS.PETRUCHIO.Peter,SERVANTS.PETRUCHIO.Phillip,Sly,Tailor,Tranio,Vincentio,Widow
Baptista,0,419,492,0,810,285,0,0,444,419,884,624,310,0,47,0,884,567,206,282,3,884,884,0,77,338,0,0,0,0,0,884,0,837,282,125
Bianca,419,0,245,0,414,183,0,0,376,323,605,572,127,0,32,0,605,256,125,235,5,605,605,0,32,230,0,0,0,0,0,605,0,449,154,125
Biondello,492,245,0,0,528,227,0,0,371,149,724,577,319,0,2,0,724,459,200,102,3,724,724,0,19,390,0,0,0,0,0,724,0,667,219,125
Curtis,0,0,0,0,0,128,0,0,0,21,128,0,0,0,0,0,128,21,0,0,0,128,128,0,0,7,34,41,34,41,34,128,0,0,0,0
Gremio,810,414,528,0,0,492,0,0,636,464,1109,808,255,0,51,0,1109,774,206,282,3,1109,1109,0,136,350,0,0,0,0,0,1109,0,933,337,125
Grumio,285,183,227,128,492,0,0,25,603,483,988,388,156,0,63,0,988,833,107,178,0,988,988,0,148,467,34,43,34,43,34,988,111,324,238,50
HUNTSMEN,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0
Haberdasher,0,0,0,0,0,25,0,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,25,0,0,25,0,0,0,0,0,25,25,0,0,0
Hortensio,444,376,371,0,636,603,0,25,0,501,1145,735,206,0,0,0,1145,885,206,76,8,1145,1145,0,81,501,0,0,0,0,0,1145,111,598,258,125
Katherine,419,323,149,21,464,483,0,25,501,0,970,310,179,0,63,0,970,809,130,164,0,970,970,0,260,595,21,21,21,52,21,970,111,377,313,123
Lord,884,605,724,128,1109,988,61,25,1145,970,0,1230,380,10,63,26,2487,1383,206,282,8,2716,2487,30,260,952,34,43,34,74,34,2648,111,1317,389,125
Lucentio,624,572,577,0,808,388,0,0,735,310,1230,0,257,0,32,0,1230,561,206,235,8,1230,1230,0,32,398,0,0,0,0,0,1230,0,988,235,125
Merchant,310,127,319,0,255,156,0,0,206,179,380,257,0,0,19,0,380,253,206,49,0,380,380,0,49,380,0,0,0,0,0,380,0,380,255,125
Messenger,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0
Officer,47,32,2,0,51,63,0,0,0,63,63,32,19,0,0,0,63,63,0,47,0,63,63,0,63,63,0,0,0,0,0,63,0,19,46,0
PLAYERS,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0
Page,884,605,724,128,1109,988,0,25,1145,970,2487,1230,380,10,63,0,0,1383,206,282,8,2487,2487,0,260,952,34,43,34,74,34,2487,111,1317,389,125
Petruchio,567,256,459,21,774,833,0,25,885,809,1383,561,253,0,63,0,1383,0,204,178,3,1383,1383,0,260,658,21,21,21,52,21,1383,111,606,387,123
SERVANTS,206,125,200,0,206,107,0,0,206,130,206,206,206,0,0,0,206,204,0,0,0,206,206,0,0,206,0,0,0,0,0,206,0,206,206,125
SERVANTS.BAPTISTA,282,235,102,0,282,178,0,0,76,164,282,235,49,0,47,0,282,178,0,0,0,282,282,0,77,77,0,0,0,0,0,282,0,254,76,0
SERVANTS.BAPTISTA.1,3,5,3,0,3,0,0,0,8,0,8,8,0,0,0,0,8,3,0,0,0,8,8,0,0,0,0,0,0,0,0,8,0,3,0,0
SERVANTS.LORD,884,605,724,128,1109,988,61,25,1145,970,2716,1230,380,10,63,26,2487,1383,206,282,8,0,2487,30,260,952,34,43,34,74,34,2648,111,1317,389,125
SERVANTS.LORD.0,884,605,724,128,1109,988,0,25,1145,970,2487,1230,380,10,63,0,2487,1383,206,282,8,2487,0,0,260,952,34,43,34,74,34,2487,111,1317,389,125
SERVANTS.LORD.0.1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,26,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVANTS.PETRUCHIO,77,32,19,0,136,148,0,0,81,260,260,32,49,0,63,0,260,260,0,77,0,260,260,0,0,251,0,0,0,31,0,260,0,49,183,0
SERVANTS.PETRUCHIO.0.2,338,230,390,7,350,467,0,25,501,595,952,398,380,0,63,0,952,658,206,77,0,952,952,0,251,0,0,9,0,31,0,952,111,454,389,125
SERVANTS.PETRUCHIO.Joseph,0,0,0,34,0,34,0,0,0,21,34,0,0,0,0,0,34,21,0,0,0,34,34,0,0,0,0,34,34,34,34,34,0,0,0,0
SERVANTS.PETRUCHIO.Nathaniel,0,0,0,41,0,43,0,0,0,21,43,0,0,0,0,0,43,21,0,0,0,43,43,0,0,9,34,0,34,43,34,43,0,0,0,0
SERVANTS.PETRUCHIO.Nicholas,0,0,0,34,0,34,0,0,0,21,34,0,0,0,0,0,34,21,0,0,0,34,34,0,0,0,34,34,0,34,34,34,0,0,0,0
SERVANTS.PETRUCHIO.Peter,0,0,0,41,0,43,0,0,0,52,74,0,0,0,0,0,74,52,0,0,0,74,74,0,31,31,34,43,34,0,34,74,0,0,0,0
SERVANTS.PETRUCHIO.Phillip,0,0,0,34,0,34,0,0,0,21,34,0,0,0,0,0,34,21,0,0,0,34,34,0,0,0,34,34,34,34,0,34,0,0,0,0
Sly,884,605,724,128,1109,988,61,25,1145,970,2648,1230,380,10,63,0,2487,1383,206,282,8,2648,2487,0,260,952,34,43,34,74,34,0,111,1317,389,125
Tailor,0,0,0,0,0,111,0,25,111,111,111,0,0,0,0,0,111,111,0,0,0,111,111,0,0,111,0,0,0,0,0,111,0,0,0,0
Tranio,837,449,667,0,933,324,0,0,598,377,1317,988,380,0,19,0,1317,606,206,254,3,1317,1317,0,49,454,0,0,0,0,0,1317,0,0,255,125
Vincentio,282,154,219,0,337,238,0,0,258,313,389,235,255,0,46,0,389,387,206,76,0,389,389,0,183,389,0,0,0,0,0,389,0,255,0,125
Widow,125,125,125,0,125,50,0,0,125,123,125,125,125,0,0,0,125,123,125,0,0,125,125,0,0,125,0,0,0,0,0,125,0,125,125,0
