,Antonio,Crab,Duke,Eglamour,Host,Julia,Lance,Lucetta,MUSICIANS,OUTLAWS.1,OUTLAWS.2,OUTLAWS.3,Pantino,Proteus,SERVANTS.1,Speed,Sylvia,Thurio,Valentine
Antonio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,34.0,0.0,0.0,0.0,0.0,0.0
Crab,0.0,0.0,0.0,0.0,0.0,23.0,178.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,0.0,53.0,0.0,0.0,0.0
Duke,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,213.0,0.0,39.0,94.0,214.0,217.0
Eglamour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
Host,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,50.0,62.0,0.0
Julia,0.0,23.0,75.0,0.0,121.0,0.0,23.0,193.0,62.0,55.0,55.0,55.0,0.0,408.0,0.0,0.0,294.0,171.0,168.0
Lance,0.0,178.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,99.0,0.0,149.0,0.0,0.0,76.0
Lucetta,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSICIANS,0.0,0.0,0.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,71.0,0.0
OUTLAWS.1,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,142.0,142.0,0.0,55.0,0.0,74.0,70.0,55.0,129.0
OUTLAWS.2,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0,142.0,0.0,142.0,0.0,55.0,0.0,74.0,66.0,55.0,129.0
OUTLAWS.3,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0,142.0,142.0,0.0,0.0,55.0,0.0,74.0,66.0,55.0,129.0
Pantino,78.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
Proteus,34.0,23.0,213.0,0.0,114.0,408.0,99.0,0.0,71.0,55.0,55.0,55.0,41.0,0.0,2.0,183.0,242.0,294.0,410.0
SERVANTS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0
Speed,0.0,53.0,39.0,0.0,0.0,0.0,149.0,0.0,0.0,74.0,74.0,74.0,0.0,183.0,2.0,0.0,165.0,123.0,455.0
Sylvia,0.0,0.0,94.0,53.0,50.0,294.0,0.0,0.0,0.0,70.0,66.0,66.0,0.0,242.0,2.0,165.0,0.0,178.0,333.0
Thurio,0.0,0.0,214.0,0.0,62.0,171.0,0.0,0.0,71.0,55.0,55.0,55.0,0.0,294.0,2.0,123.0,178.0,0.0,178.0
Valentine,0.0,0.0,217.0,0.0,0.0,168.0,76.0,0.0,0.0,129.0,129.0,129.0,0.0,410.0,2.0,455.0,333.0,178.0,0.0
