,ATTENDANTS,ATTENDANTS.1,Arcite,Artesius,Boy,Brother,COUNTRYMEN,COUNTRYWOMEN,Daughter,Doctor,Emilia,Epilogue,Executioner,FRIENDS.1,FRIENDS.2,GUARDS,Herald,Hippolyta,Hymen,Jailer,KNIGHTS.ARCITE,KNIGHTS.PALAMON,MAIDS,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,Maid,NYMPHS,OTHERS,Palamon,Pirithous,Prologue,QUEENS.1,QUEENS.2,QUEENS.3,SOLDIERS,SOLDIERS.0,Schoolmaster,Servant,Taborer,Theseus,Valerius,Woman,Wooer
ATTENDANTS,0.0,115.0,475.0,251.0,264.0,0.0,22.0,22.0,22.0,0.0,899.0,20.0,59.0,0.0,0.0,59.0,41.0,919.0,264.0,59.0,12.0,71.0,0.0,103.0,0.0,59.0,0.0,264.0,0.0,320.0,919.0,0.0,255.0,255.0,255.0,56.0,716.0,67.0,47.0,0.0,975.0,0.0,0.0,0.0
ATTENDANTS.1,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0
Arcite,475.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,9.0,0.0,464.0,20.0,59.0,0.0,0.0,59.0,41.0,414.0,0.0,78.0,68.0,91.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1130.0,414.0,0.0,0.0,0.0,0.0,41.0,1325.0,0.0,47.0,0.0,455.0,42.0,62.0,9.0
Artesius,251.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,251.0,0.0,227.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0
Boy,264.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,264.0,0.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0
Brother,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
COUNTRYMEN,22.0,0.0,70.0,0.0,0.0,0.0,0.0,107.0,64.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,203.0,133.0,0.0,85.0,22.0,0.0,0.0,0.0
COUNTRYWOMEN,22.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,64.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,83.0,22.0,0.0,0.0,0.0
Daughter,22.0,0.0,9.0,0.0,0.0,74.0,64.0,64.0,0.0,166.0,22.0,0.0,0.0,74.0,74.0,0.0,0.0,22.0,0.0,268.0,0.0,0.0,0.0,0.0,12.0,0.0,115.0,0.0,74.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,488.0,64.0,0.0,40.0,22.0,0.0,0.0,284.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,12.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0
Emilia,899.0,128.0,464.0,251.0,264.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,1010.0,264.0,59.0,0.0,59.0,37.0,103.0,0.0,59.0,0.0,264.0,0.0,329.0,930.0,0.0,240.0,240.0,240.0,0.0,882.0,67.0,86.0,0.0,899.0,0.0,62.0,0.0
