,ATTENDANTS,Aaron,Aemilius,Alarbus,Bassianus,Caius,Captain,Chiron,CountryFellow,Demetrius,GOTHS,GOTHS.0,GOTHS.0.2,GUARDS,Infant,Lavinia,Lucius,Marcus,Martius,Mutius,Nurse,Publius,Quintus,ROMANS,ROMANS.0,SENATORS,SERVANTS,Saturninus,Sempronius,TRIBUNES,Tamora,Titus,Valentine,YoungLucius
ATTENDANTS,0,76,233,0,80,0,0,135,12,135,186,15,186,0,186,196,253,205,80,0,0,0,80,0,382,0,122,382,0,186,369,244,0,177
Aaron,76,0,29,60,305,0,266,660,0,660,179,15,179,117,313,311,590,305,388,254,125,0,388,266,1062,110,17,334,0,125,473,485,0,32
Aemilius,233,29,0,0,0,0,0,47,0,47,200,15,200,0,200,177,200,186,0,0,0,0,0,0,247,0,122,233,0,186,233,177,0,177
Alarbus,0,60,0,0,0,0,60,60,0,60,0,0,0,0,0,0,60,0,60,60,0,0,60,60,60,0,0,0,0,0,60,60,0,0
Bassianus,80,305,0,0,0,0,124,341,0,341,0,0,0,116,0,379,290,305,357,124,0,0,357,187,499,173,0,358,0,173,432,290,0,0
Caius,0,0,0,0,0,0,0,56,45,56,0,0,56,0,0,42,0,124,0,0,0,180,0,0,180,0,0,0,124,0,0,176,56,124
Captain,0,266,0,60,124,0,0,266,0,266,0,0,0,117,0,136,218,124,211,263,0,0,211,281,275,110,0,159,0,110,266,275,0,0
Chiron,135,660,47,60,341,56,266,0,12,1114,0,0,210,117,125,405,331,252,329,254,125,56,329,266,1114,110,17,393,0,110,750,571,56,17
CountryFellow,12,0,0,0,0,45,0,12,0,12,0,0,0,0,0,0,0,45,0,0,0,45,0,0,57,0,0,12,45,0,12,45,0,45
Demetrius,135,660,47,60,341,56,266,1114,12,0,0,0,210,117,125,405,331,252,329,254,125,56,329,266,1114,110,17,393,0,110,750,571,56,17
GOTHS,186,179,200,0,0,0,0,0,0,0,0,15,350,0,350,177,369,202,0,0,0,0,0,0,369,0,122,186,0,186,186,177,0,177
GOTHS.0,15,15,15,0,0,0,0,0,0,0,15,0,15,0,15,15,15,15,0,0,0,0,0,0,15,0,0,15,0,15,15,15,0,15
GOTHS.0.2,186,179,200,0,0,56,0,210,0,210,350,15,0,0,350,219,350,212,0,0,0,56,0,0,560,0,122,186,0,186,337,364,56,177
GUARDS,0,117,0,0,116,0,117,117,0,117,0,0,0,0,0,116,116,116,116,117,0,0,116,117,117,110,0,117,0,110,117,117,0,0
Infant,186,313,200,0,0,0,0,125,0,125,350,15,350,0,0,177,350,202,0,0,125,0,0,0,484,0,122,186,0,186,186,177,0,177
Lavinia,196,311,177,0,379,42,136,405,0,405,177,15,219,116,177,0,659,903,254,136,0,42,254,136,1110,110,208,411,0,287,568,916,42,386
Lucius,253,590,200,60,290,0,218,331,0,331,369,15,350,116,350,659,0,733,438,265,0,0,438,218,1092,110,122,470,0,296,565,887,0,177
Marcus,205,305,186,0,305,124,124,252,45,252,202,15,212,116,202,903,733,0,303,171,0,124,303,187,1138,173,208,483,124,359,438,1059,0,510
Martius,80,388,0,60,357,0,211,329,0,329,0,0,0,116,0,254,438,303,0,258,0,0,516,211,516,121,0,295,0,121,377,449,0,0
Mutius,0,254,0,60,124,0,263,254,0,254,0,0,0,117,0,136,265,171,258,0,0,0,258,263,313,110,0,159,0,110,254,313,0,0
Nurse,0,125,0,0,0,0,0,125,0,125,0,0,0,0,125,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0
Publius,0,0,0,0,0,180,0,56,45,56,0,0,56,0,0,42,0,124,0,0,0,0,0,0,180,0,0,0,124,0,0,176,56,124
Quintus,80,388,0,60,357,0,211,329,0,329,0,0,0,116,0,254,438,303,516,258,0,0,0,211,516,121,0,295,0,121,377,449,0,0
ROMANS,0,266,0,60,187,0,281,266,0,266,0,0,0,117,0,136,218,187,211,263,0,0,211,0,275,173,0,222,0,173,266,275,0,0
ROMANS.0,382,1062,247,60,499,180,275,1114,57,1114,369,15,560,117,484,1110,1092,1138,516,313,125,180,516,275,0,121,225,640,124,307,1068,1503,56,527
SENATORS,0,110,0,0,173,0,110,110,0,110,0,0,0,110,0,110,110,173,121,110,0,0,121,173,121,0,0,173,0,184,110,121,0,0
SERVANTS,122,17,122,0,0,0,0,17,0,17,122,0,122,0,122,208,122,208,0,0,0,0,0,0,225,0,0,122,0,122,122,208,0,225
Saturninus,382,334,233,0,358,0,159,393,12,393,186,15,186,117,186,411,470,483,295,159,0,0,295,222,640,173,122,0,0,359,627,502,0,177
Sempronius,0,0,0,0,0,124,0,0,45,0,0,0,0,0,0,0,0,124,0,0,0,124,0,0,124,0,0,0,0,0,0,124,0,124
TRIBUNES,186,125,186,0,173,0,110,110,0,110,186,15,186,110,186,287,296,359,121,110,0,0,121,173,307,184,122,359,0,0,296,298,0,177
Tamora,369,473,233,60,432,0,266,750,12,750,186,15,337,117,186,568,565,438,377,254,0,0,377,266,1068,110,122,627,0,296,0,741,0,177
Titus,244,485,177,60,290,176,275,571,45,571,177,15,364,117,177,916,887,1059,449,313,0,176,449,275,1503,121,208,502,124,298,741,0,52,510
Valentine,0,0,0,0,0,56,0,56,0,56,0,0,56,0,0,42,0,0,0,0,0,56,0,0,56,0,0,0,0,0,0,52,0,0
YoungLucius,177,32,177,0,0,124,0,17,45,17,177,15,177,0,177,386,177,510,0,0,0,124,0,0,527,0,225,177,124,177,177,510,0,0
