,ATTENDANTS.OLIVIA,ATTENDANTS.ORSINO,ATTENDANTS.ORSINO.Curio,ATTENDANTS.ORSINO.Valentine,AndrewAguecheek,Antonio,Fabian,Feste,MUSICIANS,Malvolio,Maria,OFFICERS.1,OFFICERS.2,Olivia,Orsino,Priest,Sebastian,TobyBelch,Viola
ATTENDANTS.OLIVIA,0,316,316,0,37,316,228,244,0,163,65,316,316,506,316,254,193,30,370
ATTENDANTS.ORSINO,316,0,540,56,37,366,317,215,130,57,0,366,366,316,572,254,193,17,529
ATTENDANTS.ORSINO.Curio,316,540,0,56,37,366,317,215,98,57,0,366,366,316,540,254,193,17,497
ATTENDANTS.ORSINO.Valentine,0,56,56,0,0,0,0,0,19,0,0,0,0,0,56,0,0,0,46
AndrewAguecheek,37,37,37,0,0,104,485,200,0,199,222,97,97,55,37,37,30,795,165
Antonio,316,366,366,0,104,0,345,137,0,57,0,426,426,316,366,254,289,84,433
Fabian,228,317,317,0,485,345,0,175,0,263,168,338,338,240,317,166,135,615,480
Feste,244,215,215,0,200,137,175,0,39,285,208,137,137,244,215,137,151,277,275
MUSICIANS,0,130,98,19,0,0,0,39,0,0,0,0,0,0,130,0,0,0,87
Malvolio,163,57,57,0,199,57,263,285,0,0,197,57,57,225,57,57,57,297,73
Maria,65,0,0,0,222,0,168,208,0,197,0,0,0,147,0,0,0,424,68
OFFICERS.1,316,366,366,0,97,426,338,137,0,57,0,0,426,316,366,254,193,77,426
OFFICERS.2,316,366,366,0,97,426,338,137,0,57,0,426,0,316,366,254,193,77,426
Olivia,506,316,316,0,55,316,240,244,0,225,147,316,316,0,316,269,233,52,553
Orsino,316,572,540,56,37,366,317,215,130,57,0,366,366,316,0,254,193,17,579
Priest,254,254,254,0,37,254,166,137,0,57,0,254,254,269,254,0,208,17,254
Sebastian,193,193,193,0,30,289,135,151,0,57,0,193,193,233,193,208,0,30,193
TobyBelch,30,17,17,0,795,84,615,277,0,297,424,77,77,52,17,17,30,0,191
Viola,370,529,497,46,165,433,480,275,87,73,68,426,426,553,579,254,193,191,0
