Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.02801273014652484,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.006452417629094383,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.008092595244670129,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.0060998278428165695,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.008153774970297414,Taming of the Shrew (1591)
Richard III,1592,History,0.005948357774002533,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.002224996175846837,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.005492016146767822,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.004943807292951735,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.006638061474834294,Romeo and Juliet (1595)
Richard II,1595,History,0.010209215646113117,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.019582903818421392,A Midsummer Nights Dream (1596)
King John,1596,History,0.011526155516329363,King John (1596)
Henry IV Part 1,1597,History,0.011552925822405186,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.013147474605833997,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.009226729956434102,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.010407198291427227,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.010136293850205843,Julius Caesar (1599)
Henry V,1599,History,0.008092595244670129,Henry V (1599)
As You Like It,1600,Comedy,0.012627046696364075,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.004765199235880068,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.021873879710614417,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.005274218544509299,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.012048136378453114,Hamlet (1603)
Othello,1604,Tragedy,0.014055194183537272,Othello (1604)
Measure for Measure,1604,Comedy,0.012152849039425522,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.011348181326529908,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.006120085877971087,King Lear (1605)
Timon of Athens,1606,Tragedy,0.010275376711412744,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.015403550913043329,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.005347595638407857,Antony and Cleopatra (1607)
Pericles,1608,NA,0.013598227917068327,Pericles (1608)
Coriolanus,1608,Tragedy,0.00820011581224395,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.014001029690365952,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.011623519435662045,Cymbeline (1610)
Tempest,1611,Comedy,0.026960443436633917,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.010448546785173415,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.005974379298052258,Henry VIII (1613)
