Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.028012730146524847,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.0038869724889246953,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.009709287207130646,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.004571081104776375,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.005452360596533472,Taming of the Shrew (1591)
Richard III,1592,History,0.005519809202382821,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.0019501385041551242,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.005405489852989422,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.005283240735754577,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.005233855742250678,Romeo and Juliet (1595)
Richard II,1595,History,0.005519809202382821,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.007479182141992598,A Midsummer Nights Dream (1596)
King John,1596,History,0.011462499843875729,King John (1596)
Henry IV Part 1,1597,History,0.012826950001624681,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.010114009908892085,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.007252474583908581,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.008648807522530144,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.009289371780517136,Julius Caesar (1599)
Henry V,1599,History,0.007401853986624249,Henry V (1599)
As You Like It,1600,Comedy,0.015618412698412699,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.004487211729860855,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.021000755857898713,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.005756380731924046,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.0103926120943138,Hamlet (1603)
Othello,1604,Tragedy,0.014777035553679544,Othello (1604)
Measure for Measure,1604,Comedy,0.008685514611286372,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.013476867002598288,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.009264627871632626,King Lear (1605)
Timon of Athens,1606,Tragedy,0.011946448043405168,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.015644492532303586,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.0058100828561478204,Antony and Cleopatra (1607)
Pericles,1608,NA,0.017237543369377138,Pericles (1608)
Coriolanus,1608,Tragedy,0.010487307858286696,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.022062516157372793,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.012178825337392545,Cymbeline (1610)
Tempest,1611,Comedy,0.011315192743764172,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.012849299501235714,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.005525244947724342,Henry VIII (1613)
