Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.5819877689006445,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.5517060855044771,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.6044758621473312,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.5573693944318011,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.5711239317900335,Taming of the Shrew (1591)
Richard III,1592,History,0.30587931599953666,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.28833166784144304,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.3869509892650075,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.20061634901816736,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.24182462568754595,Romeo and Juliet (1595)
Richard II,1595,History,0.6225476853974132,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.3874747877676602,A Midsummer Nights Dream (1596)
King John,1596,History,0.5880336011376414,King John (1596)
Henry IV Part 1,1597,History,0.21165870416561608,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.4450547677373963,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.604973030970786,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.21889987949216214,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.7409235045908131,Julius Caesar (1599)
Henry V,1599,History,0.6044758621473312,Henry V (1599)
As You Like It,1600,Comedy,0.43862523180429264,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.40998519292578656,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.48779041091280995,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.20190564168239744,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.5171707974544753,Hamlet (1603)
Othello,1604,Tragedy,0.5496429914985042,Othello (1604)
Measure for Measure,1604,Comedy,0.5442336712030897,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.5018443311109042,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.47897376217795856,King Lear (1605)
Timon of Athens,1606,Tragedy,0.6362000885519842,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.4817593270613341,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.4764387147008624,Antony and Cleopatra (1607)
Pericles,1608,NA,0.5342317010572921,Pericles (1608)
Coriolanus,1608,Tragedy,0.6090097205886299,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.5086973599572779,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.2796426974150339,Cymbeline (1610)
Tempest,1611,Comedy,0.5464511340645644,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.2599253415048378,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.24314543619465154,Henry VIII (1613)
