Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.5819877689006446,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.56818196645867,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.804716710146915,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.5409764847000346,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.5525334506757549,Taming of the Shrew (1591)
Richard III,1592,History,0.31654951091615585,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.26163351167888366,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.38265916402121114,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.2157758234156518,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.5090778717145077,Romeo and Juliet (1595)
Richard II,1595,History,0.31654951091615585,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.43464843519536567,A Midsummer Nights Dream (1596)
King John,1596,History,0.5417649192094469,King John (1596)
Henry IV Part 1,1597,History,0.22492919057679728,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.42547963755997925,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.543407368142102,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.21171167589934017,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.7221172518808487,Julius Caesar (1599)
Henry V,1599,History,0.5303812136830017,Henry V (1599)
As You Like It,1600,Comedy,0.5449271130804939,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.3903592998461884,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.45065553225161564,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.42599641627611234,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.5644069971951379,Hamlet (1603)
Othello,1604,Tragedy,0.6377257541229395,Othello (1604)
Measure for Measure,1604,Comedy,0.4379380467545096,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.5434892644067899,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.7829325686788946,King Lear (1605)
Timon of Athens,1606,Tragedy,0.6659484793035384,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.507558652985683,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.4981059265260514,Antony and Cleopatra (1607)
Pericles,1608,NA,0.5717498140466024,Pericles (1608)
Coriolanus,1608,Tragedy,0.6831387232246504,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.7513720083991688,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.2823400132140951,Cymbeline (1610)
Tempest,1611,Comedy,0.43849492671372065,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.6480294621575409,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.46506886447125806,Henry VIII (1613)
