Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.6143790849673203,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.4928571428571429,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.5949579831932773,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.5808857808857809,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.5285412262156448,Taming of the Shrew (1591)
Richard III,1592,History,0.6294995610184372,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.3201581027667984,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.3675889328063241,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.35475494969165855,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.4923469387755102,Romeo and Juliet (1595)
Richard II,1595,History,0.5806737588652482,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.4188034188034188,A Midsummer Nights Dream (1596)
King John,1596,History,0.6039682539682539,King John (1596)
Henry IV Part 1,1597,History,0.3697705802968961,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.4274193548387097,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.5230769230769231,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.46793708408953416,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.744593804792519,Julius Caesar (1599)
Henry V,1599,History,0.5949579831932773,Henry V (1599)
As You Like It,1600,Comedy,0.4187192118226601,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.3961038961038961,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.4714285714285714,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.4291497975708502,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.5724358974358974,Hamlet (1603)
Othello,1604,Tragedy,0.5227272727272727,Othello (1604)
Measure for Measure,1604,Comedy,0.5268817204301075,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.5483870967741935,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.48890063424947144,King Lear (1605)
Timon of Athens,1606,Tragedy,0.6439639639639639,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.49024822695035464,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.45966386554621846,Antony and Cleopatra (1607)
Pericles,1608,NA,0.5125109745390694,Pericles (1608)
Coriolanus,1608,Tragedy,0.616140350877193,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.48172757475083056,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.5245143385753932,Cymbeline (1610)
Tempest,1611,Comedy,0.5380952380952381,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.5245098039215687,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.46697388632872505,Henry VIII (1613)
